Attempt Regex,ChatGPT Output
0*0?|(0|1)11*,"positive example: ['', '0', '00', '000', '01', '011', '0111', '11', '111', '1111', '001'] 

negative example: ['1', '10', '110', '101', '100', '1110', '010', '0101', '0011', '1001']"
(a+(a*))|((a*)+(b*)),"positive examples: ["""", ""a"", ""aa"", ""aaa"", ""aab"", ""ab"", ""abb"", ""b""]  
negative examples: [""ba"", ""abc"", ""c"", ""bb"", ""ba"", ""aba"", ""bab"", ""bbb""]"
(a+b+)|(b+a+)(aaa)+,"positive example: [aab, ab, abb, baa, baaaa, baaaaa, bbaaaa, baaabaaa, aba, aaabaaa]  
negative example: [a, aaaa, b, ba, baaa, aaaaab, bbbaa, abba, baaabaa, zza]"
(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"positive example: [ab, baba, abababa, abbabaab, ababababab, baabaabab, ababababba, abbaaba, abbaabbaabba, abbaabbabaa]

negative example: [abba, abab, baa, a, abbaabababa, bbaabbabaab, aba, bababab, b, abbab]"
(ab)*(ba)*(b)*(aaa+),"positive example: [aaa, ababbabaaa, abbaaa, abbaaaa, abbabaaa, abbabaaaa, abbababaaa, abbabbaaa, babaaa]  
negative example: [abbabaa, ab, aaaa, bab, aabaaa]"
((a*)+b+(a*)+(bb*)+(a*)),"positive example:[aababba, aabba, abaabba, ababa, ababb, ababba, ababbaa, ababbba, ababbbba, abbabba, abbba, babba, bb, ababa, aababb, bba, abba, abbbba]

negative example:[abaa, abbaaa, aab, abbb, bab, ba, aabaa, aabbbaa, abaaa, bbb]"
a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"positive example: [a, aa, aaa, bb, ba, bba, baab, bbaab, bab, babb, babba, babbba]

negative example: [ab, aab, bbaa, abbb, abab, aba, bbbba]"
(a|b)(aa)*(a|b)*,"positive example: [a, aa, aaa, aaaa, aaaaa, aaaaaa, aaab, baa, baaab, bab]
negative example: [ab, aba, abb, bba, bbb, c, aac, aaac, aabc, abba]"
0?0|111*,"positive example: [0, 00, 11, 111, 1111, 11111, 111111], negative example: [000, 01, 10, 001, 110]"
(a|b)(a|b)+(aaa)+,"positive examples: [aaaaa, aaaaaa, aaaaaaaa, abaaa, baaaa, baaaabaaaa, ababaaa, bbaaaaaaaa, abaaaabaaa]

negative examples: [aa, aaaa, abababaa, baaa, aaaabaa, abbaa, bb, ab]"
(a)*(b)*|(b)*(a)*,"positive example: [a, b, aa, bb, aaa, bbb, aab, abb, baa, bba, ab, ba, aaaa, bbbb]  
negative example: [aba, bab, abab, baba, abba, baab, ababab, bababa]"
(ab)*(ba)*|abbba,"positive example:[, ab, ababba, abba, abbaba, abbba, ba]  
negative example:[a, b, abab, bab, aabba, bbaa]"
(a|ab*b)*ba*,"positive example: [aaba, ab, aba, abaa, abba, abbba, abbbba, b, ba, a, aaa, abbaaa, abbaaaaaa]  
negative example: [bab, aab, aaabba, bb, abab, aabbb, abb, bbb, baa, ababab]"
(a|b)(a|bb)*,"positive example: [a, aa, aaa, aabb, abb, b, ba, baa, babb]  
negative example: [bba, aba, bbb, c, ac, abba]"
(bb*)*,"positive example: [ """", ""b"", ""bb"", ""bbb"", ""bbbb"", ""bbbbbb"", ""b""*100 ]
negative example: [ ""a"", ""ba"", ""bba"", ""ab"", ""bbab"", ""c"", ""bcb"", ""a""*100 ]"
b*|(a*b*),"positive example:[, a, aa, aab, ab, abb, b, bb, bbb, aabb], negative example:[aba, baa, bba, bab, aba]"
a*b(a*ab*b)*a*,"positive example: [aabaabba, aba, abaaabba, abaaba, abaabb, abaabba, abaabbaa, abaabbaabba, abaabbba, ababba, b, baabba]

negative example: [aa, abb, bb, ba, baab, bab, baa, ab, abbaa]"
a*b(a|b){2},"positive example:[aabaa, abaa, abbb, baa, bab, bbb]  
negative example:[aba, abaaa]"
(a|b)*b(aa*)b,"positive example: [aabaab, abaaab, abaab, abab, baab, bab, bbaab]  
negative example: [abbb, aa, aabba, baa, bbaa, abb, aab]"
a*(bb)*(a+b)*,"positive example: [a, aa, bbaa, ab, abb, bba, aabb, abba, aabbb, abbba]

negative example: [b, ba, bab, aaab, abbb, aaabb, bbba, bbbb, aaaa, baa]"
a*b(bb)*(a+b(bb)*)*a*,"positive example:[abbba, abbbabbba, abbbababba, aabbbbba, aaabbb, bbb, abba, abbbaabba, bbbabbbba, abbbba, abababba, abbbbaabba]

negative example:[abbbbb, abbbbbaba, abbbaaab, bbbabaa, abb, aaaa, ba, babbabb, baabbb, abbbbbba, aaabbba, abbbabbbbabba]"
a|b+a|b+a{3}a*,"positive example:[a, ba, baa, baaa, bba, bbaaa, baaaaa]  
negative example:[aa, aaa, aaaa, bb, bbaa, ab]"
0*|1*|((01+0)*(10+1)*)*,"positive example: [0, 1, 00, 11, 010, 101, 010101, 01010101, 010010, 0110, 1101, 010101010101, 010101101, 0101001]  
negative example: [00101, 01011, 0011, 1100, 1010, 10110, 01101, 1001]"
a*|b*|(ba)*,"positive example:[, a, aa, aaa, b, bb, ba, baba, bababa, bababab]  
negative example:[ab, baab, aba, abb, bba, babb, aabab, ababa]"
((b)(a)(a)*(a*))*,"positive example: [b, baa, baaa, baaaa, baaabaaa, ba, baaba, baabaa, baba, babaaa]  
negative example: [a, bb, abab, baaab, baab, aaa, aa, ab]"
((a*)(b*)(a+))|((a+)(b*)(a*)),"positive example:[a, aa, aaba, ab, aba, abaa, abba, ba], negative example:[b, bb, ababab, aabab, babaa, abbbb]"
(a|b)*baaa*,"positive example: [aabaaa, abaa, abaaa, abaaaa, baa, baaa, bbaaa]  
negative example: [a, aa, aaa, ab, b, ba, bab, aaaa, bbba]"
((0+1+0)|(1+0+1))*,"positive example:[, 1010, 0010010, 101, 1100, 0101010, 001010], negative example:[000, 111, 0111, 1000, 110, 101110]"
(((a|ba*b)*a)*)?,"positive example: [a, aa, aaa, aaaa, aaaaa, ba, baa, bab, baba, baaab, baaba, baabab, bababab, abab, aba, bbba]
negative example: [b, bb, bbb, ab, babab, cab, ac, abc, bbaa, bbb]"
(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,"positive example:[, aababbbab, aabbbab, ab, abaabbbab, ababb, ababbabbbab, ababbbaab, ababbbab, ababbbababbbab, ababbbabbab, ababbbb, abbab, abbabbbab, abbbab, abbbbab, babbbab]  
negative example:[abababbbab, ababbab, ababbba, ababbbabb, ababbbbab]"
a|ba*b*(baa)b,"positive example: [a, baaab, baabbaaab, baabbaab, babaaab, babbaab, babbbbaaab]  
negative example: [b, ba, baabaa, bab, bb, bba, bbaa, babba, babbb]"
(a|(ba*b)*b(a|(ba*b))),"positive example:[a, ba, baabba, babba, babbabba, babbbaab, babbbab, babbbb, bbb, bbba]  
negative example:[b, aa, baba, ab, bab, abab, bbaa, bbbbba, babbbaa, bba]"
0*0*|1*0*,"positive example: [0, 00, 000, 1, 10, 100, 110, 01, 001, 0001]  
negative example: [11, 111, 101, 1110, 011, 1011]"
(0*10*10*10*)*,"positive example: [010, 1010, 0000101010, 010101010, 01010, 10, 110, 0010, 001010, 0001010]  
negative example: [011, 1101, 00, 1011, 0011, 1110, 1001, 010110, 111, 101]"
a*(bb)*b*a*,"Positive examples: [bb, abbba, aabbba, abba, abbb, aba, bbba, abbbbba, abbbaa, abbbba]

Negative examples: [b, a, aa, bbbbaa, ba, ab, bab, aaa, aabb, bbbba]"
0*,"positive example:[, 0, 00, 000, 0000],negative example:[1, 01, 10, 001, 100]"
(bb|a)*b*,"positive example: [ab, b, bb, bbb, bbbb, bbbbb, abb, abbb, abab]  
negative example: [a, ba, baa, bab, baba, aab, aa, aba]"
a|(b|aa*),"positive example:[a, b, aa, aaa, aaaa], negative example:[ba, ab, bb, aab, abb]"
(a+b)*(bb)*(a+b)*,"positive example:[aabb, abba, bb, ababbb, bbabab, abbbabb, ab, aaaabbbbaaa, bba, babbbab]
negative example:[b, bbbb, aabbaa, aba, aaabb, ba, abbbbba, baabbb, ababab, bbbbb]"
0*1+0*1*0*,"positive example: [0010, 001010, 0100, 010010, 0101, 01010, 010100, 010110, 0110, 011010, 1, 1010]  
negative example: [0, 00, 000, 010, 10, 100, 110, 101, 001, 011, 111, 1110]"
((aa)*[b](bb)*)?,"positive example:[, b, ab, aab, bb, bbb, aabb, aaabbbb]
negative example:[a, aa, bbbbb, aabbba, abbbb, aaaa, aaa]"
(ab)*|(aa|ab|bb)*,"positive example:[, aa, aaaa, ab, abab, bb, aabaab, aaaaaa, abababab]  
negative example:[a, b, aaa, bba, ba, abba]"
((a)*(b+aa)+)+|[a]*,"positive example: [a, aa, aaa, ab, abaa, aabaa, baa, abba, aaaabaa, aaaaa]

negative example: [b, bb, abab, ba, aab, bbb, baaa, abbbbb, bab, aabbbb]"
(a)*b*(b+bb)*b*(a)*,"positive example: [abb, aabb, abbbbba, bbba, abbbbb, abbba, abba, bba, bb, abbbbbba]  
negative example: [a, aa, b, ba, bbbbbb, aaabba, aba, ab, abaab, baa]  "
b(b)*|(b)*b,"positive example: [b, bb, bbb, bbbb, bbbbb]  
negative example: [a, ba, ab, aa, aab]"
a*ba*(bb)*a*b*,"Positive examples: [ababb, abbabb, baabbab, babbbbab, aba, babbabba, abbaabb, abba, ababbaa, bab, bbabab, abaabbb]

Negative examples: [ababbba, baabb, abb, bababa, abbab, bbbab, abab, bbabba, babbb, aaabb, babbbb, ab]"
(ab+ba)(ab+ba)*(aa+bb+ab+ba)*,"Positive examples: [abba, abbaabba, abbaabbaaaabbabba, abbaabbaaabbabba, abbaabbaaabbabbaaabbabba, abbaabbaaabbabbba, abbaabbaaabbbabba, abbaabbaabbaaabbabba, abbaabbbaaabbabba, abbbaabbaaabbabba, abbaabbaaabbba]

Negative examples: [abaabbaaabbabba, abbaabaaabbabba, abbaabbaaababba, abbaabbaaabbaba, abbaabbaabbabba, abbaa, aabba, ababaabba]"
a|(a+b)|a(a+b)*,"positive example:[a, aaab, aab, aabab, ab], negative example:[b]"
a*b*a*,"positive example:[, aa, aaba, ab, aba, abaa, abba, ba, a, b, bba, bab, baba], negative example:[bb, babb, abbb, bbb]"
(a?)|(((a|b)a*b)|((a|b)a*ba)*),"positive example:[, a, aaab, aaaba, aab, aaba, aabaaaba, ab, aba, bab, baba, bb]

negative example:[aa]"
(1+0*1+)|(0+1*0+)|1*|0*,"positive example: [1, 0, 00, 000, 111, 01, 10, 0010, 010, 101, 110, 1001, 1011, 0110, 1101]  
negative example: [0101, 1010, 011, 100, 0001, 001, 1110, 0100]"
(a|b)*aba(a|b)*,"Positive examples: [aaabaa, aaba, aabaa, aabaaa, aabab, aba, abaa, babaa, ababa, ababaa, baaaba, bbaba, aaabaaa]

Negative examples: [aaa, bab, aaaaa, bbb, aab, ab, ba, bbabab, aa, abb, bba, baa, bb]"
((a)*|(b))(a)(a)*,"positive example: [a, aa, aaa, aaaa, ba, baa]  
negative example: [b, bb, aba, abaa, abaaa]"
(a)*b*(ba+ab+b)*b*(a)*,"positive example:[abba, abbaabba, aabbaabbba, abbaabbb, abbaabbba, bbaabbba, abaabbba, abbaaabbba, abbaabbbaabbba, abbaabbbaa, abbbaabbba, abbaabbbba]

negative example:[abbabbba, aaabbb, bababa, aaa, bbb, aba, bba, ababab]"
b*b,"positive example:[b, bb, bbb, bbbb, bbbbb], negative example:[, a, ba, ab, aab]"
b*bb*,"positive example:[b, bb, bbb, bbbb, bbbbb, bbbbbbb], negative example:[, ab, a, abb, abab, aab]"
a*|b(ab*ab*)*,"positive example:[, a, aa, b, baab, baba, babab, babababab, bababb, babbab]  
negative example:[ab, bb, bab, bba, baa, abab, ba, babaa]"
aa+ba,"positive example:[aabaa, aaabaaaa, aaaabaa], negative example:[abaa, aabb, aaab]"
((0*1+0*1*)+)+,"positive example: [1, 101, 011, 0101, 001, 010, 01101, 01011, 00101, 01001]  
negative example: [0, 10, 100, 110, 1010, 1001]"
(a*(baa*)),"positive example:[aabaa, aba, abaa, abaaa, ba, baa]  
negative example:[a, aab, bab, bb, aa, bba]"
((aa)*|(bb)*)(aa|bb)*,"positive example: [aa, aaaa, bbb, bbbbbbb, aabb, bbaa, aaaabb, bbbbbb, aabbaa]  
negative example: [aaa, abc, bba, abb, b, aabab, bbaaa, ababa, b]"
(0)*(111)*(1)*(0)*,"positive example:[0, 111, 01110, 01110, 11110, 0111110, 0011110, 01, 0010, 0111111110]  
negative example:[1, 10, 101, 11011, 10011101, 1101, 001011, 1110, 1011, 1100]"
a*b*aaa*,"Positive examples: [aa, aaa, aaaa, aabaaa, abaa, abaaa, abaaaa, abbaaa, bbaa]

Negative examples: [a, ab, b, ba, bb, abba, bba]"
(((01)0*(10))*|(0*1*0*)),"positive example:[, 00, 01, 010, 0100, 010010, 01010, 0101001010, 0010, 0110, 10]  
negative example:[111, 101, 1001, 1100, 1110, 1010, 100, 110, 0011, 011]"
(a*ba*(bb)*a*)|(a*bba*(b)*a*)*,"positive examples: [a, aba, bba, abba, abbb, aaa, aabbaa, aabbbabaa, ab, abb, baa, babb, bbbab, bbb, abaa, abbba, abbabaa, abababba, ababbb, abbbab, bab, bb, bbbaa]

negative examples: [ba, aab, abbabbaa, bbab, abbbba, aaabbb, baba, aabaa, bbbb, aabba, aabab, babbb, baaab, aaabb, abaabb, abbabab, bbbac, bbaab, bbaaa, bbabbb]"
((a|b)(a*)b)*|((a|b)(a*)ba*),"positive example:[, aaab, aaaba, aab, aaba, aabaa, aabaab, ab, aba, bab, baba, bb]

negative example:[ba, baa, bbb, abb, a, b, aaa, bba, abab, aaaa]"
(a)*|(b)(a)(a)*,"positive example: [, a, aa, ba, baa, baaa]  
negative example: [b, aba, bb, abc, c]"
(b*b)|(a*),"positive example:[, a, aa, aaa, b, bb, bbb, ababab, aabb, bbaa], negative example:[ab, ba, aba, bab, abab, aab, bba]"
0*1(0*1+0*)*,"positive example:[1, 01, 101, 0101, 010010, 011, 1010, 00101, 110, 1110]  
negative example:[0, 00, 000, 0100, 001000, 0000, 010000]"
a*(b+a)*(bb+bbb)*(b+a)*,"positive example:[a, ab, abb, abbbb, aababbbbbba, aabbbbbba, ababa, abababbbbbba, ababbbbb, ababbbbba, ababbbbbba, ababbbbbbaba, ababbbbbbba, ababbbbbbbbbbba, abbabbbbbba, abbbbbba, babbbbbba, baaababbbbbba]

negative example:[b, ba, abaabbbba, abbabbb, ababbabbbbb, abbaaaabbbb, aaabbabbbbba, abbbabbbbba, abbbbbbbba, aababbbbbbb, ababbbbbbbaa, aababba, aaaaabbbbbbbba, ababbbbbaaaa, abbbabbbbbbbba]"
((ab|ba)+(aa|bb|ba|ab)*),"positive example:[ab, abaa, abaaaa, abab, ababaa, abba, abbb, ba, baaa, ababab, baba, babaababba, babab, babb, babbabaa, babbabab, abababaa, babaa]
negative example:[aa, a, b, aaa, bbb, aaaa, bbbb, abb, baa, bbaa, bababa, aba, bba]"
(a|b)*b*b|bb*(a|b)*,"positive example: [aabb, ab, abb, abbb, b, ba, bb, bba, bbaa, bbb, bbba, aaab, baaa]

negative example: [a, aaa, aa, aba, bab, abab, bbbbab, bbbab, abaa]"
(1+0*(10+)*1+)*|((0+1)*0)*,"positive example:[, 0, 0010, 010, 010010, 01010, 100101, 101, 101001, 10101, 1010101, 101011, 1010110101, 1011, 1101, 110101]  
negative example:[0101, 10, 1010]"
(a+b|b)*,"positive example:[, aab, ab, abab, b, aaab, ba, bab, bb, aaa, bbb, aba, aabab]  
negative example:[aa, bba, abb, baaa, aaba, babb, abbab]"
(0|1)*1,"positive example:[01, 101, 111, 1001]  
negative example:[0, 00, 10, 1100]"
b*(ba+ab)*b*(a)*,"Positive examples: [b, baabba, bba, bbaaabba, bbaaba, bbaabb, bbaabba, bbaabbaa, bbaabbaabba, bbaabbba, bbbaabba, a, ba, ab, bbaab]

Negative examples: [bbabba, aab, abb, bb, aaa, babbab, bbbba]"
(b*a+)*,"positive example:[, a, ba, baa, baba, bba, aa, aba, bbaa], negative example:[b, bb, ab, bab]"
b*a(b*ab*a)*b*,"positive example: [a, ababab, baabab, bab, babaab, bababa, bababab, bababababab, babababb, bababbab, babbabab, bbababab]  
negative example: [b, aa, abb, abba, baa, bbaa, aba, bbb, aaab, abbb]"
a*|a*b*aa,"positive example:[, a, aa, aaa, aabaa, abaa, abbaa, baa],negative example:[b, bb, ab, abab, bbb, aab, ba, abba]"
a*b(ab*b|a)*,"positive example:[aababb, ab, aba, abab, ababb, ababbabb, ababbb, b, babb, abababb, ababba, aabab, aabbab]
negative example:[baababb, abb, aabb, bbabab, bbb, bababab, aa, bba, abbbb]"
((1?|11?)|111?)|0*,"positive example:[, 0, 00, 1, 11, 111, 000, 01, 011],negative example:[1111, 11111, 10, 101]"
(a|b{2})+a{3}a*,"positive example: [aaaa, aaaaa, aaaaaa, bbaaa, bbaaaa]  
negative example: [baaaa, bbbaaaa]"
0*|1*|((0+1+0+)*(1+0+1+)*)*,"positive example: [0, 1, 00, 11, 000, 111, 010101, 010110101, 1010101, 011010, 110101101, 01010101, 01010, 1100, 011100]
negative example: [00101, 01001, 01010, 01011, 01101, 10101, 001100, 010010, 011101, 1010, 01101, 110101010, 10010, 0111, 10111]"
a|b(ab|aa|ba|bb)*(aaa)*,"positive example: [a, b, aaa, baaa, aababaaaa, babaaa, babaaaaaa, bababaaa, bbaaa, bbabaaa]  
negative example: [c, ba, aabab, bbb, aabaa, abab, baabaab, bbabb, aaaa, bbbbb]"
(a)*b(a*b+a*b+)*,"positive example:[b, ab, aabab, abaaba, ababa, ababab, abbab, aab,ababab, aababb, bab, abba]  
negative example:[a, ba, aba, aaab, abababa, bb, abb, baab, aabaab, abbaaba]"
(b|a)*baaa*,"positive example:[abaaa, baa, baaa, bbaa, bbaaa, bbaaaa, bbbaaa, abaa, aabaa, babaa, abaabaaa]  
negative example:[aaa, baaab, bb, aa, ab, bbb, a, b, abba, bbbaa]"
0*11*,"positive example:[01, 011, 1, 11, 0011, 111], negative example:[0, 00, 000, 10, 101, 100]"
a|b+(a|b)+aaa,"positive example: [a, baaaa, baaaaa, bbaaa, bbaaaa, bbaaabaaa, bbbbbbaaaa, bababaaa, bbbabaaaa]
negative example: [aaaa, baaa, bb, abb, bba, aaaab, abab]"
a(a|b)(a+b)*,"positive example: [aa, ab, aaa, aab, abab, aaabab, aaaaab, aba]

negative example: [a, ba, b, aaba, baa, abaa, aabb, bb]"
(b(aa)*(bb)*)*,"positive example: [b, baa, baaaabb, baabb, baabbbaabb, baabbbb, bbb, baaabb, bbbba, baaabbbb]

negative example: [a, aa, ab, aabb, aba, baaa, abb, abbb, baaba, aaabbb]"
(a*b*aa+),"positive example:[aa, aaa, aabaa, abaa, abaaa, abbaa, baa, aaaaa, aaaaaa]  
negative example:[aba, bba, ab, ba, a, b]"
(a+b)*aaa|(b+a)*aaa,"positive example:[aaa, baa, aabaaa, abaaa, ababaaa, baaaa, babaaaa, bbaaaa, baaabaaa]  
negative example:[aaaa, baaa, aaab, abbba]"
(a*)|(a*baa*)|(baa*)*,"positive examples: [a, aa, aabaa, aba, abaa, abaaa, ba, baa, baaa, baabaa, abbaba, babaaa, abaabaa]

negative examples: [b, ab, abba, abaab, bab, bbb, aab, abbab, baaaaab, abababa]"
((aa)*|(bb)*)((aa)*|(bb)*)*,"positive example:[, aa, aaaa, aaaaaa, aabb, aabbbb, bbaa, bbbbaa, bb, aabbaa, bbaabb, aaaabbbb]

negative example:[a, b, ab, ba, aba, bab, aabbaab, ababab, baaab, bbab]"
a*|(?:a*|(b[a]{2}))*,"positive example:[, a, aa, baa, baaa, aaa, baaaa], negative example:[ba, bb, ab, baab, aba]"
(0+1)*(1+1)*,"positive example:[, 01, 001, 111, 000111, 011111, 01, 1111],negative example:[011, 0110, 100, 101, 110, 10]"
a|b*(b(bb)*)a*,"positive example:[a, b, ba, bba, bbba, bbbba, bbbbb, bbaa, bbbbaa]  
negative example:[bb, ab, aa, abab, bab, abba, c, , baa]"
b*(ab*a)*b*,"positive example: [b, ab, ababab, abbabbab, babbb, bababab, bbb, abababa, baabab, bababbb]  
negative example: [a, aab, aa, baaa, bba, abaa, abaaba, babababa, abbb, babbbab]"
b*|a*|b*,"positive example:[, a, aa, b, bb, aaa, bbb, ab, ba, aaaaa, bbbbb], negative example:[ababa, abab, baba, baaa, aaab]"
(a)*(b|aa)*(a)*(b|aa)*(a)*,"positive example: [a, bbaaa, baaaa, aaabb, aabbaa, aabb, aba, abababa, abaaab, ababbbaa, baa, baabaaa, aaaabbaa]

negative example: [bbb, aabbaaab, abaaaaba, baaab, aaaaabba, aabaaab, ababab, abb, bb, aaa, abbb, baabba]"
(a*)|(b+a+)*,"positive example:[, a, aa, aaa, ba, baa, babaa, baba, bba, bbabaa], negative example:[b, bb, abc, ab, bab, bbb]"
((a+)+)|((?:)|(b+))+((?:)|((a*)+)),"positive example: [b, a, aa, aaa, bbb, aaaa, bbbb, ab, ba, aaaaab, bbbbaa], negative example: [c, abc, acb, bac, cab, cc, ccc, cb, bc]"
(a(a|b)a(a+b)*)*,"positive example: [aaa, aaaaab, aaaab, aaaabaaaab, aaaabab, abaab, aaaaa, aabaaab, ababa, aabaaa]

negative example: [aaab, aa, ab, a, b, ba, bb, aab, abb]"
(0)*(111)*(1)*,"positive example: [111, 11111, 0111, 1111111, 011111, 1111, 01, 111]

negative example: [00011, 1100, 10011, 101, 0001111, 000111111, 1111110, 10]"
(a*)b*aa(a*),"positive example: [aa, aaa, aaaa, aabaaa, abaa, abaaa, abaaaa, bbaaa]

negative example: [a, b, ab, abb, baa, bba, bab, abba]"
((a)*|(b))(bb|aa)*,"positive example:[, a, aaa, aabb, abb, abbbb, b, bb, bbb]  
negative example:[aaab, bab, aab, aba, bba, ab, ba, aabba]"
(((1?)*|(11?)*)|(111?)*)|0*,"positive example: ["""", ""0"", ""00"", ""000"", ""1"", ""11"", ""111"", ""1111"", ""0000""]

negative example: [""01"", ""10"", ""001"", ""110"", ""101"", ""1110"", ""100"", ""011"", ""1100""]"
aa*|a*b*,"positive example: [a, aa, aaa, aab, ab, abb, b], negative example: [ba, bab, bb, baaa]"
(a|bb)*(b)+(a|bb)*,"positive example: [ab, aab, ba, bba, abba, bb, b, abb, aba]  
negative example: [aa, aaa, a, bab, abab]"
1(11)*|0*,"positive example: [1, 11, 111, 1111, 0, 00, 000]  
negative example: [10, 110, 101, 011, 1110]"
(a|b)*baa+,"positive example:[aabaa, abaa, abaaa, baa, bbaa, baaa, aabaaa, bbbaa, abaaab],negative example:[aba, aab, ba, abb, bbb, a, b, ab]"
(a*baa*),"positive example:[baa, abaa, aabaa, abaaa, abaaa, baaa], negative example:[b, aa, abaab, a, aaa]"
(a|b)(a|b)aa+,"positive example:[aaaa, aaaa, baaa, abaa, bbaaa, abaaa], negative example:[aaa, aab, baa, b]"
(a)(b)(aa*),"positive example:[aba, abaa, abaaa],negative example:[a, b, aab, abb, aa, baa]"
0*0*|110*1,"positive example:[, 0, 00, 0000, 11011, 11001, 1100001]  
negative example:[1, 01, 10, 1110, 101, 1001]"
