attempt_id,attempt_description,user_id,question_description,regex,RE_id
45,"Match strings that start with any number of 'ab' or 'b', followed by two consecutive 'a', and end with any number of 'ba' or 'b'.",414,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
46,"Matches strings that start with any number of 'a' or 'ba', followed by any number of 'b' or 'ab', and end with zero or one 'a'.",414,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
47,"Translate into English: Strings that start with any number of 'a' or 'ba', followed by zero or one 'bb', and end with any number of 'a' or 'ab'.",414,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
48,"Match strings consisting of any number of 'a's followed by a single 'b', where 'a' is optional.",414,Every odd position is b.,(a?b)*,20
50,Starts with b and ends with a; can have any number of a or b in between (including empty string).,403,Begins with b and ends with a.,b(a|b)*a,11
51,"The length of the string must be at least 3. The first two characters can be a or b, and the third character must be a. After the third character, there can be any number of a or b.",403,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,12
52,"The string is composed of repetitions of b or ab*a. Aab*a can be represented as an a followed by any number of b's, and then followed by another a. The entire string can be an empty string, or composed of combinations of b and ab*a.",403,Even number of a’s.,(b|(ab*a))*,13
53,"The string starts with any number of ""b"" (including zero). It is followed by a repeating pattern of abb*abb*: abb* represents an ""a"" followed by at least one ""b"". abb*abb* represents two ""a""s, each followed by at least one ""b"". The entire pattern can be repeated zero or more times.",403,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,14
54,"It is divided into two parts, connected by | to indicate matching any of the following situations: b*: matching any number of b (including an empty string). b*(abbb*)*ab*: starts with any number of b. Followed by a section consisting of repetitions of abbb*: abbb* represents an a, followed by at least two b's. Ends with an a, followed by any number of b's.",403,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),15
56,"Translate into English: a string that starts with any number of ""ab"" or ""b"", followed by two consecutive ""aa"", and ends with any number of ""ba"" or ""b"".",404,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
57,"A string that starts with any number of ""a"" or ""ba"", followed by any number of ""b"" or ""ab"", and optionally ends with an ""a"".",404,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
58,"Translate into English: A string beginning with any number of ""a"" or ""ba"", optionally followed by ""bb"" once, and ending with any number of ""a"" or ""ab"".",404,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
59,"A repeating sequence consisting of any number of b's followed by an optional a, and then another b.",404,Every odd position is b.,(a?b)*,20
60,"Any string composed of a and b, ending with ab.",389,Ends with ab,(a|b)*ab,6
61,A string starting with any number of 'a's followed by any number of 'ba's or 'b's.,389,Does not contain baa as a substring.,a*(ba+b)*,7
62,"Any string composed of 'a' and 'b', with the second-to-last character being 'b'.",389,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
63,"Any string composed of a and b, containing the substring abab.",389,Contains the substring abab.,(a|b)*abab(a|b)*,9
64,"Strings that start with 'a' and have an odd length, or start with 'b' and have an even length.",389,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
66,"A string consisting of any number of ""bab"" starting with an ""a"".",388,Does not contain baa as a substring.,a*(ba+b)*,7
67,"The middle four characters is a string of ""abab"".",388,Contains the substring abab.,(a|b)*abab(a|b)*,9
69,"The first character of the string is 'a', followed by any even number of (including zero) 'a' or 'b'. The total length is odd (such as a, aab, abbaab, etc.).",388,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
70,Strings that start with 'b' and end with 'a'.,399,Begins with b and ends with a.,b(a|b)*a,11
71,"Strings that start with either a or b, connect to either a or b, connect to a, and end with zero or more a and b.",399,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,12
73,"Zero or more 'b' characters.
Zero or more substrings that match the pattern abb*abb*.",399,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,14
74,"A string consisting of zero or more 'b's. 
A string that starts and ends with zero or more 'b's, with zero or more occurrences of the abbb* pattern in between.",399,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),15
76,"Starting with zero or more occurrences of 'a', each 'a' must be immediately followed by a 'b'.",384,Does not contain baa as a substring.,a*(ba+b)*,7
77,"At least 5 characters long, with the 5th character from the end being 'b'.",384,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
78,"The string must contain the substring ""abab"".",384,Contains the substring abab.,(a|b)*abab(a|b)*,9
79,"Strings starting with 'a' have odd lengths, while strings starting with 'b' have even lengths.",384,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
80,end with ab,392,Ends with ab,(a|b)*ab,6
81,"Starting with any number of ""a""s, followed by any number of ""ba"" or ""b"".",392,Does not contain baa as a substring.,a*(ba+b)*,7
82,"The string can start with any number of a's or b's (including an empty string).
It must contain exactly one b.
After the b, there must be 4 characters, each of which can be a or b.
The minimum length of the string is 5 (b plus 4 characters).
There is no maximum length (since (a|b)* can match any number of prefixes).",392,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
83,Match any string as long as it contains the substring abab.,392,Contains the substring abab.,(a|b)*abab(a|b)*,9
84,"If starting with a:
The length of the string must be odd.
Specifically, it starts with 'a', followed by an even number of pairs of 'a' or 'b' characters.

If starting with b:
The length of the string must be even.
Specifically, it starts with 'b', followed by either 'a' or 'b', and then followed by an even number of pairs of 'a' or 'b' characters.",392,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
90,"String with at most two ""a""s.",412,Contains less than three a’s.,b*a?b*a?b*,16
91,"The string contains two consecutive 'a's, and there can be any number of 'b's or combinations of 'ab'/'ba' before and after these 'a's.",412,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
92,"The string can start with any number of a or ba, followed by any number of b or ab, and can end with an optional a.",412,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
93,"Starting with a or ba, followed by 0 or 1 bb, and ending with any number of a or ab.",412,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
94,"After each ""a"" in the string should be followed by a ""b"".",412,Every odd position is b.,(a?b)*,20
95,"Strings ending with ""ab""",420,Ends with ab,(a|b)*ab,6
96,"Strings composed of any number of ""a""s followed by ""b"" or ""ba"" in any combination.",420,Does not contain baa as a substring.,a*(ba+b)*,7
97,"A string consisting of any number of ""a"" or ""b"" and the 5th character from the end is always ""b"".",420,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
98,"A string composed of any number of ""a"" or ""b"" with the sequence ""abab""存在.",420,Contains the substring abab.,(a|b)*abab(a|b)*,9
99,"A string composed of numerous ""a""s or ""b""s, with at least 3 characters when ""a"" is the first character , and at least 4 characters when ""b"" is the first character.",420,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
101,"A string that can contain no more than 2 ""a""s.",408,Contains less than three a’s.,b*a?b*a?b*,16
102,"Strings starting with any number of ab or b, with two consecutive a in the middle and followed by any number of ba or b.",408,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
103,"A string consisting of any number of a's or ba's, any number of b's or ab's, and optionally a final a.",408,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
104,"A string that starts with any number of ""a"" or ""ba"", followed by optionally ""bb"", and ending with any number of ""a"" or ""ab"".",408,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
105,"A string composed of zero or more occurrences of ""ab"" or ""b"", allowing for an empty string.",408,Every odd position is b.,(a?b)*,20
107,"Translate the sentence into English: Verify strings that start with b, end with a, and only contain a/b.",402,Begins with b and ends with a.,b(a|b)*a,11
109,Translate into English: A string that starts with ??a (where ? can be a or b) and is followed by only a or b.,402,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,12
110,"This regular expression matches a string that starts with either ""ab"" or ""b"", must contain ""aa"" in the middle, and ends with either ""ba"" or ""b"".",413,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
111,"Starting with a or ba combos (repeating is allowed).
Connect with b or ab combos (repeating is allowed).
Optionally end with an a.
Not allowed to start with only b or have isolated a in the middle.",413,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
113,"The first section consists of either a or ba, allowing for repetition.
The middle section can optionally contain bb.
The last section consists of either a or ab, allowing for repetition.
All b's must appear in pairs (in ba, bb, or ab), and cannot appear alone.",413,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
115,"All a must be immediately followed by b.
b can stand alone, or be preceded by an a.
The string is composed of multiple consecutive units of ab or b.",413,Every odd position is b.,(a?b)*,20
116,"Translate into English: Match strings composed of either **b** or **ab*a** patterns repeating zero or more times (including an empty string).
**b**: Directly matches the single character b.
**ab*a**: Strings that start and end with a, with zero or more b's in between (e.g. aa, aba, abbba).
Only characters a and b are allowed.
No other characters (such as c, numbers, etc.) will match.
An empty string is allowed (outer * indicates zero or more repetitions).",402,Even number of a’s.,(b|(ab*a))*,13
117,"A string consisting of zero or more blocks starting with 'b', followed by zero or more blocks composed of two 'a's, with each block having the structure 'ab+ab+', meaning at least one 'b' follows each 'a'. The entire string can be empty, all 'b's, or composed of 'b's and such blocks.",402,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,14
118,"Matching two patterns (separated by |):
Pattern 1: b*
Matches strings with all b characters (including an empty string), such as """", b, bbbb.
Pattern 2: b*(abbb*)*ab*
Matches strings containing a, but must meet the following conditions:
All a's must satisfy:
After each a (except the last one), there must be at least one b immediately following it.
After the last a, there can be zero or more b's.
Allows for any number of prefix b's.",402,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),15
120,"The string must start with ""b"" and end with ""a"", and can contain any number of ""a"" or ""b"" in between.",393,Begins with b and ends with a.,b(a|b)*a,11
122,A string where the third character is definitely 'a'.,393,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,12
123,"A string in which there can be at most one ""a"" following each ""b"".",387,Does not contain baa as a substring.,a*(ba+b)*,7
124,"A string with a length greater than or equal to 5, and the fifth character from the end is ""b"".",387,The 5th symbol from the right end is b.,(a|b)*b(a|b)(a|b)(a|b)(a|b),8
125,At least one string exists with the pattern abab.,387,Contains the substring abab.,(a|b)*abab(a|b)*,9
126,"If a non-empty string starts with 'a', its length is odd; if it starts with 'b', its length is even.",387,Start with a and have odd length or start with b and have even length.,(a(a|ba|b)*)|(ba|b(a|ba|b)*),10
127,String containing at most two 'a's.,409,Contains less than three a’s.,b*a?b*a?b*,16
128,"The length is greater than or equal to 2, the number of continuous occurrences of 'a' is 2, and it only occurs once.",409,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
129,"There is at least one ""b"" after each ""a"".",409,Every odd position is b.,(a?b)*,20
130,Strings starting with the letter b and ending with the letter a.,396,Begins with b and ends with a.,b(a|b)*a,11
131,Strings with the third letter being 'a' and a length of 3 or more.,396,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,12
132,Must include 0 or an even number of a's.,393,Even number of a’s.,(b|(ab*a))*,13
133,At most one 'bb' can appear in the string.,409,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
134,"It can match strings composed of a and b, where the first half can contain any number of a or ba combinations, the middle part can contain any number of b or ab combinations, and it can end with an optional a in the regular expression.",409,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
135,"a must exist on its own, and b must end.",393,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,14
136,a string with an even number of occurrences of 'a',396,Even number of a’s.,(b|(ab*a))*,13
137,"String with an even number of occurrences of the substring ""ab""",396,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,14
138,"If the number of a's is greater than 1, then there is at least one abb.",396,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),15
139,"Zero or more ""b"", or a combination of zero or more ""b"" followed by multiple ""a"" and at least one ""b"".",393,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),15
141,"A string composed of a and b, where a appears at most twice and cannot appear consecutively.",406,Contains less than three a’s.,b*a?b*a?b*,16
142,"A string composed of a and b, which contains exactly one instance of aa, surrounded by substrings composed of ab or b.",406,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,17
143,"A string composed of a and b, where:

- All a's appear individually or in the form of ba;
- All b's appear individually or in the form of ab;
- The string can optionally end with an a.",406,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,18
144,"The first half is composed of repeated single a or ba (no consecutive aa allowed);

The middle may optionally contain one bb (but no other forms of consecutive b allowed);

The second half is composed of repeated single a or ab (no consecutive bb allowed).",406,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,19
145,"A string consisting of a and b, where each b can optionally be followed by a.",406,Every odd position is b.,(a?b)*,20
