question_description,correct_regex,attempt_regex,user_id
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(ba|a)*((bb)?)((ab|a)*),100
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),a*aba*|a*baa*|aa*,104
Even number of a’s.,(b|(ab*a))*,((b*ab*ab*)|b*)*,105
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(?:b{2,}a)*b*",105
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,b?(a+b)*a*(b+a)*b*,105
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,b*(ab)*b*aab*(ab)*,105
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(a*|a*b)a*(a|bb)a*,105
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,(b(a|b))*b?,105
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"a{3,}(bb)*",105
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,111
Every odd position is b.,(a?b)*,(b*(ab)*b*)*,111
Contains less than three a’s.,b*a?b*a?b*,b*a?b*a?b*,111
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,(b(aa)*)*(bb)+b*,111
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,b*(b*(ab)b*(ab)b*)*b*,111
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^.{2}a.*,113
Contains less than three a’s.,b*a?b*a?b*,^[^a]*a?[^a]*a?[^a]*$,113
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,114
Even number of a’s.,(b|(ab*a))*,"[aa,aab,aba,baa,b]*",114
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),[abba|abbba|b]*,114
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,[b|bab|ab]*[aa][b|bab|ab]*,114
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,[a|aba|aba]*[bb]+[a|aba|aba]*,114
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,[b[ab|bb]*]?,114
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[ab]*a{3,}[bb]+",114
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,102
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,(b[ab])*|(b([ab]b)*),102
Begins with b and ends with a.,b(a|b)*a,^(?!.*baa),110
Even number of a’s.,(b|(ab*a))*,^(?:b*a b*a)* b*$,110
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"^[b]*(?:a(?:b{2,}a)*)?[b]*$",110
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,^(?:b|a(?!a))*aa(?!a)(?:b|a(?!a))*$,110
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(?!.*(bb).*\1)[ab]*,110
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,b([ab]b)*[ab]?,351
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),a*ba*|a+,351
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"(a{3,})(b{2,})",351
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,(a|b){3}*,351
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b){2}a(a|b)*,351
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,b(ab|bb)*|(ab|bb)*|b,355
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),(a)*ab(a)*|(a)*ba(a)*|(a)+,355
anbm where n ≥ 3 and m is even,aaaa*(bb)*,aaa(a)*(bb)*,355
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,(aaa|aab|aba|abb|baa|bab|bba|bbb)*,355
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)*(aab|abb|aba|aaa),355
Begins with b and ends with a.,b(a|b)*a,^b[ab]*a$,323
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),a*b?a+,356
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"a{3,}(bb)*",356
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,((a|b){3})*,356
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,((a|b){2}a)(a|b)*,356
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,(b(a|b))*b?,356
Begins with b and ends with a.,b(a|b)*a,^ba`aa$``a$,333
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^[ab]{2}a[ab]*$,333
Even number of a’s.,(b|(ab*a))*,^(b*ab*a)*b*$,333
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,^(b*ab+b*ab+)*b*$,333
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"^b*(ab{2,}a)*b*$",333
Every odd position is b.,(a?b)*,(ab|b)*,344
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(ba|a)*(bb|a*)(ab|a)*,344
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,a|bb,335
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,324
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,aaa(a|b)*|aba(a|b)*|baa(a|b)*|bba(a|b)*,324
Even number of a’s.,(b|(ab*a))*,^(b*ab*ab*)*$,324
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(b*abb*abb*)*,324
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,421
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,421
Even number of a’s.,(b|(ab*a))*,(ab*a|b)*,421
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(abb*ab|b)*,421
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),(abb|b)*(a|b*)b*,421
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,331
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,331
Even number of a’s.,(b|(ab*a))*,b*(ab*ab*)*,331
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,b*(abb*abb*)*,331
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b* (ab{2,})* (a?b*)",331
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,b(a|b)*b(a|b)*,347
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),(a|ab|ba|aab|aba|baa)+,347
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,385
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[ab][ab]a[ab]*,385
Even number of a’s.,(b|(ab*a))*,(b*(ab*a)*)*,385
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(b*ab*b*)*(b*ab*ab*)*,385
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"(a(b{2,}a)+)*b*",385
Contains less than three a’s.,b*a?b*a?b*,^(?!(?:[^a]*a){3}).*$,394
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,a*b*,394
Every odd position is b.,(a?b)*,b*(ab+)*b*,394
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"(a*(b{0,1})a+)*((bb){0,1})(a+(b{0,1})a*)*",394
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,419
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,419
Even number of a’s.,(b|(ab*a))*,b*(ab*ab*)*b*,419
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,b*(abb*abb*)*b*,419
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),b*(abbb*)*ab*|b*ab*|b*|b*(abbb*)*b*,419
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,(a|ba)*(aa|ab)*(bb|ab)*(ba|b)*,344
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(ab|b)*aa(ba|b)*,344
Contains less than three a’s.,b*a?b*a?b*,b*(a|b*)b*(a|b*)b*,344
Contains less than three a’s.,b*a?b*a?b*,(b*ab*ab*)?|(b*ab*)?|b*,342
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(b*(ab)*b*)*aa(b*(ba)*b*)*,342
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^[ab]{2}a[ab]*$,352
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,^([ab]{3})+$,352
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"^(aa){2,}(bb){2,}$",352
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),^(a+|a+ba*|a*ba+)$,352
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,^b[ab]*b$,352
Every odd position is b.,(a?b)*,(ab|b)*,342
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(ba|a)*(bb)?(ab|a)*,342
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,(ba|a)*(b|ba)*,342
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,325
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(a|b)(a|b)a(a|b)*,325
Even number of a’s.,(b|(ab*a))*,(b*(ab*a)*)*,325
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(b*(abb*ab)*)*,325
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),b*(abbb*)*(ab*|b*),325
Contains less than three a’s.,b*a?b*a?b*,baba,335
Contains less than three a’s.,b*a?b*a?b*,((.*a){3}),343
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,^(?![^a]*aa[^a]*aa[^a]*$)[^a]*aa[^a]*$,343
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),^bufffbb,354
anbm where n ≥ 3 and m is even,aaaa*(bb)*,^bba,354
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,^bbaaa,354
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^bbbb,354
Contains less than three a’s.,b*a?b*a?b*,^(?!.*a.*a.*a),339
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,^(?!.*aa.*aa).*aa.*,339
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,abba,339
Every odd position is b.,(a?b)*,bbabb,339
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(b|(ab*a))*,343
Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,^b(.b)*.$,353
Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),^[^b]a[^b],353
anbm where n ≥ 3 and m is even,aaaa*(bb)*,"^a{3,}(bb)*$",353
Length is a multiple of 3.,((a|b)(a|b)(a|b))*,^(?:.{3})*$,353
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^..a.*$,353
Begins with b and ends with a.,b(a|b)*a,bA*a,330
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,(A+A+a)*,330
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(a|b)*aa(a|b)*,336
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,aa(a|b)*bb(a|b)*,336
Every odd position is b.,(a?b)*,(a|b)*abb*,336
Begins with b and ends with a.,b(a|b)*a,^b[a|b]*a$  ,323
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^[ab]{2}a[a|b]*$  ,323
Contains less than three a’s.,b*a?b*a?b*,((b*)|(b*)a(b*)|(b*)a(b*)a(b*)),340
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(b|ab)*aa(b|ab)*,340
Even number of a’s.,(b|(ab*a))*,(b*ab*a)*b*  ,323
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,(b*(ab+)*(b*))*  ,323
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,((a|ba)*b?)((b|ab)*a?),340
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(ab{2,}a)*b*  ",323
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(a|ba)*(bb)?(a|ba)*b？,340
Every odd position is b.,(a?b)*,(b|ab)*,340
Contains less than three a’s.,b*a?b*a?b*,^(b*ab*ab*|b*ab*|b*)$,341
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,^[^a]*(aa)[^a]*$,341
Begins with b and ends with a.,b(a|b)*a,b*a,332
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,^b.*a$,332
Contains less than three a’s.,b*a?b*a?b*,b*a?b*a?b*,394
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,(ab|b)*aa(ba|b)*,394
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,(ba|a)*(bb)?(ab|a)*,394
Every odd position is b.,(a?b)*,(ab|b)*,394
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,(a|ba)*(b|ba)*,394
At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,aabaabb,337
Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,abba,337
Every odd position is b.,(a?b)*,bbabb,337
Begins with b and ends with a.,b(a|b)*a,b(a|b)*a,329
Contains less than three a’s.,b*a?b*a?b*,(ab*)|(aab*)|(b*a)|(b*aa)|(ab*a)|(b*)|b*aab*|ab*ab*|b*ab*|b*ab*a|b*ab*ab*,337
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,^b*((ab+b*){2})*b*$,327
Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,((a|(b|ba)*)*b)*aa(b|ba)*,337
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[ab]{2}a[ab]*,329
Even number of a’s.,(b|(ab*a))*,b*(ab*ab*)*,329
Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,b*(ab+ab+)*,329
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(ab{2,})*a?b*",329
At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"b*(ab{2,})*a?b*",327
Begins with b and ends with a.,b(a|b)*a,b[ab]*a,327
Even number of a’s.,(b|(ab*a))*,b*(ab*ab*)*,327
Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,[ab]{2}a[ab]*,327
