attempt_id,attempt_regex,RE_id,question_description,regex,positive_strings,negative_strings,user_id
236,b?(a+b)*a*(b+a)*b*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[a, bab, bbb, babbaba]","[abbaa, bbabaa, bbaaaa, babbbbabaa, bbaababb]",108
237,b*(ab+)*,20,Every odd position is b.,(a?b)*,"[bbab, abab]","[baaa, aba, abbaabaabb]",108
238,(b*(ab)*)*aa(b*|b+a|(b+ab+)*)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aabbbab, abbaaba, abaa]","[aba, aabbbabaa, aabaa, aaaabbaa, <empty>, aaab, bbab]",100
241,a*(ab|ba|a)a*,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[aaa, ab, baa, aaabaa]","[bba, abb, babb, bab, b, bbb, aaabb, baaababbaa, <empty>, abab]",108
247,((a|b){3})*,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[aaaaaa, bbbbbb]","[aa, bb, aaaa, bbbb]",108
251,[ab]{2}a[ab]*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",104
263,(b*abb*abb*)*|b*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[bbabbbabb, abababab, abab]","[aba, abaaa, abbbaba, abaab, ababbaa, abbb, aaaa, bbaababb]",104
266,b*ab*|b*ab*ab*|b*,16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, bbabbabbaaabba, aaab]",104
284,b*(abb*)*,20,Every odd position is b.,(a?b)*,"[abbab, abab]","[aba, aab, baa, abaaabbaa]",104
303,(ba|a)*((bb)?)((ab|a)*),19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[babba, bbaaaba, aaaba, abbab, ba, abab]","[babbb, bbabb, bab, aabbbabaa, bbb, abaabbabb, aabbb, aabbbbb, ababbb, bbaaababb]",100
356,a*aba*|a*baa*|aa*,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[a, baa, abaa, aaab]","[abb, bba, bab, b, bbb, abbaa, aaabb, abaabbabb, <empty>, baab]",104
428,((b*ab*ab*)|b*)*,13,Even number of a’s.,(b|(ab*a))*,"[aa, aab, bbabbaaa]","[bbaaa, aaba, abbaa]",105
430,"b*(?:b{2,}a)*b*",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[bb, bb?:bbbba?:bbab, ?:bba, ?:bbabbb]","[bbaabaa, abb, ?a, ?b, ?:b, ?:bba?:aa, ?:bbbba?ba, ?:bba?:ab, ?:bbaba, ?:bbaaa, ?:bbaab, ?:baa, ?:bba?bb, ?:bba?aa, ?:bba?ab, ?:bab, ?:bbaa, ?:, ?:bbbb, ?:bbabab, ?:bbabbbaa, ?]",105
236,b?(a+b)*a*(b+a)*b*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[a, bab, bbb, babbaba]","[abbaa, bbabaa, bbaaaa, babbbbabaa, bbaababb]",105
432,b*(ab)*b*aab*(ab)*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[abbbbaaab, abbaa, aaabab, abbaab, aabbab, ababaa, bbabaa]","[aaa, bb, abb, aba, aaaaaaba, abbaba, aaababb, <empty>, aaaabb, aaabba, aaabbb, abab, abbaabaa, abbaaa, abbabb, abbbba, bbaabbaba]",105
434,(a*|a*b)a*(a|bb)a*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[bb, a, ababb, aaabb, abbbaa, abbaaa, abaaabba, ba]","[<empty>, abbabaa, abbaaab, abbbbaa, abbbaab, aaab, bbbb, abab, bbab, baba, abbbbbabb, ababbb, ababab, abbabbabb, abaaabaa, ababbab]",105
436,(b(a|b))*b?,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, bab, bbb, ba]","[aaa, bba, babaa, bbbba, baa, ababb]",105
438,"a{3,}(bb)*",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaa, aaabbbb, aaaaabb]","[abb, aa, aba, a, bbb, aaabbab, aaabbaa, aaabbbba, aaabab, <empty>, aaabaa, aaabbb, aaaaab, aabb, aaba, baaba]",105
460,(a|b)(a|b)a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",111
466,(b*(ab)*b*)*,20,Every odd position is b.,(a?b)*,"[b, abab]","[aba, aabbab, bbabaa, aaaa]",111
472,b*a?b*a?b*,16,Contains less than three a’s.,b*a?b*a?b*,"[bba, bb, bbaabb, abba]","[aaa, bbabbabbabaabb, aaaa]",111
474,(b(aa)*)*(bb)+b*,18,At most one pair of consecutive b’s.,(a|(ba))*(b|(ab))*a?,"[bbbbaabaabb, bbaabbaabb, baaaabb]","[aa, baaaa, babaa, baaa, ab, bbaaba, b, <empty>, bbaabbbbab, babbbab]",111
477,b*(b*(ab)b*(ab)b*)*b*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[bbababb, abababab, abbbab]","[bbaaabaa, ab, abaaa, abbba, abaab, ababa, ababbaa, aabb]",111
550,^.{2}a.*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[^\uffff\uffffa\uffff\uffff, ^","[aa, bb, ^\uffff\uffff, ^",113
552,^[^a]*a?[^a]*a?[^a]*$,16,Contains less than three a’s.,b*a?b*a?b*,"[^$aa$, ^###a`#`#$#a\uffff`\uffff$\uffff$``$, ^a$","[^\uffff`##\uffff\uffff#`\uffffa``#\uffff\uffff`\uffff#`a``\uffff##\uffff\uffff`#`$\uffffaa, ^",113
556,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[bba, babbaaaba]","[bbbab, aaa, babb, abbab, baaabab, <empty>]",114
557,"[aa,aab,aba,baa,b]*",13,Even number of a’s.,(b|(ab*a))*,"[,,, a,aa, b,bb]",[],114
558,[abba|abbba|b]*,15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[a||aa, b||bb]",[],114
559,[b|bab|ab]*[aa][b|bab|ab]*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[|a, bb||ba||aa|, bb||ba||bb|, |ab, |aa]","[bb||b, <empty>, |]",114
560,[a|aba|aba]*[bb]+[a|aba|aba]*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[||aa|b||aa|, ||aa|b||bb|, abb, aba, ab]","[aa||a, <empty>, |]",114
563,[b[ab|bb]*]?,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[[[|[a|aa[], [[|[b|bb[], [[|[b|bb[, b], ||], a], [[|[a|aa[]","[[aa|]aa, [aa|]bb, []b, [aa|]ba, b]b, |[[||aa[a|]abbaab, a]b, |[[||bb[b|]abbaab, [bb|]ba, [bb|]aa, [bb|]bb]",114
567,"[ab]*a{3,}[bb]+",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaaaabbbaabaaab, aaabaaab, aaabaabbaaab, abbaaab, bbabaaab, aaababaaab, aaab]","[abb, aaaba, aaaaa, aaabaabb, aaababa, <empty>, aaaaabbbaaba, aaabaa, bbab]",114
573,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bbbab, aa, babb, abbaab, baaabab, <empty>]",102
604,(b[ab])*|(b([ab]b)*),21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, bab, bbb, ba]","[aaa, bba, babaa, bbbba, baa, ababb]",102
617,^(?!.*baa),11,Begins with b and ends with a.,b(a|b)*a,"[^?!bcuffffbaabcuffffcuffffbaa, ^?!b\uffffbaa\uffffabaa, ^?!babcuffffbaa","[^?!baa\uffff\uffff, ^?!baacuffff",110
618,^(?:b*a b*a)* b*$,13,Even number of a’s.,(b|(ab*a))*,"[^?:a bba $, ^?:a a?:a a $, ^ $, ^?:a a $, ^?:bba a $, ^?:a a bb$]","[bb, ^ ab, ^ aa, <empty>, ^?bb, ^?ba, ^?:bbaaa, ^?:a ab, ^?:aab, ^?:a bbaa, ^ bb$b, ^ $bb, ^ $ba, ^ba, ^ a, ^?:a a , ^bb, aa, ab, ^?:a, ^?ab, ^?aa, ^?:a bb, ^?:a a, ^?:abb, ^?:bb, ^ $ab, ^ $aa, ^?:aba, ^abbaab, ^aa, ^?:a a?, ba]",110
619,"^[b]*(?:a(?:b{2,}a)*)?[b]*$",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[^?:ab$, ^?:a?:bbbba$, ^?:a?:bbab$, ^$, ^?:a?:bbabbb$, ^?:a?:bba$, ^?:a$, ^bb$, ^?:a?:bba?:bba$]","[^?:a?:ab, bb, ^?:a?:aa, <empty>, ^?bb, ^?ba, ^?:a?:bab, ^?:a?:bbabab, ^?:ab, ^?:a?:bbabaa, ^?:a?:bba$aa, ^?:a?:bba$ab, ^?:a?:bba, ^?:aa, ^?:a?:bbbb, ^?:a?:bba?bb, ^?:a?:, ^$a, ^$b, ^, aa, ^?, ab, ^aaba, ^?ab, ^?aa, ^?:a?:bbaaa, ^?:a?:bbaab, ^?:a?:bbabbba, ^?:a?:bbbba?ba, ^abb, ^bba, ^?:a?ab, ^?:a?:bba$ba, ^?:a?:baa, ^?:a?:bba$bb, ^?:ba, ^?:bb, ^?:a?:bbab$a, ^?:a?:b, ^?:a?:bbab$b, ^?:, ^?:a$b, ^?:a?, ^?:a?aa, ba]",110
620,^(?:b|a(?!a))*aa(?!a)(?:b|a(?!a))*$,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[^aa?!a$, ^?:ba?!a?:baa?!a$, ^?:b?:baa?!a$, ^?:ba?!aaa?!aa?!a$, ^?:ba?!aaa?!a?:ba?!a$, ^?:ba?!aaa?!a?:b?:b$, ^?:ba?!aaa?!a?:b$, ^?:ba?!aaa?!a$]","[^?:ba?aa, ^?:baa?!a?, ^?:ba?ab, ^?:ba?!, ^?:babb, ^?:ba?!a?, ^?:baa?!a?:baa, ^?:baba, ^?:baa?!a?:bab, babbaa, aa, ab, ^?:ba?!aba, ^?:ba?!abb, ^?:baa?!a?ab, ^?:baa?!a?aa, ^?:, ^?:b?ba, ^?:baa?!a?:ab, ^?:baa?!a?:ba?b, ^?:b?bb, ^?:baa?!a?:ba?a, ^?:baa?!a?:aa, bb, ^?:baa?!a?:b?ba, ^?:baa?!a?:b?bb, ^a, ^?:baa?!bb, ^b, ^?:baa?!ba, <empty>, ^?:baa?!, ^?:baaba, ^?:baabb, ^?:ab, ^?:aa, ^?:baa?!a?:b$ab, ^?:ba?!bb, ^?:ba?!ba, ^?:baa?, ^?:b?ab, ^?:b?aa, ^?:baa?!a?:b$aa, ^?:baa?!a$b, ^?:b, ^?:baa?!ab, ^?:baa?!aa, ^?:ba?ba, ^?:ba?bb, ^?:baa?!a, ^?:baaab, ^?:baaaa, ^?:bb, ^?:ba?!aa, ^?:baa?!a?:, ^?:baa?!a?:bbb, ^?:ba?, ^?:baa?!a?:bba, ^?:baa?!a?:b$ba, ^?:baa?!a?:b$bb]",110
627,(?!.*(bb).*\1)[ab]*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[?!bb1b`\uffff1, ?!bb1acuffff2uffff1, ?!bb1a","[bb, ?!a\uffffa, ?!bb111bb1\uffff1`, ?!cuffffcuffff",110
642,b([ab]b)*[ab]?,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[baba, bab, bbb, bbbb]","[aaa, babaa, baaa, bbbba, ababb, <empty>, baab, bbaa, bbab]",351
647,a*ba*|a+,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[aaa, ab, baa, aaaba]","[abb, bb, bab, abbaa, abaab, aaabbbbab, <empty>]",351
648,"(a{3,})(b{2,})",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaabbbb, aaaaabb]","[abb, bb, aa, aba, a, aaabbab, aaaaa, aabaa, aaaaabbbbaa, aaabab, <empty>, aaabba, aaabaa, aaab, aabbabb, ba]",351
651,(a|b){3}*,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[aaaaaa, bbbbbb]","[aa, bb, aaaa, bbbb]",351
654,(a|b){2}a(a|b)*,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",351
665,b(ab|bb)*|(ab|bb)*|b,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, bbabbb, abbb, bbabab, abab]","[bbabb, bbaba, aab, abbbb, aaabbaa, ababa]",355
667,(a)*ab(a)*|(a)*ba(a)*|(a)+,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[a, baa, abaa, aaab]","[abb, bba, bab, b, bbb, aaabaabbaabb, <empty>, abba, baab]",355
668,aaa(a)*(bb)*,23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaabb, aaaaa, aaaaabbbb, aaabbbb]","[abb, bb, aa, aba, a, aaabbab, aabaa, aaabbaa, aaabbbbb, aaabab, <empty>, aaabaa, aaab, aabbbab, aaaaabbb, ba]",355
669,(aaa|aab|aba|abb|baa|bab|bba|bbb)*,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[aaaaaa, bbbbbb]","[aa, bb, aaaa, bbbb]",355
670,(a|b)*(aab|abb|aba|aaa),25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbababaab, ababb, abbaaabaabbbbaab, abaab, abbaaabaabbabaab, abbaaabaaaaabb, abbaaa, abbbaab, abbaaababa, abbaaabaaba, abbaaabaabbbaab]","[bba, aaabaaabbaabbbabbab, aaabaaabbaabbbabbb, aaabaaabbaabab, aaabaaabbaabbbabab, bbaaababab, aaabaabab, <empty>, aaabaaaaabbaabbbb, abaa, ababbab]",355
675,^b[ab]*a$,11,Begins with b and ends with a.,b(a|b)*a,"[^baba$, ^bbbaba$, ^babba$, ^ba$, ^baaa$]","[aa, bb, ^baaaba$b, ab, ^babb, ^bbba, <empty>, ^ba$ab, ^abaabb, ^ba$aa, ^ba$bb, ^, ^aa, ^bbbab, ^ba$ba, ba]",323
684,a*b?a+,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[aaa, aba, aaabaaa, ba]","[baaabb, baba, abb, bab, bbabbaa, bbb, <empty>, aaab, abab]",356
685,"a{3,}(bb)*",23,anbm where n ≥ 3 and m is even,aaaa*(bb)*,"[aaa, aaabbbb, aaaaabb]","[abb, bb, aa, a, aaabbab, aaabbaa, aaabbbba, aaabab, <empty>, aaabaa, aaabbb, aaaaab, aabb, aaba, abaabba, ba]",356
686,((a|b){3})*,24,Length is a multiple of 3.,((a|b)(a|b)(a|b))*,"[aaaaaa, bbbbbb]","[aa, bb, aaaa, bbbb]",356
689,((a|b){2}a)(a|b)*,25,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",356
690,(b(a|b))*b?,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, bab, bbb, ba]","[abb, bba, babaa, bbbba, baa, aabaa]",356
692,^ba`aa$``a$,11,Begins with b and ends with a.,b(a|b)*a,[^ba`aa$``a$],"[bb, ^ba`aa$``a, ^ba`aa$aa, ^b, ^ba`a, ^baba, ^babb, ^ba`aa$ab, ^ba`aa$``aba, <empty>, ^ba`aa$, ^aabbaa, ^ba`aabb, ^ba`aaba, ^ba`, ^ba`aa$``a$bb, ^ba`aba, ^ba`aa$``a$ba, ^ba`abb, ^ba`aa$``aab, ^ba`aa$``aaa, ^ba`ba, ^ba`bb, ^ba, ^ba`aa$`aa, ^, ^bb, ^ba`aa$``ba, aa, ^ba`aa$`ab, ^ba`aa$``bb, ab, ^baab, ^ba`aa$bb, ^ba`aa$``, ^ba`aa$ba, ^baaa, ^ba`aaab, ^ba`aaaa, ^ba`aa$``a$aa, ^ba`aa$`, ^ba`aa$``a$ab, ^ba`aa$``abb, ^ba`aa, ^ab, ^ba`aa$`bb, ^ba`aa$`ba, ba]",333
693,^[ab]{2}a[ab]*$,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[^aaaaa$, ^bbabb$, ^aaa$, ^bba$]","[aaa, ^a, bbb, ^bbbb, ^b, ^aaba, <empty>, ^aaa$a, ^aaaaa, ^bbabb$bb, ^aaaaa$aa, ^bbabb, ^bba$b, ^, ^aa, ^bb]",333
694,^(b*ab*a)*b*$,13,Even number of a’s.,(b|(ab*a))*,"[^$, ^bb$, ^aa$, ^aab$, ^abbaaa$]","[^$abaabb, aa, bb, ab, ^bbaa, ^aa$b, ^aab, <empty>, ^$aa, ^$bb, ^$ba, ^abbaa, ^$b, ba]",333
695,^(b*ab+b*ab+)*b*$,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[^ababb$, ^$, ^abababab$, ^abab$, ^bb$, ^abbbab$]","[aa, bb, ab, ^a, ^ababaab, <empty>, ^ababaaa, ^$ab, ^$bb, ^$aa, ^ababb, ^abaaa, ^abbba, ^abaab, ^bb$babbaa, ^abab$b, ^$b, ^ab, ba]",333
696,"^b*(ab{2,}a)*b*$",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[^abbaabba$, ^abbab$, ^abbabbb$, ^$, ^abba$, ^bb$, ^abbbba$]","[bb, ^aab, <empty>, ^aaa, ^abbab$bb, ^abbaabab, ^abba$a, ^abbab$b, ^$a, ^$b, ^abba$b, ^, ^abbaba, babbaa, aa, ab, ^abbbbabbbab, ^abba, ^abbab$ba, ^abbaabaa, ^abbbbabbb, ^bba, ^abbbb, ^abbab$aa, ^abbab$ab, ^abbabaa, ^abbaaa, ^ab]",333
704,(ab|b)*,20,Every odd position is b.,(a?b)*,"[bbab, abab]","[aaa, aba, bbaba, aabaabb]",344
722,(ba|a)*(bb|a*)(ab|a)*,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[babb, aaaba, abbaaaba, ba, bbab, abab]","[abbbbbaab, bab, bbabb, bbb, abbba, aabbb, ababbabb, bbaaababb]",344
762,a|bb,19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,[bb],"[aa, baaaba, babb, bbba, ab, b, <empty>, bbaa, bbbb, bbab]",335
766,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[abb, bbbab, babb, aaaba, baaabab, <empty>]",324
767,aaa(a|b)*|aba(a|b)*|baa(a|b)*|bba(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",324
771,^(b*ab*ab*)*$,13,Even number of a’s.,(b|(ab*a))*,"[^aabbaa$, ^baba$, ^$, ^aaaba$, ^bbbaa$, ^aaaa$, ^abba$, ^aa$, ^baa$]","[bb, aa, ab, ^aa$bbbaab, ^b, ^aaab, ^aa$b, ^bbba, ^baa, ^bab, <empty>, ^aabbaa, ^aa$ab, ^aa$aa, ^aa$ba, ^abbaa, ^$a, ^$b, ^, ba]",324
772,(b*abb*abb*)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[abbbababab, bbbabab, babab, <empty>, ababbbabab]","[aa, bbba, bab, b, abababbba, ababaaa, ababbba, baa, abaab, abaaabbaa, ababaab]",324
773,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bbbab, abb, babb, aabaa, baaabab, <empty>]",421
774,(a|b)(a|b)a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",421
777,(ab*a|b)*,13,Even number of a’s.,(b|(ab*a))*,"[aa, aab, bbabbaaa]","[aaa, aaba, bbabbaa]",421
778,(abb*ab|b)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[ababb, bbabbbababab, abab]","[aba, abaaa, abaab, ababba, bbabbbabaababb, bbabbb, ababaaaa]",421
782,(abb|b)*(a|b*)b*,15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[bbabbb, abba, bbab]","[aaa, abbaa, bbaabaabb, abbbaa, abaa, abab]",421
788,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bb, ab, babaaabbb, <empty>, aaabba]",331
789,(a|b)(a|b)a(a|b)*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",331
793,b*(ab*ab*)*,13,Even number of a’s.,(b|(ab*a))*,"[aab, abbaaa, bbaa]","[aaa, aaba, bbabbaa]",331
794,b*(abb*abb*)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[bbababb, abababab, abbbab]","[bba, bbabaabbaab, ababaaa, abaaa, abbba, ababaab, ababbab]",331
803,"b* (ab{2,})* (a?b*)",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[  a,   b, bb abbbb bbb, bb abbbb abb,  abbabb ,  abb ]","[aaa,  abbbb abbaa,  abb aa,  bb, bb,  ,  abbaa,  abb ba, bbababb,  abbab, <empty>,  abbabab,  abbabaa,   aa,  abba,   ba,  aaa,  abb,  aab,  abb aab,  abbbb bbbaa,  abb bab,  ba]",331
805,b(a|b)*b(a|b)*,21,Every b followed by two or more a's,(b((a|b)b)*(a|b)?)?,"[bb, baabaa, baabbb]","[aaa, abb, b, baa, <empty>]",347
806,(a|ab|ba|aab|aba|baa)+,22,Contains at least one a and at most one b.,(aa*)|(aa*ba)|(a*baa*),"[aa, babaa, abaabba, baab]","[baabb, bab, bbbabb, abbab, aaababb, <empty>, abbb, bbaa]",347
816,b[ab]*a,11,Begins with b and ends with a.,b(a|b)*a,"[babba, baaaba, bbbaba]","[bbbab, abb, babb, aabaa, baaabab, <empty>]",385
821,[ab][ab]a[ab]*,12,Length is at least 3 and the 3rd symbol is a.,(a|b)(a|b)a(a|b)*,"[bbabb, aaaaa]","[aa, bb, a, bbbbb, b, aabaa, <empty>]",385
827,(b*(ab*a)*)*,13,Even number of a’s.,(b|(ab*a))*,"[aa, aab, bbabbaaa]","[bbaaa, aaba, abbaa]",385
839,(b*ab*b*)*(b*ab*ab*)*,14,Even number of a’s and each a is followed by at least one b.,b*(abb*abb*)*,"[aaa, abb, bbba, bab, baa, <empty>]","[b, bbb]",385
845,"(a(b{2,}a)+)*b*",15,At least two occurrences of b between any two occurrences of a.,(b*)|(b*(abbb*)*ab*),"[bbb, abbabbab, abbabbaabbab, abbbba, <empty>, abbabb, abbaabbab, abbabbbba]","[aa, abbabbabab, bab, abbabbaabb, abbaaaa, abbaaab, abbabbbbabaa, abaa, baabbaa, abab, abbbbaabb, bbba, abbabbaa, abbaab]",385
847,^(?!(?:[^a]*a){3}).*$,16,Contains less than three a’s.,b*a?b*a?b*,"[^?!?:a?:a?:`\uffffa$$$\uffff$, ^?!?:a?:``a?:a$, ^?!?:a?:a?:",[^?!?:,394
849,a*b*,17,Has exactly one pair of consecutive a’s,((ab)|b)*aa((ba)|b)*,"[aa, aabbb]","[baaa, bbba, aababbab]",394
860,b*(ab+)*b*,20,Every odd position is b.,(a?b)*,"[b, abab]","[baabb, aba, abbaaabaa]",394
884,"(a*(b{0,1})a+)*((bb){0,1})(a+(b{0,1})a*)*",19,Each a is followed by at least one b.,(a|(ba))*(bb)?(a|(ab))*,"[aa, babaab, ababbaaaba, ba, bbab]","[bab, abbbaaba, bbabb, bbb, aaababbb, abbbbb, abbabb, ababbb, bbaaababb]",394
885,b(a|b)*a,11,Begins with b and ends with a.,b(a|b)*a,"[bba, babaaabbba]","[bb, ab, <empty>, babbaaabab, aabbaa]",419
