Short Description,regex,Attempt Regex,ChatGPT Output
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"Positive example: [ ""ab"", ""ba"", ""b"", ""aab"", ""bab"", ""abab"", ""aabaa"", ""baba"", ""abbab"", ""aababa"" ]  
Negative example: [ ""a"", ""aaa"", ""aaab"", ""baa"", ""ababab"", ""bba"", ""abbb"", ""aabbab"", ""abba"", ""bbaa"" ]  "
even number of 1's,(0*10*10*)*|0*,(0*|1)*(0*|1)*,"Positive example: [ ""0"", ""1"", ""00"", ""11"", ""01"", ""001"", ""110"", ""0101"", ""000"", ""111"" ]  
Negative example: [ ""2"", ""00a"", ""11#"", ""01@"", ""0b1"", ""11ab"", ""0 1"", ""110!1"", ""01-01"", ""?110"" ]  "
Three Choices (Regex),001|1010|110,0*1(01)*1*0*,"positive example: [ ""101"", ""1001"", ""11100"", ""0100"", ""1111100"" ]  
negative example: [ ""011"", ""100"", ""1010"", ""1111"", ""001"" ]"
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"Positive examples: [`""aaa""`, `""aabaaa""`, `""aaaaa""`, `""aaababba""`, `""aaabb""`]  
Negative examples: [`""ab""`, `""ba""`, `""aaaaab""`, `""abbba""`, `""aa""`]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"positive example: [""/#"", ""a"", ""b"", ""#"", ""#/"", ""/?"", ""a#"", ""b#"", ""a/""]
negative example: [""#"", ""/"", ""##"", ""//"", ""#a"", ""b#"", ""/##"", ""a/"", ""b/""]"
even prefix,(ab|ba)*,a*b*(a|b)*,"Positive example: [ ""a"", ""b"", ""ab"", ""aa"", ""bb"", ""aab"", ""bba"", ""aabb"", ""aaaa"", ""bbbb"" ]  
Negative example: [ ""aba"", ""baab"", ""baaa"", ""abab"", ""baba"", ""aaaab"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"positive example: [b, ab, abb, aab, aabb, bbabba, abaabb, baaabbbb]  
negative example: [a, ba, bab, aabbab, bbbbba, aaabbba]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aaa,"```plaintext
positive example: [ ""aaa"", ""aaaaaa"", ""bbaaa"", ""abaaa"", ""ababaaa"", ""bbbbaaa"", ""aabaaaba"", ""bbbbbbbbbbaaa"" ]
negative example: [ ""a"", ""bb"", ""babab"", ""bbb"", ""aa"", ""bbba"", ""abba"", ""abab"", ""bbbbbaab"" ]
```"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"```plaintext
positive example: [ ""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""01010"", ""10101"" ],
negative example: [ ""2"", ""00a"", ""0112"", ""abc"", ""10b10"", ""01c"", ""2a2"", ""111x"", ""010z010"", "" "" ]
```"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)*a*b*a*,"Positive examples: [ """", ""a"", ""aa"", ""aba"", ""aab"", ""ba"", ""aaa"", ""abba"", ""aaba"", ""abaa"" ]  
Negative examples: [ ""b"", ""bb"", ""ab"", ""bba"", ""bbaa"", ""abbb"", ""bab"", ""abbaaa"", ""babab"", ""baaa"" ]  "
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)*,"positive example: [ ""ab"", ""aab"", ""baa"", ""abab"", ""aaab"" ]
negative example: [ ""bba"", ""abb"", ""babab"", ""aaba"", ""aaabb"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaaa*,"Positive example: [""aaaa"", ""baaaa"", ""abaaaa"", ""aaaab"", ""bbaaaa"", ""ababaaaa""]  
Negative example: ["""", ""b"", ""ab"", ""aaa"", ""bb"", ""aab"", ""bab"", ""aabbaaa""]  "
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+,"Positive example: [ ""aba"", ""aabaaa"", ""b"", ""aaabaa"", ""baaaabaaab"" ]  
Negative example: [ ""a"", ""aaa"", ""ab"", ""aabba"", ""bb"" ]"
Odd number of 1s,0*10*(10*10*)*,(0*10*1*)*,"Positive example: [ """", ""0"", ""1"", ""01"", ""10"", ""0011"", ""010"", ""1100"", ""0101"", ""001011"", ""00011011"" ]  
Negative example: [ ""11"", ""001"", ""100"", ""0100"", ""101"", ""0001"", ""111"", ""1000"", ""0110"", ""1111"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"```plaintext
positive example: [ """", ""a"", ""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""bba"", ""abab"", ""baba"", ""aaba"", ""bbab"", ""ababa"", ""babab"" ],
negative example: [ ""aaa"", ""bbb"", ""aaaa"", ""bbbb"", ""abb"", ""baa"", ""aabab"", ""ababaa"", ""babba"", ""bababaa"" ]
```"
first and third,a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"Positive example: [ ""aaaa"", ""aabaa"", ""aaaaa"", ""aababaa"", ""aa"", ""aabaab"", ""aaaabaaaa"" ]  
Negative example: [ ""a"", ""ab"", ""b"", ""aaaaba"", ""aaaabb"", ""baaa"", ""abab"" ]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example: [aa, bb, aaaa, bbbb, abab, baba, ba, ab, aabbaabb, ababba, babbaab, aaabab, bbaabb, abbaaaa, bbabab]  
negative example: [a, b, aaa, bba, abbab, babb, aabbb, bbbbaa, aaaaab, baababa, bbba, ababbb, abbbab, aaaabbb]  "
even prefix,(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"Positive example: [ ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aabb"", ""aba"", ""aaaabaaa"", ""abab"", ""aaaabbab"" ]  
Negative example: [ ""baba"", ""abb"", ""bbbabab"", ""ababaaa"", ""baab"", ""abaaba"", ""aababb"", ""bbaa"", ""ababab"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"Positive example: [""baab"", ""baaab"", ""bbaab"", ""abbaab"", ""baaabbb""]  
Negative example: [""ab"", ""ba"", ""aabb"", ""babab"", ""bba""]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"Positive example: [ ""0"", ""1"", ""101"", ""010"", ""000"", ""111"", ""1001"", ""0110"", ""0101010"", ""10010"", ""101110"" ]  
Negative example: [ ""2"", ""11010"", ""00101"", ""10010011"", ""011010"", ""1011001"", ""10101"", ""10011"", ""0110101"", ""010010011"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"Positive example: [aaaa, baaaa, abaaaa, bbaaaa, abbbaaaa]  
Negative example: [aaa, baa, abaa, bbb, abab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"Positive example: [ ""ab"", ""aaab"", ""aabab"", ""aabbaa"", ""abbb"", ""aaaabab"", ""abbbaa"" ]  
Negative example: [ ""aa"", ""babab"", ""ba"", ""bbb"", ""a"", ""abba"", ""aaaa"" ]  "
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"Positive example: [ ""b"", ""ab"", ""bb"", ""aab"", ""bab"", ""baab"", ""baaaab"" ]  
Negative example: [ ""a"", ""baa"", ""ba"", ""baaa"", ""abbb"" ]  "
Odd number of b's,(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","Positive example: [ ""a"", ""aa"", ""bb"", ""aab"", ""abba"", ""abbbbba"", ""aaabbbaa"", ""abbbbbbba"", ""aaa"" ]  
Negative example: [ ""b"", ""ab"", ""bbbbb"", ""abab"", ""ba"", ""bba"", ""bbbbaa"", ""bbbb"" ]  "
even number of 1's,(0*10*10*)*|0*,0*(0|1)*,"positive example: [ ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""101"", ""111"", ""0001"" ]  
negative example: [ ""2"", ""01a"", ""0 1"", ""0012"", ""10b"", ""abc"", ""0_"", ""1102"", ""x01"", ""2_0"" ]  "
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"Positive example: [1, 1111, 101, 1101, 01]  
Negative example: [0, 100, 000, 110, 01010]"
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"Positive example: [0, 1, 00, 11, 101, 010, 001, 110]  
Negative example: [2, 01a, 1001, 1110, abc, 22, 10x]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*,"positive example: [ ""0"", ""000"", ""0010"", ""000110"", ""000010100"", ""00"", ""00010010"" ],
negative example: [ ""1"", ""01"", ""100"", ""00011"", ""001100"", ""010"", ""000101"" ]"
first and third,a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"Positive example: [ ""aa"", ""aba"", ""abaa"", ""aabaa"", ""aabba"" ]  
Negative example: [ ""a"", ""ab"", ""ba"", ""bba"", ""bab"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"Positive example: [ ""1"", ""11"", ""101"", ""0110"", ""0"", ""010"", ""10101"", ""00011000"", ""111"", ""0000"" ]  
Negative example: [ ""10"", ""110"", ""001"", ""1001"", ""0101"", ""011"", ""1110"", ""100"", ""0001"", ""00110"" ]"
even prefix,(ab|ba)*,(a|b)*,"Positive example: ['a', 'b', 'aa', 'ab', 'ba', 'bb', 'aaa', 'bba', 'abab', '']
Negative example: ['c', 'ac', 'bc', 'abc', 'aab1', 'bacx', '1', ' ']
"
even prefix,(ab|ba)*,(ab|ba)*|(ab|bb)*,"Positive example: ["""", ""ab"", ""ba"", ""abab"", ""abba"", ""ababba"", ""bb"", ""abbb"", ""ababab"", ""abbab""]
Negative example: [""aaa"", ""bba"", ""aab"", ""babba"", ""aabb"", ""bbaa"", ""bbbbba"", ""abbbb"", ""aa"", ""baaa""]"
non isolated 'b',(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example:[aaa, ababb, babbbabaab]
negative example:[aabbba, bbbabba, aaaba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"Positive example: [aaaaa, baa, baaabaaaa, baaaaaa, abaaaaaa]  
Negative example: [b, aaa, abbaaaa, abbb, bbaaaaa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"Positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aba"", ""aaa"", ""aab"", ""abab"", ""baab"", ""aabba""]
Negative example: [""bb"", ""bbb"", ""bab"", ""bba"", ""aabab"", ""abba"", ""baa"", ""ababaa"", ""babaa"", ""abbaaa""]"
even number of 1's,(0*10*10*)*|0*,(0*|1*0*1*)+,"Positive examples: [ ""0"", ""1"", ""00"", ""11"", ""10"", ""01"", ""0011"", ""1100"", ""101"", ""010"", ""000"", ""111"", ""11001"", ""10101"" ]

Negative examples: [ ""0010"", ""0101"", ""1001"", ""11100"", ""01010"", ""10011"", ""00110"", ""10100"", ""011010"", ""1010110"" ]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"Positive example: [bb, abb, bba, abbb, a, aa, aaa, aabb, bbb]
Negative example: [ab, ba, bab, b, aba, babb, aaabbb, baba]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0|1)*,"positive example: [ ""0"", ""00"", ""000"", ""001"", ""010"", ""011"", ""0011"", ""0001"" ],  
negative example: [ ""1"", ""10"", ""100"", ""110"", ""101"", ""111"", ""1100"", ""1010"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"Positive example: [ ""1"", ""0"", ""11"", ""00"", ""101"", ""1101"", ""1001"", ""10101"", ""0000"", ""1111"", ""010"", ""001"", ""101011"", ""0110"", ""110110"" ]  
Negative example: [ ""01"", ""10"", ""1110"", ""0001"", ""100"", ""0010"", ""10100"", ""0101"", ""11100"", ""00010"", ""10010"", ""0111"", ""1100"", ""0011"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"Positive example: [baa, abbaa, ababbaaab, baaabbb, babbaa, aaabaa]
Negative example: [ab, babb, aab, bbba, baaab, bbaa]"
non isolated 'b',(a|(b*bb))*,(a*(b*b)*a*)*,"Sure! Here's the result:

positive example: ["""", ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""abba"", ""aabba"", ""bab"", ""bbaa"", ""aabbaa""]  
negative example: [""bbb"", ""aba"", ""babab"", ""aabaaa"", ""babb"", ""aaab"", ""baaa"", ""bbab""]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{3},"positive example: [aaa, baaa, abaaa, aaaa, bbaaa]  
negative example: [aa, ab, bbb, aabaa, bbba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"Positive example: [ ""baba"", ""babaaba"", ""abababa"", ""babaab"", ""abaaba"" ]  
Negative example: [ ""abb"", ""b"", ""babbaa"", ""aaa"", ""bababab"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"Positive example: [aaaa, aaaabaaa, bbbaaaa, abaaabaaa, abababaaa]  
Negative example: [bbaaa, abababab, aabab, bbb]"
non isolated 'b',(a|(b*bb))*,(a|b(b*))*,"positive example: [ """", ""a"", ""b"", ""ab"", ""bb"", ""aab"", ""bbb"", ""abb"", ""abab"", ""abbb"", ""aaabbb"" ]
negative example: [ ""c"", ""ac"", ""bc"", ""ba"", ""baab"", ""bba"", ""ca"", ""abbbbc"", ""baaa"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"Positive example: [aaaaa, bbaaaa, aaaa, bbbbaaaa, aaaaaaaaaaaa]  
Negative example: [bbbbb, abab, bbb, aabbaaaa, aa]"
even prefix,(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aabaab, bbaabb, ababaa]  
negative example: [aaaa, abb, baa, ababaaa, bbbbba, baab]"
non isolated 'b',(a|(b*bb))*,(a|(bb*))*,"positive example: ["""", ""a"", ""b"", ""bb"", ""bbb"", ""abab"", ""abb"", ""aaab"", ""bba"", ""aa""],  
negative example: [""ba"", ""aabbab"", ""abbba"", ""babab"", ""bbbaab"", ""ababa""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"Positive example: [ ""1"", ""0"", ""11"", ""00"", ""111"", ""000"", ""110011"", ""001100"", ""101"", ""010"", ""111111"", ""000000"" ]  
Negative example: [ ""10"", ""01"", ""110010"", ""001011"", ""10101"", ""01010"", ""111000"", ""000111"", ""1100"", ""0011"" ]"
Every b followed by two or more a's,(a|baa)*,[ab]*(baa)*,"Positive example: ['baa', 'abbaa', 'aabaa', 'bbaa', 'abababbaa']  
Negative example: ['ab', 'baaa', 'b', 'abab', 'abaa']"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,"positive example: [ab, aab, abaa, aabaab, ba, aabba]
negative example: [aa, bb, aaa, bab, bbaa, aba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"Positive example:  
[a, b, baaaaaaa, baaaa, babaaa, abaaa]

Negative example:  
[bbb, aaab, abba, abab, bbba, abbbbb]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*,"Positive example: [ ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"" ]  
Negative example: [ """", ""1"", ""a1"", ""b1"", ""a b"", "".a"", ""bb."", ""aba1"", ""b#a"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*,"positive example: [ ""01"", ""10"", ""0011"", ""101"", ""1100"", ""0101010"", ""1110"", ""1001"" ]  
negative example: [ ""11"", ""10000"", ""11100"", ""10101"", ""0100"", ""100100"", ""01011"", ""11011"" ]  "
At least one zero followed by 0 or more 1s,0+1*,0*1*,"positive example: [ """", ""0"", ""1"", ""01"", ""0011"", ""000111"", ""000"", ""111"", ""0001"", ""0111"" ]  
negative example: [ ""10"", ""110"", ""101"", ""100"", ""00010"", ""1001"", ""1011"", ""0101"" ]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [0, 1, 000, 111, 01, 10, 000111, 111000, 010, 101]  
negative example: [001, 110, 1001, 011110, 000111000, 10101]  "
even prefix,(ab|ba)*,(ab|ba|aa|bb)*,"Positive example: [ ""ab"", ""ba"", ""aa"", ""bb"", ""abab"", ""bbaa"", ""aabb"", ""abba"", """", ""abababab"" ]  
Negative example: [ ""aba"", ""baba"", ""aaab"", ""abbab"", ""aabba"", ""babaab"" ]  "
Every b followed by two or more a's,(a|baa)*,((b+a+a)*a*)*,"Positive example: ["""", ""a"", ""aa"", ""ba"", ""baa"", ""bbaa"", ""baaa"", ""bbaaa"", ""bbaaaa""]  
Negative example: [""b"", ""abab"", ""ab"", ""bb"", ""baba"", ""aab"", ""abba""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101],"positive example: [01, 101, 1111, 0101, 0101, 001],  
negative example: [2, 1112, 01011, 0002, 20, 021]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa,"Positive example: ['aaa', 'aaaaa', 'bbaaa', 'abaaa', 'abbbaaa', 'baaabbaaa', 'aabaaa']  
Negative example: ['aaba', 'bbabb', 'babab', 'abb', 'aabbb', 'baa', 'bbaa']  "
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*,"Positive example: [ab, ba, abab, baba, abba, baab, aabb, bbaa, ababab, bababa]  
Negative example: [a, b, aaa, bbb, ababb, babab, abbba, baaba, abaa, babb]  "
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example: [0000, 111, 01, 010101, 101, 0011, 0, 1110, 10]
negative example: [0112, 12, 00102, 1a0, 0110b, 00012]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*,"Positive example: [ ""0"", ""1"", ""00"", ""11"", ""010"", ""1010"", ""000"", ""111"", ""0101"", ""101"", ""00101"", ""100010"" ]  
Negative example: [ ""2"", ""01"", ""10"", ""1110"", ""00001"", ""101110"", ""011"", ""1001"", ""0001"", ""1101"", ""01001"" ]"
even prefix,(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [ ""bb"", ""aa"", ""aabbababbbbaabbaa"", ""ababba"", ""babaabbaaa"", ""bbbb"", ""ba"", ""ababab"" ]  
negative example: [ ""abbb"", ""aabab"", ""bbaaa"", ""aaaaaabba"", ""abbaaaa"", ""bababaabab"" ]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*a*))*,"Positive example: ['a', 'aa', 'ba', 'bbaa', 'aaa', 'b', 'bb', 'ab', 'abab', 'baab', 'aaab', '']

Negative example: ['bbab', 'abba', 'aba', 'abb', 'babab', 'abbaaa', 'aabb', 'bba', 'ababbaa', 'aaabb']"
