Short Description,regex,Attempt Regex,ChatGPT Output
even prefix,(ab|ba)*,(a|b)b,"positive example: [ ""ab"", ""bb"" ]  
negative example: [ ""aa"", ""ba"", ""a"", ""b"", ""aaa"", ""aab"", ""bba"", ""bbb"", ""abb"", ""babab"" ]"
even prefix,(ab|ba)*,((aa)*b)*,"positive example: ["""", ""b"", ""aab"", ""aabaab"", ""aabaabaab""]

negative example: [""a"", ""aa"", ""ba"", ""abb"", ""aabaabaa""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(b*a)*,"Positive example: ['a', 'aa', 'aaa', '', 'ba', 'bba', 'abab', 'bbabba', 'abababa']  
Negative example: ['ab', 'bb', 'b', 'aba', 'bab', 'aab', 'babab', 'bbab', 'abbb']"
Three Choices (Regex),001|1010|110,(0|1)*01(0|1)*,"positive example: [01, 101, 001, 0101, 1101, 1001, 0110, 1010]  
negative example: [0, 1, 10, 11, 00, 110, 010, 111]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aaa)*,"Positive example: ['ab', 'aaa', 'abab', 'abaaa', 'aaaab', 'aaaabaaa', 'ababab']
Negative example: ['a', 'b', 'aa', 'aab', 'abba', 'aaaa', 'ba']"
Odd number of 1s,0*10*(10*10*)*,(1(11)*)|0*,"positive example: [1, 111, 0, 00, 0000, 11111, 011, 0111]  
negative example: [10, 101, 110, 1110, 0001, 1011, 1110, 0011]"
even prefix,(ab|ba)*,(aa+ab+bb+ba)*,"positive example: [ ""aa"", ""abab"", ""bbaa"", ""abba"", ""baab"", ""aabbaa"" ],
negative example: [ ""a"", ""b"", ""aaaab"", ""abbab"", ""baba"", ""abc"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(ba|bb)*(a|bb)*,"positive example: [babb, babbaa, bb, baa, babba, bbba, babbabbaa]

negative example: [abab, baaab, bababa, aba, aaa, aab, bbaab]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|a*b*),"positive example: [ ""a"", ""aa"", ""ab"", ""aab"", ""b"", ""bbb"", ""aaa"", ""aabb"" ]

negative example: [ """", ""ba"", ""bbba"", ""ababa"", ""baba"", ""baab"", ""abba"" ]"
first and third,a(a|b)a(a|b)*,a+a+b+a+(a+b)*,"positive example: [aaabaaaa, aaabaa, aaabaaaabaa]  
negative example: [aaaab, aaabbb, aab]"
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1*,"Positive example: ['1101', '11011', '0110', '011101', '00110101']

Negative example: ['101', '010101', '1100', '00110', '1110']"
Odd number of b's,(a*ba*b)*a*ba*,(a|ba+a)*,"Positive example: ["""", ""a"", ""ba"", ""baaa"", ""aaa"", ""baaaaaa""]

Negative example: [""b"", ""ab"", ""baab"", ""bb"", ""baaba""]"
At least one a followed by one b,a+b,(ab)*,"Positive example: ['ab', 'abab', 'ababab', '']

Negative example: ['a', 'b', 'aba', 'abb', 'abbab']"
Odd number of 1s,0*10*(10*10*)*,(0|(1(11))*)+,"Positive example: [ ""0"", ""111"", ""111111"", ""0111"", ""110"", ""111111111"", ""0"", ""1110"", ""1111110"" ]

Negative example: [ ""1"", ""10"", ""1100"", ""011"", ""1111"", ""111011"", ""1101"", ""11110"", ""1011"" ]"
Every b followed by two or more a's,(a|baa)*,(a)*((b)+(aaa)+)*,"positive example: [ """", ""a"", ""aaa"", ""baaa"", ""bbaaa"", ""bbbaaa"", ""aaabaaa"", ""abbbaaa"", ""abaaa"", ""aabaaa"" ]

negative example: [ ""b"", ""aa"", ""bba"", ""abab"", ""abaa"", ""abb"", ""babab"", ""aabbaaaa"", ""abaaaaaa"", ""ba"" ]"
At least one a followed by one b,a+b,(ab)+,"positive examples: [ ""ab"", ""abab"", ""ababab"", ""abababab"", ""ababababab"" ]

negative examples: [ ""a"", ""b"", ""aba"", ""ababa"", ""ba"", ""abb"", ""baba"" ]"
non isolated 'b',(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"Positive examples:  
1. bba  
2. babbb  
3. ababbabb  
4. bbababb  
5. bbbbba  

Negative examples:  
1. baab  
2. aaabb  
3. abbab  
4. aabbb  
5. abababa"
even number of 1's,(0*10*10*)*|0*,0*0?|(0|1)11*,"Positive example: [ ""0"", ""00"", ""000"", ""011"", ""111"", ""1111"", ""01111"", ""1100"", ""1101"" ]

Negative example: [ ""10"", ""101"", ""100"", ""01"", ""001"", ""1011"", ""1000"", ""0001"" ]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+(a*))|((a*)+(b*)),"Positive example: ['a', 'aa', 'aaa', 'ab', 'aaabbb', 'aaaabbbb']

Negative example: ['b', 'bb', 'ba', 'baab', 'bbaa', 'abab']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+b+)|(b+a+)(aaa)+,"Positive example: ['abaaa', 'baaaa', 'abbaaa', 'baaaa', 'abaaaa']

Negative example: ['aab', 'bba', 'bbaa', 'abab', 'aaab']"
even prefix,(ab|ba)*,(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"Positive examples: ['ab', 'abba', 'baba', 'abbaab', 'ababba']

Negative examples: ['aa', 'bba', 'abab', 'abababba', 'baab']"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*(ba)*(b)*(aaa+),"positive example: [aaaa, abaaa, ababaaa, ababaaaabaaa, baaabaa]

negative example: [abb, baaa, abaabaaa, aaabaaa, a]"
Odd number of b's,(a*ba*b)*a*ba*,((a*)+b+(a*)+(bb*)+(a*)),"positive example: [ ""baabaabba"", ""abaaaabb"", ""abaaabbb"", ""aaabbaa"", ""bbaabbbaa"" ]

negative example: [ ""aaaaa"", ""bbbb"", ""bbbaaa"", ""ab"", ""aabbaaab"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"Here are the examples for the given regular expression:

positive example: [ """", ""a"", ""aaa"", ""bb"", ""bbbb"", ""ba"", ""babb"", ""baab"", ""baaaa"", ""baba"", ""babab"", ""baa"", ""bbbaa"", ""bb"", ""bba"", ""bbaa"" ]

negative example: [ ""ab"", ""aba"", ""bab"", ""aaaab"", ""abba"", ""baaaabb"", ""abbbb"", ""aaaabb"", ""abab"", ""aaabb"" ]"
non isolated 'a',(b|(a*aa))*,(a|b)(aa)*(a|b)*,"Positive example: ['a', 'b', 'aaa', 'baa', 'aaab', 'baaa', 'aabaa']

Negative example: ['baab', 'babaa', 'aab', 'bb', 'abba', 'abbaa']"
even number of 1's,(0*10*10*)*|0*,0?0|111*,"positive example: [""00"", ""0"", ""111"", ""11111"", ""0"", ""00""]
negative example: [""01"", ""110"", ""10"", ""011"", ""1110"", ""001""]"
Every b followed by two or more a's,(a|baa)*,(a|b)(a|b)+(aaa)+,"Positive example: [baaabaaa, baaabaaaaaa, baaabaaaaaaa]  
Negative example: [baa, aaabaaa, abaaba, abaaaaaaa]"
even prefix,(ab|ba)*,(a)*(b)*|(b)*(a)*,"positive example: [ """", ""a"", ""b"", ""aa"", ""bb"", ""aaa"", ""bbb"", ""ab"", ""ba"" ]

negative example: [ ""abab"", ""baba"", ""aab"", ""bba"", ""aabb"", ""abba"" ]"
even prefix,(ab|ba)*,(ab)*(ba)*|abbba,"positive example: [ababa, abbba, abababa, abba, ababba]

negative example: [aba, abb, bab, ba, aa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|ab*b)*ba*,"Positive examples: [ ""a"", ""ab"", ""aa"", ""ababba"", ""abba"", ""ba"", ""aaa"", ""abab"", ""baba"" ]

Negative examples: [ ""b"", ""bba"", ""abb"", ""ababab"", ""bbb"", ""bab"", ""aab"", ""baab"", ""abbb"" ]"
non isolated 'b',(a|(b*bb))*,(a|b)(a|bb)*,"positive example: [ ""a"", ""b"", ""aa"", ""abb"", ""aba"", ""abbaa"", ""bab"", ""babb"", ""bbbb"", ""ba"" ]

negative example: [ ""bb"", ""bba"", ""abba"", ""babba"", ""bbba"", ""babab"", ""bbaabba"", ""abaaba"", ""bbaa"", ""abab"" ]"
non isolated 'b',(a|(b*bb))*,(bb*)*,"Positive example: ["""" ,""b"", ""bb"", ""bbb"", ""bbbb"", ""bbbbbb""]

Negative example: [""a"", ""ab"", ""ba"", ""bba"", ""bab""]"
non isolated 'b',(a|(b*bb))*,b*|(a*b*),"Positive example: ['b', 'bb', 'a', 'ab', 'abb', 'aab', 'aabb', '']

Negative example: ['ba', 'bab', 'baab', 'baa', 'aa', 'aba']"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ab*b)*a*,"Positive example: [ ""ab"", ""aabb"", ""aaabbb"", ""abaabb"", ""aaaabbaa"", ""aababba"", ""abab"", ""aaabab"", ""abb"", ""aabaa"" ]

Negative example: [ ""ba"", ""bbaa"", ""abbba"", ""abaab"", ""aaabbab"", ""aababa"", ""bab"", ""baab"", ""bbb"", ""abbaa"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|b){2},"positive example: [ ""abbb"", ""aabbb"", ""aaabbb"", ""ababa"", ""aabab"", ""abbaa"" ]

negative example: [ ""aaa"", ""bbba"", ""ba"", ""abab"", ""abbbbb"", ""aabaa"" ]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*b(aa*)b,"positive example: [“bbaab”, “baab”, “abbaab”, “baaab”, “bbaaab”]  
negative example: [“baa”, “abab”, “ab”, “bb”, “baaa”]"
non isolated 'b',(a|(b*bb))*,a*(bb)*(a+b)*,"Positive example: ['a', 'bb', 'abba', 'abbbbb', 'aaabbba', 'bbab', 'bbbb']

Negative example: ['aab', 'baba', 'ba', 'ab', 'bbaa', 'aabba']"
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*(a+b(bb)*)*a*,"Positive example: [ ""b"", ""abbba"", ""abbbba"", ""abbbabba"", ""aabb"", ""bbbbba"" ]

Negative example: [ ""aa"", ""ba"", ""bab"", ""bbab"", ""abbb"", ""babba"" ]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+a|b+a{3}a*,"Positive example: [ ""aaa"", ""baaa"", ""bbaaa"", ""aaaa"", ""baa"", ""bbaaa"", ""bbaaaa"" ]

Negative example: [ ""aba"", ""baba"", ""babaa"", ""abb"", ""bbb"", ""b"", ""a"" ]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|((01+0)*(10+1)*)*,"positive example: ['', '0', '00', '1', '11', '01010', '101', '010010', '110', '0110101'], negative example: ['001', '1010', '011', '100', '010011', '1100', '1011', '01010101', '10010', '1110']"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*|b*|(ba)*,"Positive example: ['a', 'aa', 'aaa', 'b', 'bb', 'bbb', 'ba', 'baba', 'baba']

Negative example: ['ab', 'aab', 'abb', 'abab', 'bab', 'babbb']"
Every b followed by two or more a's,(a|baa)*,((b)(a)(a)*(a*))*,"positive example: [ """", ""ba"", ""baaa"", ""bababaa"", ""babaabaaa"", ""baabaabaaa"" ]

negative example: [ ""a"", ""b"", ""abaa"", ""bbb"", ""aabba"", ""babaaab"" ]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a*)(b*)(a+))|((a+)(b*)(a*)),"positive example: [ ""aaa"", ""abba"", ""aaab"", ""aaaabb"", ""bbbaaa"", ""aa"", ""abaaa"", ""ab"", ""baa"" ],  
negative example: [ ""bbb"", ""b"", ""abbbb"", ""bbbbbb"", ""bba"", ""abbaaa"", ""ba"", ""aaaabbb"" ]"
Every b followed by two or more a's,(a|baa)*,(a|b)*baaa*,"Positive example: ['baaa', 'abaaa', 'bbaaa', 'aabaaa', 'bbbaaa']
Negative example: ['aaa', 'abc', 'babab', 'ba', 'bbbbaa']"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0)|(1+0+1))*,"Positive examples: [ """", ""010"", ""101"", ""010010"", ""101101"", ""101010"" ]

Negative examples: [ ""00"", ""11"", ""001"", ""110"", ""1010"", ""0101"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|ba*b)*a)*)?,"positive example: ["""", ""a"", ""aa"", ""ba"", ""baa"", ""bba"", ""aba"", ""ababaa"", ""bbbbba"", ""baabba"", ""aaaba""],

negative example: [""b"", ""bb"", ""ab"", ""bbab"", ""abab"", ""bbaa"", ""aab"", ""baaa"", ""baab"", ""babaa""]"
Odd number of b's,(a*ba*b)*a*ba*,(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,"Positive example: [b, bb, abb, bba, abbbba, ababa, bbbbb, a, aa, aaa, babb]

Negative example: [bbb, aba, bbba, bab, baaa, babba, ab, abbba, bbaa, baa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a|ba*b*(baa)b,"Positive example: ['a', 'b', 'baa', 'bbaab', 'baabbaa', 'baaa', 'baaaa', 'bbaaabbaa']
Negative example: ['b', 'bb', 'bab', 'ba', 'baabb', 'bbba', 'bbab', 'babaa']"
Odd number of b's,(a*ba*b)*a*ba*,(a|(ba*b)*b(a|(ba*b))),"Positive example: ['a', 'babab', 'bbba', 'baab', 'bbbbba', 'baabaab', 'bbbaabab']

Negative example: ['b', 'ab', 'ba', 'aaa', 'abb', 'bb', 'baa', 'bbb']"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*0*|1*0*,"positive example: ["""", ""0"", ""00"", ""10"", ""100"", ""1110"", ""000"", ""1010"", ""1100""], negative example: [""1"", ""11"", ""01"", ""111"", ""1011"", ""1101"", ""1111""]"
Odd number of 1s,0*10*(10*10*)*,(0*10*10*10*)*,"Positive example: ['111', '010', '00100', '1001', '000110000', '1010', '0', '']

Negative example: ['110', '00001', '10101', '0110', '000', '1110', '00010', '1111']"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*b*a*,"Positive example: [“bb”, “abba”, “bbaaa”, “aabb”, “bbbb”, “ababb”]

Negative example: [“b”, “aa”, “aba”, “bab”, “aab”, “abbba”]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*,"positive example:[0, 00, 000]
negative example:[01, 10, 001]"
non isolated 'b',(a|(b*bb))*,(bb|a)*b*,"positive example:[bb, aab, bbabb]
negative example:[abbba, aba, baa]"
Every b followed by two or more a's,(a|baa)*,a|(b|aa*),"positive example: [ ""a"", ""b"", ""aa"", ""aaa"" ]

negative example: [ ""ab"", ""ba"", ""c"", ""aaaaa"" ]"
non isolated 'b',(a|(b*bb))*,(a+b)*(bb)*(a+b)*,"positive example: [ab, bbbba, abbabb, aaabbabbbba, bbbbaa]

negative example: [aba, bbba, aababb, aabbba, ababb]"
Odd number of 1s,0*10*(10*10*)*,0*1+0*1*0*,"Positive example: [ ""101"", ""0101"", ""0110"", ""110"", ""1110"", ""111"", ""100"" ]

Negative example: [ ""00"", ""11110"", ""000"", ""10100"", ""0100"", ""1001"", ""1"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((aa)*[b](bb)*)?,"positive example:[b, aab, aaabbbb, aabbb]
negative example:[a, bb, aabb, abab]"
even prefix,(ab|ba)*,(ab)*|(aa|ab|bb)*,"positive example: [ab, abab, aa, abbb, aabbaa, ababab, aabbbb, bb, bbaaab]

negative example: [aba, baa, abaa, b, aabbab, bab, a, abba, ba]"
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa)+)+|[a]*,"positive example: [aa, aaa, aaab, b, aaabaaa, abaaab, a]

negative example: [abbb, aabaa, baaa, abb, abba]"
non isolated 'b',(a|(b*bb))*,(a)*b*(b+bb)*b*(a)*,"Positive example: ['b', 'bb', 'ab', 'baa', 'abbbba', 'ababba', 'bbbaaa', 'abbbbba']

Negative example: ['aa', 'bab', 'abba', 'aaaa', 'bbbaa', 'baab', 'bbabb']"
Odd number of b's,(a*ba*b)*a*ba*,b(b)*|(b)*b,"positive example: [b, bb, bbb, bbbb, bbbbb]
negative example: [bbbbbb, bbbbbb, bbabb, ababab]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(bb)*a*b*,"Positive examples: [ ""ab"", ""aab"", ""ba"", ""bbaabb"", ""abb"", ""abaaabb"", ""abba"", ""abbaab"", ""aaaaab"", ""aabbba"" ]

Negative examples: [ ""aa"", ""b"", ""bbb"", ""bab"", ""abbaabbb"", ""abbaabb"", ""aba"", ""baabab"", ""aaaba"", ""bbba"" ]"
even prefix,(ab|ba)*,(ab+ba)(ab+ba)*(aa+bb+ab+ba)*,"positive example: [abba, abbaa, abbaba, abbabbaa, abbaaa]
negative example: [abb, aaab, bbaa, aababaab, babb]"
first and third,a(a|b)a(a|b)*,a|(a+b)|a(a+b)*,"Positive example: [ ""a"", ""ab"", ""aa"", ""aab"", ""aaa"", ""aabb"", ""aaaab"" ]

Negative example: [ ""b"", ""aba"", ""bba"", ""abb"", ""ba"", ""babab"", ""bab""]"
non isolated 'b',(a|(b*bb))*,a*b*a*,"positive examples: [aa, bb, abba, aabaaa, b]
negative examples: [aba, baa, bba, aaaab, bab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|(((a|b)a*b)|((a|b)a*ba)*),"Positive examples: ['a', '', 'b', 'ab', 'aa', 'ba', 'aba', 'aab', 'baab', 'abab']

Negative examples: ['bb', 'aaa', 'bba', 'baba', 'abb', 'aaaa', 'babaa', 'bbbb', 'abbab', 'baaa']"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)|(0+1*0+)|1*|0*,"positive example:[110111,00100,111111,000000],
negative example:[1010,1011,010,11000]"
contains 'bab',(a|b)*(bab)(a|b)*,(a|b)*aba(a|b)*,"positive example: [aba, aaba, ababa, bababa, abab, baaba]  
negative example: [aa, bb, abab, baa, abbaa, ab]"
Every b followed by two or more a's,(a|baa)*,((a)*|(b))(a)(a)*,"positive example: [aa, baa, aaaa, baaa, baaaa]
negative example: [b, bb, ab, aba, bab]"
non isolated 'b',(a|(b*bb))*,(a)*b*(ba+ab+b)*b*(a)*,"Positive examples: [ ""ab"", ""ba"", ""b"", ""aba"", ""bba"", ""babab"", ""abbab"", ""bbaaa"", ""aabbbaa"" ]

Negative examples: [ ""aa"", ""bbbbbaaa"", ""abba"", ""aaaaa"", ""bbbab"", ""babaaa"", ""aabb"", ""bbb"" ]"
non isolated 'b',(a|(b*bb))*,b*b,"positive example: [b, bb, bbb, bbbbb, bbbbbbb]
negative example: [bbbab, abbb, a, ba, aa]"
non isolated 'b',(a|(b*bb))*,b*bb*,"positive example: [ ""bb"", ""bbb"", ""bbbb"", ""bbbbbb"", ""bbbbb"" ], negative example: [ ""b"", ""bbbbab"", ""abbb"", ""bbab"", ""a"" ]"
Odd number of b's,(a*ba*b)*a*ba*,a*|b(ab*ab*)*,"positive example: [ """", ""a"", ""aaaa"", ""b"", ""bab"", ""bababab"", ""baaaabab"", ""baaabaaaaabbb"", ""baaabaaaab"", ""baabaaaab"" ]
negative example: [ ""c"", ""ab"", ""bb"", ""baabb"", ""baaa"", ""bba"", ""abaa"", ""babababa"", ""baababab"", ""baaabb"" ]"
first and third,a(a|b)a(a|b)*,aa+ba,"Positive example: ['aaba', 'aaaba', 'aaaaba']  
Negative example: ['aba', 'ab', 'aa']"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0*1+0*1*)+)+,"positive example: [ ""1"", ""1001"", ""111"", ""001100"", ""110011"" ], negative example: [ ""0"", ""10"", ""11000"", ""01110"", ""000"" ]"
Every b followed by two or more a's,(a|baa)*,(a*(baa*)),"Positive example: [ba, baa, baaa, aabaa, aaabaa]

Negative example: [b, aaab, abaa, aabaaab, aabaaa]"
even prefix,(ab|ba)*,((aa)*|(bb)*)(aa|bb)*,"positive example: [ ""aa"", ""bb"", ""aaaa"", ""bbbb"", ""aabb"", ""bbaa"", ""aaababbaa"", ""bbaaaabb"", ""aaaabb"", ""bbabba"" ]

negative example: [ ""abab"", ""ba"", ""ab"", ""baa"", ""abb"", ""abbb"", ""bbaaabb"", ""aabbb"", ""aaab"", ""babab"" ]"
Odd number of 1s,0*10*(10*10*)*,(0)*(111)*(1)*(0)*,"Positive example: [111, 0111, 11110, 011110, 1110, 0]

Negative example: [100, 1101, 11111, 101, 01, 00110]"
Every b followed by two or more a's,(a|baa)*,a*b*aaa*,"positive example: [aaa, aaab, abaaa, aaabbaa, aabbaa]

negative example: [baaa, abb, abbb, baa, bbba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01)0*(10))*|(0*1*0*)),"positive example: [ ""01"", ""10"", ""0"", ""1"", ""01010"", ""01110"", ""0010"", ""111"", ""000"", ""0011100"" ]

negative example: [ ""11"", ""1001"", ""1010"", ""0100"", ""110"", ""101"", ""1110"", ""01101"", ""10001"" ]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)*,"positive example: [ ""a"", ""b"", ""bb"", ""ab"", ""ba"", ""abb"", ""bab"", ""bba"", ""aab"", ""bbbaa"", ""abbaa"", ""aabba"", ""abbb"", ""bbab"", ""aaabb"", ""abbbb"", ""abbba"" ]

negative example: [ ""aaa"", ""bbb"", ""aabb"", ""abba"", ""bbaa"", ""abab"", ""baba"", ""aaab"", ""baaa"", ""baab"", ""babba"", ""abbaaa"", ""bbaabb"", ""babaab"" ]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*)b)*|((a|b)(a*)ba*),"positive example: ["""" , ""abb"", ""a"", ""ba"", ""ab"", ""aabb"", ""abab"", ""baaa"", ""bab"", ""aba"", ""abba"", ""ababaa""]
negative example: [""aa"", ""baba"", ""bb"", ""b"", ""baab"", ""bba"", ""babab"", ""aaabb"", ""ababa"", ""bbb""]"
Every b followed by two or more a's,(a|baa)*,(a)*|(b)(a)(a)*,"positive example: ['a', '', 'b', 'ba', 'baa', 'aaaa', 'baaa']  
negative example: ['bba', 'ab', 'bb', 'aba', 'aab']"
non isolated 'b',(a|(b*bb))*,(b*b)|(a*),"Positive example: ['b', 'bb', '', 'a', 'aa', 'aaa', 'bbbb']
Negative example: ['ab', 'ba', 'abab', 'bba', 'aaab', 'aab']"
even number of 1's,(0*10*10*)*|0*,0*1(0*1+0*)*,"positive example: [ ""1"", ""01"", ""001"", ""110"", ""101"", ""0101"", ""1001"", ""1110"", ""10101"" ]  
negative example: [ """", ""0"", ""00"", ""10"", ""111"", ""1010"", ""0010"", ""000"", ""1100"" ]"
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb+bbb)*(b+a)*,"Positive example: ["""" , ""a"", ""b"", ""ab"", ""bb"", ""aaa"", ""aba"", ""bbb"", ""abb"", ""abababb"", ""bbba"", ""bbbbb""]

Negative example: [""aaab"", ""aabbaa"", ""baaba"", ""aabba"", ""babbb"", ""bbabab"", ""bbbbaa"", ""bbaaa""]"
even prefix,(ab|ba)*,((ab|ba)+(aa|bb|ba|ab)*),"positive example: [ ""abab"", ""baab"", ""abba"", ""baba"", ""ababaa"", ""baabab"", ""ababbb"", ""baabaa"", ""abbaab"" ]

negative example: [ ""a"", ""b"", ""aaaa"", ""bbbb"", ""abababab"", ""bab"", ""aabb"", ""bbaa"", ""ab"", ""ba"" ]"
non isolated 'b',(a|(b*bb))*,(a|b)*b*b|bb*(a|b)*,"Positive example: [ ""ab"", ""bb"", ""b"", ""aaaab"", ""ababab"", ""bbbb"", ""bbaaa"", ""baaa"", ""bbabab"", ""bbba"" ]

Negative example: [ ""a"", ""aa"", ""aaaa"", ""abba"", ""aba"", ""ba"", ""aaa"", ""babab"", ""aab"", ""baab"" ]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*(10+)*1+)*|((0+1)*0)*,"Positive example: [ ""111"", ""1011"", ""100101"", ""010"", ""001110"", ""0"", ""000"", ""1101"", ""11111"", ""001"" ]

Negative example: [ ""11001"", ""00111"", ""10010"", ""0101"", ""0110"", ""1010101"", ""110110"", ""1010"", ""1110"", ""0010"" ]"
non isolated 'b',(a|(b*bb))*,(a+b|b)*,"Positive examples: ['ab', 'ba', 'abab', 'baba', 'a', 'b', '']

Negative examples: ['aa', 'bb', 'abb', 'baa', 'aaa', 'bbb']"
even number of 1's,(0*10*10*)*|0*,(0|1)*1,"positive example: [1, 01, 101, 111, 1101]  
negative example: [0, 00, 10, 000, 0110]"
