Short Description,Regex,Attempt Regex,ChatGPT Output
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"Positive examples: [  
""1"", ""111"", ""11111"", ""10"", ""1110"", ""01"", ""100"", ""001"", ""010"", ""1011"", ""1000"", ""1101"", ""0001"", ""0010"", ""0111"", ""0100"", ""10101"", ""10110"", ""10011"", ""10000"", ""11001"", ""11010"", ""11100"", ""00001"", ""00010"", ""00111"", ""00100"", ""01101"", ""01110"", ""01011"", ""01000"", ""101001"", ""101010"", ""101111"", ""101100"", ""100101"", ""100110"", ""100011"", ""100000"", ""110001"", ""110010"", ""110111"", ""110100"", ""111011"", ""111000"", ""111101"", ""111110"", ""000001"", ""000010"", ""000111"", ""000100"", ""001101"", ""001110"", ""001011"", ""001000"", ""011001"", ""011010"", ""011111"", ""011100"", ""010101"", ""010110"", ""010011"", ""010000"", ""101001"", ""1010001"", ""1010010""  
]

Negative examples: [  
"""", ""00"", ""11"", ""1110"", ""110"", ""101101"", ""101"", ""110011"", ""1011111"", ""00011"", ""111111"", ""1010101"", ""1001110"", ""0100101"", ""1101010"", ""1110100"", ""0000001"", ""1011110"", ""01010111"", ""00111001"", ""0001101"", ""1110101"", ""1001100"", ""10111000"", ""10110101"", ""0000000"", ""1100001"", ""01100111"", ""01010110"", ""01001000"", ""01101001""  
]"
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*a*b,"positive example: [ab, bbb, abaab, bbbaab, aab, bbab]  
negative example: [aa, bbba, abbba, ba, bbbab]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example:[111, 1010, 1101, 00111, 101010, 111101, 011100]
negative example:[0110, 11011, 1001, 001001, 10111, 010010, 111111]"
non isolated 'b',(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,"Positive example:  
[""a"", ""aa"", ""bb"", ""abb"", ""aabb"", ""aaa"", ""aabbb"", ""bbba"", ""aabbba"", ""abbaabb"", ""aaaaaaa""]  

Negative example:  
[""b"", ""ab"", ""ba"", ""abab"", ""baba"", ""bbbba"", ""aab"", ""bbaa"", ""babba"", ""aabba"", ""bbbbb""]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"positive example: [aaabaaa, bbbaaa, ababaaa, babaabaabbabaaa, aababaaa]  
negative example: [aaa, aaabba, bbaaaab, abababab, babaabaabbab]  "
even number of 1's,(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"Positive example: [11, 0, 00, 1111, 011, 110, 01011, 10, 101, 1001, 111011, 00, 00011, 1010110]
Negative example: [01, 1, 100, 1100, 10011, 1010, 1110, 00010, 0110, 101001, 00110]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+,"positive example:[""bbaaabaaa"", ""aababaaa"", ""ababaaa""],negative example:[""baaa"", ""aaa"", ""babab""]"
non isolated 'b',(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example: [aaabbbba, bbaaaaaa, aaabbaaabbb]
negative example: [abbaabbbb, abbaaaa, aaaabbbb]"
even number of 1's,(0*10*10*)*|0*,(0*(11)*0*0*)*,"positive example:['', '0', '11', '00', '000', '0110', '001100', '1100', '000110000', '11110000'],  
negative example:['1', '10', '01', '111', '101', '1001', '11010', '00001', '11001', '001101']"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)(baa)*(b),"positive example: [baab, baabaab, baabaab, baabaabbaab, baabb]  
negative example: [baa, baaa, b, baaaab, baabba]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000]

negative example: [0, 11, 101, 1111, 110, 000, 1010, 011, 1001, 0101, 0000, 111000, 101101, 110110, 01010, 10010, 111111, 001001, 000011, 001100, 011011, 010100]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1|1+(0|1)+1|0+(0|1)0+,"Positive example: [ ""0"", ""00"", ""1"", ""1001"", ""11111101"", ""01"", ""1111111"", ""0000"", ""000000100000"", ""01"" ]  
Negative example: [ ""11"", ""10"", ""110"", ""001"", ""1010"", ""0001"", ""1110"", ""00010"", ""111"", ""0001001"" ]"
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"Positive example: [ ""bbbb"", ""ababbbbb"", ""aaaaabbbbb"", ""ababbabbabb"", ""bbbaabbbbbb"" ]  
Negative example: [ ""bbaba"", ""aaabb"", ""abbbba"", ""bbbbab"", ""bbbbaa"" ]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1),"positive example: [00, 01, 10, 11]  
negative example: [0, 1, 000, 111, 101, 0101]"
non isolated 'a',(b|(a*aa))*,(b*(aaa*)b*)*,"positive example: [ """", ""aaa"", ""b"", ""bab"", ""baaab"", ""aaabbaa"", ""bbaaaabb"", ""bbaabbbaaaabbb"" ]  
negative example: [ ""aaaa"", ""ab"", ""babab"", ""bbab"", ""abba"", ""aaabbaaa"", ""bbaaaaaabbb"" ]"
even prefix,(ab|ba)*,(ab)*(ba)*|(ba)*(ab)*,"Positive example: [ab, ba, abab, baba, abba, baab, ababab, bababa]  
Negative example: [a, b, aba, bab, abb, baa, abbb, baaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011]

Negative example: [0, 11, 1111, 1001, 1100, 000, 1010, 10001, 11110, 00000, 101000, 100001, 111111, 00101, 01010, 101101, 00011, 01100, 01010, 11101, 100010, 00010, 1111111, 010001, 100100, 011111, 1011011]"
Every b followed by two or more a's,(a|baa)*,"a?ba{2,}","Positive example: [baa, baaa, baaaa, abaa, abaaa, abaaaa]  
Negative example: [ba, aba, abab, b, aa, ab]  "
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*bb*(a*bb*)*,"positive example: [baaabb, aabaaaabb, bbaaabbbbb, aaaabbbaabbbb, abaaaabbbbbbb]  
negative example: [baabab, aabaaabb, bbaababbbb, aaabbabbbbb, abaaababbbbbb]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,[ab][ab][ab][ab]*aaa,"positive example: [aaaaa, babaabaabaaa, abaaa]  
negative example: [babaabaab, aaab, bbb]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(1|0)*1|0(1|0)*0,"Positive example: [ ""11"", ""101"", ""11011"", ""00"", ""010"", ""000"" ]  
Negative example: [ ""1"", ""10"", ""01"", ""111"", ""001"", ""0001"" ]  "
An even number of 1's,(0|10*1)*,(0*10*1)*|0*,"Positive example: [ ""0"", ""00"", ""01"", ""001"", ""10"", ""0101"", ""000"", ""0001"", ""000000"", ""101010"", """" ]  
Negative example: [ ""11"", ""110"", ""1001"", ""010"", ""111"", ""101"", ""1101"", ""00101"", ""0100"", ""100"" ]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example: [ ""0"", ""1"", ""000"", ""111"", ""010"", ""101"", ""001100"", ""110011"", ""000111000"", ""111000111"" ],  
negative example: [ ""01"", ""10"", ""0001"", ""1110"", ""0010"", ""110"", ""000011"", ""111100"", ""0110"", ""1001"" ]"
Every b followed by two or more a's,(a|baa)*,(b(aa)+a*)*,"Positive examples:  
["""", ""b"", ""baaa"", ""baa"", ""baaaaa"", ""baaabaa"", ""baaabaaa"", ""bbaa"", ""baaabaaabaa""]  

Negative examples:  
[""a"", ""bb"", ""abab"", ""ba"", ""baba"", ""bababaa"", ""babaa"", ""baaaabab"", ""abaaa"", ""bbaaab""]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010]  
Negative example: [11, 101, 00, 111111, 1010, 1100, 0000, 1001, 011, 0100, 1111111, 000, 10101, 0101]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"```plaintext
positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001]
negative example: [0, 11, 110, 101, 000, 1111, 1001, 0011, 0101, 0000, 111111, 10001, 11011, 10110, 00101, 01111, 01010, 11000, 00011, 11101, 101101, 100001, 011011, 010010]
```"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)(baa)+b,"positive example: [""bbaabab"", ""abaaab"", ""bbaaab"", ""abaaaab""]  
negative example: [""baaab"", ""ab"", ""bb"", ""abab""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|0)*0,"positive example: [00, 000, 0000, 00000, 000000]  
negative example: [0, 0000000, 00000000, 001, 100]  "
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*,"Positive example: [aaaaaaa, abaabaaaa, bbaaaaaaa, abaabbaaaaaaa, aaaabaaaa]  
Negative example: [ababaaaa, abababaaaa, bbabaa, aaabbbaaaaa, baaabaaaa]  "
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*0,"Positive example: [ ""0"", ""010"", ""01010"", ""0101010"" ]  
Negative example: [ ""01"", ""0101"", ""010010"", ""1010"" ]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011]  
Negative example: [11, 000, 110, 101, 1111, 0000, 1000, 0011, 0101, 111111]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0)|(1(1*0*)*1),"Positive example: [00, 010, 110, 101, 1101, 1001, 0110, 01010]  
Negative example: [0, 1, 011, 100, 1010, 001, 010101]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*,"Positive example: [ ""b"", ""ab"", ""abb"", ""aab"", ""aabb"", ""baabb"", ""baba"", ""abab"", ""bb"", ""babbb"" ]  
Negative example: [ ""a"", ""ba"", ""aaa"", ""bba"", ""abaa"", ""bbbab"", ""babbba"", ""babab"", ""ababab"", ""aaabb"" ]  "
even number of 1's,0*(10*1)*0*,0*(10*1)*,"positive example: [ """", ""11"", ""101"", ""1101"", ""1001"", ""10101"", ""101101"", ""100101"", ""111011"", ""101011"" ]  
negative example: [ ""0"", ""01"", ""111"", ""100"", ""10110"", ""110"", ""10011"", ""1111"", ""100011"", ""110011"" ]  "
even number of 1's,(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*,"Positive example: [ """", ""0"", ""11"", ""010"", ""10"", ""101"", ""111"", ""0011"", ""01001"", ""000111"", ""1001"", ""10101"" ]  
Negative example: [ ""1"", ""0001"", ""1010"", ""00010"", ""0111"", ""1101"", ""10000"", ""1010"", ""001010"", ""1100110"" ]"
Every b followed by two or more a's,(a|baa)*,a*|a*baa+,"positive example: ["""", ""a"", ""aa"", ""aaa"", ""baaa"", ""abaa"", ""aabaa"", ""aaabaa"", ""aabaaa"", ""baa"", ""baaab"", ""aaaabaaa""]
negative example: [""b"", ""ab"", ""bab"", ""bba"", ""aba"", ""aab"", ""aabbb"", ""abb"", ""ba"", ""bbb""]"
Every b followed by two or more a's,(a|baa)*,(baaa*)*,"positive example: [baaaa, baaa, ba, baaaabaaaa]  
negative example: [aba, a, baa, baaaaab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)?,"positive example: [11, 11011, 101, 0, 010, 00100]  
negative example: [0, 01, 1001, 0110, 1010, 111]  "
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"```plaintext
positive example: [01101110, 111101110, 0111101110, 01101110110, 1101011110]
negative example: [0110001110, 1011011010, 0011111110, 1100111010, 0111101010]
```"
Odd number of 1s,0*10*(10*10*)*,10*(10*10*)*,"```plaintext
Positive examples: [10, 1010, 101010, 100, 10100, 10010, 1001010]
Negative examples: [1, 0, 11, 101, 1000, 110, 0010]
```"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*,"Positive example: [abababaaaa, ababaaaa, abababaabaaaaa]  
Negative example: [abababab, abaaaa, aaaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*)(bb)*(b),"Positive example:  
[""ab"", ""aab"", ""bbb"", ""aabbb"", ""bbbb"", ""abb"", ""aabb"", ""b""]  

Negative example:  
[""aa"", ""bbbba"", ""abbba"", ""abab"", ""bbbbab"", ""ba"", ""aabba"", """"]  "
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*a)?,"Positive example: [ """", ""aba"", ""aa"", ""baaa"", ""babaa"", ""baabaa"", ""baaabaa"", ""aabaabb"", ""aaaa"" ]  
Negative example: [ ""ab"", ""bbb"", ""abb"", ""aabb"", ""bba"", ""abab"", ""bbbaa"", ""baab"", ""b"" ]  "
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b,"positive example: [ab, aab, bab, aaab, abb]  
negative example: [a, b, ba, bb, aaa]  "
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"Positive example: [1, 111, 11111, 10, 1110, 01, 100]  
Negative example: [11, 110, 1111, 0, 101, 000, 1001]  "
Length 1 or More,(0|1)(0|1)*,(0|1)(0|1),"positive example: [00, 01, 10, 11]  
negative example: [0, 1, 000, 111]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"Positive examples: [  
""1"", ""111"", ""11111"", ""10"", ""1110"", ""01"", ""100"", ""001"", ""010"", ""1011"", ""1000"", ""1101"", ""0001"", ""0010"", ""0111"", ""0100"",  
""10101"", ""10110"", ""10011"", ""10000"", ""11001"", ""11010"", ""11100"", ""00001"", ""00010"", ""00111"", ""00100"", ""01101"", ""01110"", ""01011"", ""01000"",  
""101001"", ""101010"", ""101111"", ""101100"", ""100101"", ""100110"", ""100011"", ""100000"", ""110001"", ""110010"", ""110111"", ""110100"", ""111011"", ""111000"",   
""111101"", ""111110"", ""000001"", ""000010"", ""000111"", ""000100"", ""001101"", ""001110"", ""001011"", ""001000"", ""011001"", ""011010"", ""011111"", ""011100"",   
""010101"", ""010110"", ""010011""  
]  

Negative examples: [  
""11"", ""0"", ""11110"", ""101"", ""1100"", ""000"", ""1001"", ""11000"", ""111111"", ""10100"", ""000000"", ""1111110"", ""011000"", ""0010000"",   
""101000"", ""100001"", ""110000"", ""111010"", ""00000"", ""0101010"", ""100111"", ""011110"", ""1111111"", ""0010011"", ""1110010"", ""1011011"",   
""000101"", ""010100"", ""1101100"", ""1111001"", ""0000100"", ""00101111"", ""001010"", ""000110"", ""1010101"", ""1100001"", ""011011""  
]"
Every b followed by two or more a's,(a|baa)*,a*((b)(aa))*,"positive example: [a, aa, baa, aaa, baaabaa]  
negative example: [b, aab, aabaa, abab, baaa]  "
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*),"Positive example: [01, 0110, 01110, 011110, 011, 110, 10]  
Negative example: [0, 1, 00, 111, 1110, 11110, 101]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baab*(b|a)b,"positive example: [abababab, aaabbaabb, abbaabb, aababb]
negative example: [abbabaa, baabbba, bbaabb, baaaab]"
