Attempt Regex,ChatGPT Output
((bb)*|(aa)*)*,"positive example:[aa, bb, , aaaa, aabb, bbbb, bbaa]  
negative example:[aaa, bba, aba, bab, baa, aab, bbb, abbbaab]"
(a|b)b,"positive example:[bb, ab],negative example:[, a, bab, b, aab, aaabbaa, abbb, abaa, abba, bbbb, bbaa, abab, baabbaa, bbab, bbba]"
((aa)*b)*,"positive example: [b, aaab, aab, aaaaaab, bbaaab], negative example: [aaa, aaba, aa, babb, abb, aaab, baaa]"
a+|(b*a)*,"positive example:[a, aa, aaa, bbaabbaa, abba, abbbbaaaa]  
negative example:[b, ba, bab, bbb, aabab, aabbb]"
(0|1)*01(0|1)*,"positive example:[01, 110101, 10111],negative example:[10, 001, 111]"
(ab|aaa)*,"positive example:[, ab, aaa, abab, abaaa, ababab, aaaab, aaaaab, abababab]  
negative example:[abb, aba, aaba, baa, bbb, abaa, aaab, aaaa, aabb, abba]"
(1(11)*)|0*,"positive example:[1, 111, 11111, 0, 00, 000],negative example:[011, 110, 1101, 1111, 0001, 1100]"
(aa+ab+bb+ba)*,"positive example: [aa, ab, bb, ba, aaab, bbaa, aabbaabba, aaabbbba, aaaaabbbbbbaaaabbbba]

negative example: [aaa, aaabbbaa, aaabab, aaabbbbaa, aaaaab, aaabaa, aaabbbbbb, aaabbb, aaabbbbbbaaba, aabbabb]"
(ba|bb)*(a|bb)*,"positive example:[abb, bb, bba, babaa, bbbba, baa, aaabb, abbbb, abba, ba, baba, bbb, bab, ab, aba, aaa, a]
negative example:[baaba, bbaba, abaaaba, ababb, abbaba, aaabbba, abbb, aabab, bbbaa, babb, abbab, aaabba, abbbbb, bbab]"
(a+|a*b*),"positive example:[a, aa, aab, aabb, aaaa, aaaaa]  
negative example:[ba, bba, aba, abba, bab, bbba]"
a+a+b+a+(a+b)*,"positive example:[aaaaaaa, aaabaaaaa, aaaaaaaaabab, aaaabaa, aaabaaaa, aaaaaaaaba],negative example:[abbba, abab, babaa, ab, baaabab, bbaa, aaabbab, aaaaaa, aaabab, aabaaaaaba]"
0*(11)*0*1*,"positive example: [110, 00, , 1101, 110111, 1111, 1100011, 00111]  
negative example: [1011001, 100, 11010, 110100, 1110, 111110, 001110, 1100011101]"
(a|ba+a)*,"positive example:[, a, aabaaa, baabaa, aba, baa, aaa, baaa, bbaaa],negative example:[baba, baaaba, babb, aabaabbbabb, aabaab, baabbaa, abb, bab, bbaa]"
(ab)*,"positive example: [, ab, abab, ababab, abababab], negative example: [abb, aaa, bb, aba, aabaabb, ba]"
(0|(1(11))*)+,"positive example:[0, 111, 11111, 01, 0111, 000, 1111111, 011111],negative example:[110, 101, 01, 11011, 10, 0101, 0011, 1110]"
(a)*((b)+(aaa)+)*,"positive example:[a, aaa, bbaaa, baaabaaabbaaa, aaaabaaa, aaaabbbaaa]  
negative example:[b, aabaa, baab, aaaabb, baaabaab, bbaaaaab, abaaa]"
(ab)+,"positive example:[ab, abab, ababab, abababab],negative example:[a, b, aba, ba, aa, bb, baa, bab]"
((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"positive example:[abbabbbba, ababbbaabbababba, bbbbbab, abbabb, babbba, ababbbaabbabbb, abbbba, abbabbabbaaabbbba, abbabba],  
negative example:[abbb, bb, ba, aab, babab, abaaa, bba, baab, abbba]"
0*0?|(0|1)11*,"positive example:[0, , 111, 0000, 0111, 011, 11, 01111, 011111, 0011111]  
negative example:[110, 1, 101, 0101, 01110, 0100, 1110, 00111, 00001, 0010010, 010, 001, 10, 0010, 11111]"
(a+(a*))|((a*)+(b*)),"positive example:[a, aa, aaa, aaaa, b, ab, abb, aabbb], negative example:[baaa, aba, bab, bbb]"
(a+b+)|(b+a+)(aaa)+,"positive example: [bbbaaaa, abbb, aaab, baaaaaa], negative example: [aaa, baaabb, baaaba, aba, b, baa, abbba, aaabab, baaaaaabb, baaaaaaba, aaabaa, baba, bbba, baaa, babb, baabaa, baaaab, baabbb]"
(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"positive example: [baabba, babaab, abbbabaab, abbba, abbaabbababa, abbaabbbbaababab, abbabaabba, baababab, abab, baba, babaabba, abbaabba, abbbba, abbbababa, abababa]

negative example: [baabababb, bab, abbaa, abbab, abbbaaa, baabbaaaa, aabb, baabbaaab, baabbaababa, abbbababaaa, abbbabaabba, abbbababb, bba, abbbabaa, abb, aba, bbb, abbbb, abbbabaabbb, baabbaabbaaa, baababaa, aaabaa, baabbabba, abaa, baabbabbb, baabbaabaab, baabbaabaaa, baaa, baabbbbabab, abbbabaaa, ababbab, baabaa]"
(ab)*(ba)*(b)*(aaa+),"positive example:[aaa, ababababaaa, babaaa, bbbaaa, abbabaaa, abaaa, bbaa, abbaaa],  
negative example:[bba, aba, ab, bab, bbb, aaab, baa, baba, abaab, bbbbabaa]"
((a*)+b+(a*)+(bb*)+(a*)),"positive example:[bba, baaabb, bab, bbabbba, bbabbaa, aabbb, aaabbb, abbba], negative example:[bbabbab, bababa, bbaaabab, aabaaababbbaab, babab, abab, bbba, aabaa]"
a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"positive example: [aaa, , bbb, bba, baabba, bb, baabab, ba]

negative example: [abab, ab, bbbba, bbbaba, aaabb, baabaaaa, bbaaa]"
(a|b)(aa)*(a|b)*,"positive example: [aaa, aaab, baa, baaab, baaaba, baaabb, ba, aabaa, ab, aab, b], negative example: [abbb, bab, aaaab, aba, bbaaa, baab, abab, aaaa]"
0?0|111*,"positive example:[00, 0, 1111, 111, 10]  
negative example:[1, 01, 110, 1110, 000, 0001, 001, 11110]"
(a|b)(a|b)+(aaa)+,"positive example:[ababaaa, abbaaaa, baaabaaa, bbbaaa, abaaa, ababaaba, bbaabbaaa, baabbaaa, baaaabaaa, ababaaa, bbaabaaa, abaabbaaa, abaabaaa, babaaaaaa, bababaabaa, baabaaa]

negative example:[baaabb, bba, abaabb, aaabb, babbab, aaaaa, aabab, bbab, aaab, bbaabaa, baa, abaaba, aba, baaaba, baaabbbaa, aabab, abbbb, bababa]"
(a)*(b)*|(b)*(a)*,"positive example:[, aaaa, bb, abbb, bbaa, abb, aa, bbb, ba]  
negative example:[abba, baab, abab, bbabaa, babb, aabab, bbaaa]"
(ab)*(ba)*|abbba,"positive example:[baba, , ab, abbba, abbaba, ababba, ababab]  
negative example:[aaa, bab, abaaa, abaab, abbbaaa, abbbaab, abbb, abababaa, babb, abbbaba, abbaab, abbaaa, ababbb, ababa, bba, abb, a, bbb, abbbabb, abbabaa, aabbaab, abbbbb, abbbba, ababaa, ababbaa]"
(a|ab*b)*ba*,"positive example:[ba, abba, aab, abbba], negative example:[aaa, bb, a, aabbb, b, bbaa]"
(a|b)(a|bb)*,"positive example:[aa, abb, ba, babb, baa, b, abbba, ab, baab, bbba],negative example:[bbb, bbbb, bbbba, ababb, baabbb, aaab, bb, abbbb, abbb, abbaba]"
(bb*)*,"positive example:[, b, bb, bbb, bbbb, bbbbbb],negative example:[a, ba, bbaaa, ab, babb]"
b*|(a*b*),"positive example: [b, bb, ab, abb, aab, aabb, aabbb, bbbb, aaab, a]

negative example: [ba, aaba, bba, abba, baa, abab, bab, aaa, bbaabb, abbbaa]"
a*b(a*ab*b)*a*,"positive example: [aab, ab, aaabbb], negative example: [b, aabba, abab]"
a*b(a|b){2},"positive example: [aabaa, aabbb, abba, abbab, aabbb, abbb, aabba], negative example: [baaaa, aa, bbbab, baaab, bbbaa, aaba, aab, aabbbbbbab, aabaabbbab, bbbbaa, aabb, baabaa, bab, ab, baa, ababab]"
(a|b)*b(aa*)b,"positive example:[babaab, bab, aabbbababbaaab, babbbab, baab, abab, bbabaaab, bbaaaab], negative example:[aa, bababa, aabbbabaabbb, baabbaa, ba, aaab, bba, abbab]"
a*(bb)*(a+b)*,"positive example:[, a, abaab, abbbb, abbab, abbaab, ababab, ababaab, aaab, bbbbab, bbab, ab, aab, bbbaa, abaaa, abbbaa],negative example:[bba, bab, bbb, baa, abababb, ababb, abbaa, aaabbbbb, abaa, abbb, abbaabbbb, bbba, abbabaabbaaba, b, aabaa, bbabbb]"
a*b(bb)*(a+b(bb)*)*a*,"positive example:[b, bb, baa, abbb, abbba, bbbba, aabbb, aabba], negative example:[a, abba, baab, aaa, bbaa, babaaa, ababa, bbaaab]"
a|b+a|b+a{3}a*,"positive example:[bbbaaaaa, ba, aaa, aabaa, baaaa, bbaaaa, abbaaa, bggaa, bcaa, bababa, aabaaAAA]
negative example:[, baabb, baaab, bbbabb, bbbaba, baaba, baa, bbb, baaaaaba, baaaaabb, abbb, aaaa, bbb, babb, aaaaaa, bbaa, babbb]"
0*|1*|((01+0)*(10+1)*)*,"positive example:[0, , 1, 000, 111, 01, 0101, 010101, 101, 1001, 0101001, 0101010111, 010101010010, 1111]

negative example:[01010001001, 00111, 011, 110, 001, 01010101010, 100, 0101, 1000, 11100, 10110, 01010110, 1011, 11101]"
a*|b*|(ba)*,"positive example: [aaa, baba, , bababa, b, bbbb]  
negative example: [bba, abb, aba, bbbbabbab, aaab, baab, babba, baaa, babbb, babaa, babb, bbaaa, babab]"
((b)(a)(a)*(a*))*,"positive example:[b, baaa, baaaa],negative example:[aba, bbaaa, baabba]"
((a*)(b*)(a+))|((a+)(b*)(a*)),"positive example: [baaa, bbba, aba, a, abbbaa, aaab], negative example: [bbbab, """", bab, bbb, ababaa, abaaab, abbbab, aaababbabb, baab, abab]"
(a|b)*baaa*,"positive example:[baaa, abbaa, bbaaa, abbaaa, aabaaa, babaaa],negative example:[baa, ab, bbaba, baaab, bbba, abba]"
((0+1+0)|(1+0+1))*,"positive example: [010, 101, 010101, 101010, 010101010, 101010101]  
negative example: [000, 111, 001, 110, 111000, 000111]"
(((a|ba*b)*a)*)?,"positive example:[, a, aa, bba, abba, aba, bbaaa, bab, bbaa]  
negative example:[bbba, abaab, bbaba, abbb, bbbbb]"
(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,"positive example:[, ababb, ababbbaabbb, ababbbbabb, bbabaaabbabb, ababbaabb, abbaaab, ababbbb, abbb, bb, baabb, aab, abb]
negative example:[bba, ababaaa, ababbbbaba, bbababababb, ababbaaab, ababbbaabb, abaa, ababbbba, ababbab, abbbababa, abbaaababa, aabbab, bbbaba]"
a|ba*b*(baa)b,"positive example: [a, baa, baab, bbaab, bbbbaab, baabaab]

negative example: [bbaabaa, bbaabbb, bba, bb, aa, bbaabab, ab, bbaabba, baaab, bbabbb, bbaaab, bbaaaa, baabbbabaaba]"
(a|(ba*b)*b(a|(ba*b))),"positive example: [babbbaaab, bbba, bbbbb, bbbabba, babbaabba, babbbbbba, bbbaabba, bbbbab, babbaaaabba, babbbab, babbabaa, bbbbaabba, babbba, bbbbba, bbbaab, babaababba]

negative example: [abb, aaa, , babbaabb, babbaabab, aab, bbaaabb, babbaabaa, babbaaaab, bbbb, baba, bbbab, babbb, bbbaa, bbabb, bbbba, bbaba, ababbaa, bbbbbabb, abba, baa, bb, ababab, baaa, a]"
0*0*|1*0*,"positive example:[0, 00, 1, 10, 100, 11000]  
negative example:[01, 11, 1110, 010, 1100011001]"
(0*10*10*10*)*,"positive example: [101, 110111, 0010110, 111111, 00001010, 1010, 0111011]

negative example: [10, 0010, 11000, 01, 0110101, 1110110, 1000]"
a*(bb)*b*a*,"positive example: [aa, , aabbbaaa, aabbb, ba, bb, bba, abbba, abab, abba]  
negative example: [bbbab, aabaaabbbab, babaa, bab, ab, bbb, baa, aba, babb]"
0*,"positive example:[0, 00, 000, 0000, 00000, ],
negative example:[1, 01, 10, 100, 110, 0011]"
(bb|a)*b*,"positive example:[bb, a, aabb, aba, baa, bba, bbba, aabab, abba],negative example:[bab, abbb, baaa, abbba, baabba, babbab, bbaba]"
a|(b|aa*),"positive example:[a, b, aa, aaa, aaaa]  
negative example:[ab, bb, aba, baa, aab]"
(a+b)*(bb)*(a+b)*,"positive example:[b, aab, abab, bbb, aba, bbaabb, ababab, bab, bbbbb, abba]  
negative example:[bababb, abb, aaaa, baa, bbaaaaaa, bbbbba, abbab, aaa, aaaab, bbba]"
0*1+0*1*0*,"positive example:[101, 101110, 00111, 001110001000, 10, 10010, 111, 1100, 1010]  
negative example:[1010100, 00, 0011100011100011011, 10101, 11100, 010101, 000, 1000011]"
((aa)*[b](bb)*)?,"positive example:[, b, aa, aab, bbb, aaaab, aabbb, aab, aabbbbbb],  
negative example:[abb, aaa, bbba, aba, aaba, baa, babbaab, aabbab, aabbaa, aaab, aaaa, bbbb, ab, bab, bb]"
(ab)*|(aa|ab|bb)*,"positive example: [bb, aa, , ab, abbb, aaaa, aabb, bbbb, bbaa, abab, ababab, babb]

negative example: [aaa, bba, abb, aba, baa, aab, babbaab, abaa]"
((a)*(b+aa)+)+|[a]*,"positive example:[a, aa, b, ba, baa, baaa, baaab, babaa, aaaaaa, aaab, baab, a, bbbbb, aabaaa],  
negative example:[bb, ab, baabb, babaaa, baaabab, bba, aab, bbaaaa, aba, bab, bbaaa]"
(a)*b*(b+bb)*b*(a)*,"positive example:[a, aaa, ab, abb, b, abbbba, bbb, aaabbbbaaa, bbbbaaaa]

negative example:[baba, aabba, baabaa, ababb, aba, bab, aabaaabbaabb, ababab]"
b(b)*|(b)*b,"positive example:[b, bb, bbb, bbbb], negative example:[a, aa, , ab, bab, baab]"
a*ba*(bb)*a*b*,"positive example:[b, ba, aba, bba, bab, bbba, bbbaa, babbbba, aabbaa],negative example:[baaab, aaab, ababb, abbbaa, abbaaa, aabb, bbbba, bbabbba]"
(ab+ba)(ab+ba)*(aa+bb+ab+ba)*,"positive example: [abbabaaa, abbaabbaaaab, abbababbaaaa, abbaaababbaa, abbaaabbaa, abbaabbababa]  
negative example: [abbaaab, abba, aaba, abbbaab, aaabab, abbaaa, a, abbabb, abbaaaabbab, aabbaa, abaa, abbba, abbaab, aabab]"
a|(a+b)|a(a+b)*,"positive example:[a, ab, aab, aabab, aaaabab, aabaab], negative example:[aaa, """", bb, aabaabba, abaaa, aababa, abbbb, aabaabbb, ba]"
a*b*a*,"positive example:[a, b, ab, aa, aabbb, bba, aaa], negative example:[abbab, abbaab, baaabb, ababab]"
(a?)|(((a|b)a*b)|((a|b)a*ba)*),"positive example:[a, aa, aba, aab, aaab, aaa, aaba, ab, abb, aaaba, ba, baa, baaab, baa, baaa, baaaa, baaaaaba],negative example:[b, bb, bbb, bab, baabbb, bba, bbbb, abbbbb, baababb, aabbbb, bbaa, bbbbaba, bbaab, baaaaa, bbbaab, aabaaaa]"
(1+0*1+)|(0+1*0+)|1*|0*,"positive example:[, 0, 1, 00, 11, 101, 010, 000111, 111000, 000, 111], negative example:[011, 1001, 110100, 010101, 10001, 0101, 000101, 1010, 01010, 1110]"
(a|b)*aba(a|b)*,"positive example:[abababa, bbabab, baaaaba, ababab, abbaaba],negative example:[aabba, babba, bab, abb, aaa]"
((a)*|(b))(a)(a)*,"positive example:[aa, baaa, aaa, ba, aa, aaaa],negative example:[bba, , ab, bab, b, bbb, aaabbbab, abaa, baab, abb, baa, baaaa]"
(a)*b*(ba+ab+b)*b*(a)*,"positive example:[baa, aaab, bab, aaabba, aab, abbbbbba, bb, bbbabb, ab, aaaaabaaa, aa, bba, aabbaa, aabb, abbaaa]
negative example:[abb, aabbbb, baabbb, bababba, bbaab, abbbaa, baabbbbba, baab, babaa, bbaba, baaab, bbaabba]"
b*b,"positive example:[b, bb, bbb, b*b],negative example:[bbbab, a, ab, baa, aabbaa, ba]"
b*bb*,"positive example:[bb, bbb, bbbb, bbbbb, bbbbbbb],negative example:[a, baa, aab, aba, bab]"
a*|b(ab*ab*)*,"positive example:[baaaa, aaa, , baaaba, b, babbabbaa, aaaaa, ababab, aba, bbbbb, abaaba, bbbbbabbbba], negative example:[bba, baaa, aba, ab, baaab, bbbaabb, babbabbaaa, aaabb, aab, bab, bbaab, abaabab]"
aa+ba,"positive example:[aaba, aaaba, aaaaba, aaaaaba],negative example:[aa, a, aba, ab, b, abb, aabba, aab, aabaa, abaa]"
((0*1+0*1*)+)+,"positive example: [110, 010, 11100, 00110], negative example: [0, 01, 10, 000]"
(a*(baa*)),"positive example: [baa, baaa, aabaaa, baaa, baa, baaa]
negative example: [bba, aa, babaa, baaab, bbb, aab, aababbbab, ab, ba, aba, abab, a, b]"
((aa)*|(bb)*)(aa|bb)*,"positive example:[aa, bb, , aaaa, aabb, bbbb, bbaa],negative example:[abb, bba, aaa, bab, bbb, aab, baa, abaabba]"
(0)*(111)*(1)*(0)*,"positive example:[, 0, 111, 10, 000, 1110, 000111000, 0001111000]

negative example:[101, 11101, 001101, 1101, 01110, 00111010, 10110]"
a*b*aaa*,"positive example:[aaa, aaaa, aaab, baaaa, abbbbaaa, abaaa, ababaa, bbaa],negative example:[b, ab, baaaab, bbbaa, aab, abbaab, aba, abb]"
(((01)0*(10))*|(0*1*0*)),"positive example:[, 0110000, 01, 01100110, 01100, 0100010010010, 011001010, 0, 011, 001, 01000, 01010, 0011, 0110, 0000, 000010, 0111000, 0111110, 010100110]

negative example:[0110001, 01100001, 001101, 00101, 0101111, 0101011, 011010, 0101010, 01110001, 0101, 0111010, 0111011, 0110011, 0101001001, 0101001100, 01111101, 011011, 101, 01010011001, 1101, 01010001, 01010000, 0000101, 010100111, 0110010, 01000110100]"
(a*ba*(bb)*a*)|(a*bba*(b)*a*)*,"positive example: [bba, babbaa, babbbb, aba, ab, aaabb, bbbbababb, bbbbabaaa, bbbbababbaab, bbbbaa, bbbb, babba, bbbbbba, baaabbbba, babbaaa, bbbbabaaabbb]  
negative example: [bbbababbab, aaa, babbba, bab, bbbabbbbbbaaababa, babbaaaba, bbbabaaa, baaabbb, bbbabbababa, babaa, bbbabbbbababa, bbbaaab, aaabbbaba, babab, babbaab, babbabb, ababa, bbababa, babbbbab, babbab]"
((a|b)(a*)b)*|((a|b)(a*)ba*),"positive example: [ε, a, b, ba, ab, aba, abb, abab, aaab, bbb, baab, abbba, bbaaab, bbbbab, baabaa, ababaa]  
negative example: [aa, bab, bba, baaaa, aaaa, abba, bbaabb, babb, aabaa, abbbaa, abbaaa, bbaaaa, baaaab, abbbab]"
(a)*|(b)(a)(a)*,"positive example: [aa, , baaa, aaaa, ba, b, a, aaa]  
negative example: [bba, baba, babb, baaab, ab, bbbaabb, aab, bbb]"
(b*b)|(a*),"positive example:[bbb, a, bb, aaa, b, aa, bbb],negative example:[abab, baaa, abb, ba, aaab, bab, aba]"
0*1(0*1+0*)*,"positive example:[110, 001, 111, 10001, 0010100, 0010111],negative example:[, 00, 001000, 10]"
a*(b+a)*(bb+bbb)*(b+a)*,"positive example:[a, bb, aaa, abba, bbbba, babbba, aabbaaa, ab, abbab, ba, baaabba, babbbabb]

negative example:[abb, aabbb, bbbaa, bababb, bbbabbab, abbbb, baabbb, ababa, aaabb, abaabb, abbbbaaa]"
((ab|ba)+(aa|bb|ba|ab)*),"positive example:[ababaa, abbab, bababa, abba, ababb, baab],negative example:[bbaa, aaaa, aba, b, a, aaab, abbaaa, abbbbb]"
(a|b)*b*b|bb*(a|b)*,"positive example:[bbb, bab, bbba, abb, ababab],negative example:[ababa, baaaba, abba, bbabaa]"
(1+0*(10+)*1+)*|((0+1)*0)*,"positive example:[110, 1, 1011, 0101, 1001, 0110, 01]  
negative example:[0011, 1110, 110, 100, 011, 10001]"
(a+b|b)*,"positive example:[, a, b, ab, aba, bab, abbbbb, abab, ba, babba]
negative example:[abaaabbba, ababababababababac, c, abc, ababaaab, baaaabac]"
(0|1)*1,"positive example:[1, 01, 101, 1101, 000001, 1111111],negative example:[0, 1000, 1110, 010, 0000, 1111010]"
b*(ba+ab)*b*(a)*,"positive example:[bba, bbbbaa, baabbaaa, bbabb, bbaa, baba, baa, baabba, bbbaaba, bbbbb],
negative example:[babaa, aabaab, abb, aab, babbab, abaa, aba, baabab, ababa, bbab]"
(b*a+)*,"positive example:[, a, aa, ba, bba, aaba, bbbaba, baa]  
negative example:[b, bb, ab, baabbbab, aaaab]"
b*a(b*ab*a)*b*,"positive example: [baa, bab, a, ababa, ababaa]  
negative example: [aa, abbb, ababab, baaab, bbb]"
a*|a*b*aa,"positive example: [aa, , baa, aabbbaa, aaaaa, aaaa, ab, aabbaa]

negative example: [baaaa, baabb, baba, babb, bbba, baaba, aab, aabaaabbaab, abaa, ba, bba, av, abaa]"
a*b(ab*b|a)*,"positive example: [ab, aabab, aabb, aababbb, aaabbab], negative example: [abbb, baa, babo, baaabb]"
((1?|11?)|111?)|0*,"positive example:[000, , 1, 11, 111, 0, 00, 1110, 1111]  
negative example:[011, 01, 100, 101, 1101, 1100, 11111, 11100, 11110, 11101, 1000]"
(a|b{2})+a{3}a*,"positive example:[aaaabbaaa, aabbaa, abbbaa, baaabaaa, bbbaaa, babbaa]  
negative example:[aa, ab, aaaa, bbaa, bbabaa, aabaa, aaaab, baaaba, baabaa, abbabaa]"
0*|1*|((0+1+0+)*(1+0+1+)*)*,"positive example: [000, 111, 0101010, 0101110, 0100101, 000111000, 010, 01001010101, 0110, 1001100, 101101, 0001, 101, 0100101110, 010101110, 000111, 101010, 01001010, 011, 010101]

negative example: [1001, 1101, 1011010, 10101110, 1110, 101000, 10101001, 10101, 010110, 01110, 1001101, 1010101, 1011100, 101010000, 0101011, 1001, 1011011, 11100, 1011110, 110]"
a|b(ab|aa|ba|bb)*(aaa)*,"positive example:[baaabaaa, bababb, babaabbbaaa, baaabbaaa, babaaa, bbaaa, baaa, baabaaa, baababbaaa, bababaaaa, baabaabbaaa, babbbbaaa, baabaa, baabaa, babbaaaa, bab, bbb, babbaaa],negative example:[aab, babbb, baab, abaa, abaaa, baaabb, ab, babab, bba, bbaa, b, baa, abbab, baaba, bbbbbbaaa]"
(a)*b(a*b+a*b+)*,"positive example:[b, ab, bab, baab, baaab, baaaaaab, baaaaababa, baaabab, baabaaaab, babaaab, bababaaa, bababab, babaaaaabba]
negative example:[aa, bb, ababa, aabb, babbbbaa, babaaaba, ba, babaa, babababaa, ababab, abba, baaaba, babaaba, babb]"
(b|a)*baaa*,"positive example:[baa, abaaa, baba, abbaaa, bbaaa, aabaa, baabaaa]  
negative example:[aa, ba, abba, abaa, bb, abab, baabba]"
0*11*,"positive example:[11, 011, 0111, 0011, 00111]  
negative example:[0, 10, 101, 0110, 110, 1110]"
a|b+(a|b)+aaa,"positive example: [bbabaaa, baaabaaa, babbabaaa, bbbbabaaa, baaaabaaa, baabaaa, baaaaaabbaaa, bbaaabaaa, bbabbaaa, baabbaaa, bbaaaaabbaaa, baaabbaaa, bbaabbaaa, bbaabaaa],  
negative example: [baaabb, baaaba, bbaaaaab, b, bbaaaba, bbaaabb, baaaaba, bbbbab, abbb, aaaa, bbaabb, bbaa, baaaabb, baabb, baaa, bbaaba, bbabb, baaba, bbaba, baaaaaab, babbab]"
a(a|b)(a+b)*,"positive example:[aab, abab, abaab, aaaab, aabaab, abaaab],negative example:[b, ba, aa, abb, aaa, abaaa, abba, aaab]"
(b(aa)*(bb)*)*,"positive example:[b, baa, baabb, baaabbbb, baaaabbbbbbb]  
negative example:[aa, aba, baaaa, bbbab, baababaab, aabbb]"
(a*b*aa+),"positive example:[aa, abaa, baaa, aaaaa, bbaaa, aabaa, aa, aaa, baaa, abaaa]  
negative example:[a, b, aba, ab, bb, abb, ba, bab, aab, aaab, aaba]"
(a+b)*aaa|(b+a)*aaa,"positive example:[aaababaaa, abaaa, aaaabaaa, babaaaa, bbaaaa, aaaaaabaabaaa, aaaaa, aaaaaa, abaaabaaa, baaa]

negative example:[abb, , baaabb, aba, baaaba, baa, aaabb, aaaaaaba, aaaab, aabab, aaaabb, aabbaa, aaabaa, aabbbb, baaaaaa, baaaabb, bbbab, baba, baabb, babb, baaba, aabaa, bbaa, abaa, ababbaaa]"
(a*)|(a*baa*)|(baa*)*,"positive example:[aaa, , baa, aaaa, baaa, aaabaaa, baba, babaa, aaaaaa, baabaa], negative example:[bba, babb, bab, bbb, baaabab, ababa, abbb, abba, abaaabbaabb, abab]"
((aa)*|(bb)*)((aa)*|(bb)*)*,"positive example: [aa, bb, , aaaa, aabb, bbbb, bbaa, aaaaaa, aabbaa, bbaabb, bbbbaa, bbbbaaaa]  
negative example: [aaa, bba, bab, baa, aab, bbb, abbabb, aaab, abaa, bbab, ab, ba, abab, bbaaab]"
a*|(?:a*|(b[a]{2}))*,"positive example: [aaa, , aabaa, baa, aaaaa, a, bbaa],  
negative example: [bba, aba, ab, baaba, bb, aaabb, baba]"
(0+1)*(1+1)*,"positive example:[, 01, 000101, 1111, 0111, 111, 001, 00001111, 001111]
negative example:[110, 011, 00010, 111101, 1100, 100100, 1011, 010, 1110]"
a|b*(b(bb)*)a*,"positive example: [a, ba, bbb, bba, bbbba, bbbaaa]  
negative example: [baba, abb, aaa, aba, bab, aab, bbbaaabbbaab]"
b*(ab*a)*b*,"positive example:[b, ab, aaab, bab, ababb, bbbbb]  
negative example:[abbb, baa, babb, baab, abaa, bbabab]"
b*|a*|b*,"positive example:[, a, aa, aaa, b, bb, bbb], negative example:[ab, ba, aba, bab, aab, bba]"
(a)*(b|aa)*(a)*(b|aa)*(a)*,"positive example:[aaabaa, bab, aaa, bbaa, aabbaaa, aaba, ab, bbaaab, aaaab]
negative example:[bbbbaba, aabbabb, aaabab, baababaa, bbbba, ababab, bababaaab, baaabab]"
