Regex,Attempt Regex,ChatGPT Output
(0*10*10*)*|0*,(0*10*10*)11(0*10*10*),"positive example:[110111, 101101110, 0110110],negative example:[011011100, 1101101, 000010100]"
(a|baa)*,(b?aaa*)*,"positive example:[, aaa, baa, aaabaa, baaa, aaaaaa, aa]
negative example:[a, ab, baaab, aab, abaaa, bba]"
(a*ba*b)*a*ba*,(a)*b((a)|(bb))*,"Positive example:[baa, aababb, b, ba, baa, baaa, babb, bbb]
Negative example:[bb, ab, bab, abba, aabbba, bbbba]"
(a*ba*b)*a*ba*,(a)*(b)(a|bb)*,"positive example:[b, ab, aab, ba, aba, abab, bba, bbba, aabba]
negative example:[abb, aabb, aaabb, bbb, abba, babb, bbab]"
a(a|b)a(a|b)*,a(a|b)a(a*|b*),"positive example: [aaabb, abaaa, aaab, aaaaa, aabaa, abba, abaa, aaaba]  
negative example: [abaaab, abbba, aaa, aabbb, abbaab, baaaa, bbba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"positive example:[1111, 0000, 101010101, 010101010, 111000, 000111, 10, 01, 11110000]
negative example:[011011, 10000, 01100, 11001, 10100, 00110, 11101]"
(0|10*1)*,0*|(10*1)*|0*,"positive example:[0, 00, 101, 1111, 0, 10101, 0, 10, 1101],negative example:[1, 111, 10, 11, 1010, 100]"
(a*ba*b)*a*ba*,a*(a|bb)*ba*(a|bb)*,"positive example: [ababba, abbbba, abbaab, babba, ababbbab]
negative example: [bbb, bab, bba, aa, ba]"
(a|(b*bb))*,(bb|a)*,"positive example:[, bba, a, bb, aba, abab, bbaa]
negative example:[b, aaa, bbb, ab, ba, aab]"
(a*ba*b)*a*ba*,[b]{1}([b]{2})*,"positive example: [b, bbb, bbbbbb, bbbbbbb]  
negative example: [bb, bbbbb, bbbbbb]"
(b|(a*aa))*,(aa+)*b*,"positive example:[, aa, aaaa, aab, aaabb, aaaaaab]
negative example:[baab, ab, aaaabaaa, bbaaa, abab]"
(0*10*10*)*|0*,(0*10*10*)(0*10*10*),"positive example:[110010, 0011010, 00111100],negative example:[101001010, 111111, 000000]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a*b)a)*((a|b)(a*b)),"positive example:[ababba, aababba, abba, aba], negative example:[aa, bab, aaaab, babb]"
(a|b)(a|b)+aaa+,(a|b)+(a|b)+(ab*)+a+a+a,"positive example:[abaabaabaaa, bababaaabaa, abbaaaaabaaa], negative example:[baaa, bbbbbbb, ababab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"positive example:[111000, 101010, 011111, 11101, 00001, 11111, 10011, 1011, 010011, 110111, 011001, 01011, 001101, 001000, 0010, 01000, 101001, 111, 1101, 110010, 111101, 0100, 110100, 00100, 00111, 001011, 111110, 1101, 010101, 010, 01110, 1010001, 100011, 010110, 1, 11110, 000001, 000100, 000010, 10000, 100101, 00010, 011010, 11001, 100, 101111, 001100, 0111, 010000, 10110, 001100, 110001, 011100, 01001, 010000, 111101, 1010010, 00001, 11100, 01101, 10, 011111, 000111, 001101, 001111, 10000, 100110, 10], negative example:[0, 110, 101, 111111, 100111, 010111, 001001, 011110, 000000, 101101, 001001, 00101, 110000, 0001111, 110011, 1011011]."
(a*ba*b)*a*ba*,(a|bb)*a*b,"positive example: [a, bbbbbba, bbbbbbaaa, bbba, bbbaa, aabbb, bbbaab, abb]
negative example: [babab, bbb, aaa, bab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example:[11001, 10101, 011010, 11100, 000010, 001110, 01000, 01011, 111100, 1010111, 10000, 00101, 111110, 010101, 1010010, 1101, 100110, 000111, 001, 1001010, 011100, 110111, 011111, 1011, 100, 01, 10, 001000, 0111, 11001, 000001, 0001, 01011, 1001001, 1011101, 010110, 1001111, 001011, 11111, 111, 111101, 011001, 110010, 110100, 101001, 100011, 00100, 1010100, 10011, 101111, 1011000, 00001],  
negative example:[0, 11, 0011, 10101, 111111, 0101010, 1000001, 011101, 000000, 1011111, 1111111]"
(a|(b*bb))*,(a+(bb))*a*(a+(bb))*,"positive example: [aa, bb, abba, abbabba, aabbaa, baa, bbabba, abbaa]  
negative example: [ab, ba, bba, bbb, aaab, bab, abab, bbaabb]"
(a|b)(a|b)+aaa+,((aa|bb|ab|ba)+aaa),"positive example:[abbaaa, bbabaa, aabbaaabaa, ababaaa, aaaaabbbaa]
negative example:[ba, bb, aa, ababaaaab, aabbbaba]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"positive example:[1111, 000011, 10101, 000, 11001]  
negative example:[110110, 01, 010, 111101]"
(a|b)(a|b)+aaa+,((a|b)(a|b))+(aaa)+,"positive example: [ababaaaaa, baaabaaaaa, bbaaaa, aaaaabaa, baabaa, abbaaaa]
negative example: [abab, baaabba, bbaaa, bbbbb, aaba, aaab]"
(a|(b*bb))*,(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example: [abb, aabbba, aaabbbba, bb, abba]

negative example: [bab, abbb, aaabba, ab, ba]"
(0*10*10*)*|0*,(0*(11)*0*0*)*,"positive example: [11011, 11, 001100, 000, 0001100],
negative example: [110, 101, 111, 1001, 010]"
(a|b)*baa(a|b)*b,(baa)(baa)*(b),"positive example: [baab, baabaab, baabaabaaab, baabaabab]
negative example: [baaa, baaabb, baac, baaaab]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"Positive example: [00010, 1101, 10110, 10011, 111, 01000, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 01110, 0111, 010, 1110, 1011, 11100, 11001, 00111, 1]

Negative example: [0, 11, 000, 1100, 1010, 011, 1001, 0000, 1111, 0101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1|1+(0|1)+1|0+(0|1)0+,"positive example:[1, 0, 00, 000, 111, 1001, 101, 010, 0110, 0100]  
negative example:[10, 110, 001, 11, 011, 00, 10010, 1010, 1100, 01010]"
(a|(b*bb))*,(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"positive example:[bbbaa, bbabbbbabbb, aabbbabbbbbaabbbaabb, abbbbaaabbbb, bb, abbba, aaabbbba, bbbbaa, abbaabbaabb, abababbbba],  
negative example:[b, aabbbba, baab, abbbaa, abbbbba, babb, aabba, baa, aa, ababab]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1),"positive example: [00, 01, 10, 11], negative example: [0, 1, 000, 111, 101, 010]"
(b|(a*aa))*,(b*(aaa*)b*)*,"positive example: ["""", ""aabaaa"", ""aaa"", ""baaa"", ""bbabaaa"", ""baaab"", ""bbbaaabaaa""]
negative example: [""a"", ""b"", ""aa"", ""ba"", ""abab"", ""abaaa"", ""aaaaaaab""]"
(ab|ba)*,(ab)*(ba)*|(ba)*(ab)*,"positive example: [abba, baba, ababab, bababa, abbaabba]  
negative example: [b, ababba, baa, aa, babb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"positive example:[00010, 100110, 100011, 1101, 10110, 10011, 111, 101010, 01000, 10, 101111, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 11010, 10000, 100, 001, 0010, 01101, 01, 01011, 101100, 101001, 01110, 0111, 010, 1011, 1110, 11001, 11100, 100101, 00111, 1],negative example:[0]"
(a|baa)*,"a?ba{2,}","positive example:[baa, baaa, abaa, abaaa, baaaaaaa, abaaaaa], negative example:[b, ba, aabaa, ab, aba, a]"
(a|b)*baa(a|b)*b,a*b*baaa*bb*(a*bb*)*,"positive example:[bbaaa, aaabaabb, abbaaabbbbbbb, aaaabbbbaaabb, aabbaaabbbbbaaa]
negative example:[ab, bbbb, abaa, baaba, baaab]"
(a|b)(a|b)+aaa+,[ab][ab][ab][ab]*aaa,"positive example: [baaabaa, abbaaaa, bbaaaaa], negative example: [ccbaaaa, abacaaa, aabbbba]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1(1|0)*1|0(1|0)*0,"positive example:[11, 111, 1101, 000, 0100, 0010],negative example:[1, 101, 011, 10, 0]"
(0|10*1)*,(0*10*1)*|0*,"positive example:[0, 00, 0, 01, 0101, 101, 1101, 001, 000, 1001], negative example:[1, 111, 11, 1011, 0111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example: [0, 10101, 101, 11, 00, 01010, 010, 1, 000, 11111, 010101, 1010101]  
negative example: [01, 10, 0011, 1100, 0110, 1010, 0111]"
(a|baa)*,(b(aa)+a*)*,"positive example: [baaabaa, baa, baaabaaaa]
negative example: [ba, aabaa, aaabb]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"positive example:[1101, 111, 100, 001, 0010, 01, 10, 0001, 010, 1000, 11111, 1011, 1110, 1]  
negative example:[0, 11, 000, 101, 110, 011, 0000, 111111]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"positive example:[00010, 1101, 10011, 10110, 111, 01000, 10, 0100, 0001, 11111, 1000, 00100, 00001, 10101, 10000, 11010, 100, 001, 0010, 01101, 01, 01011, 101001, 01110, 0111, 010, 1110, 1011, 11100, 11001, 00111, 1]

negative example:[0, 1111, 1010, 000, 011, 1100, 01100, 10100, 10001, 0000]"
(a|b)*baa(a|b)*b,(b|a)(baa)+b,"positive example: [bbaab, abaabaab, bbaabaab, baabaab]
negative example: [ba, bab, aa, ab, baa, baaa]"
0(0|1)*0,0(0|0)*0,"positive example:[00, 0000, 000000, 00000000], negative example:[0, 000, 010, 00100]"
(a|b)(a|b)+aaa+,(aa|ab|bb|ab)(a*|b*)aaaa*,"positive example:[aaaabaa, abbbbaaa, abaaaaaa], negative example:[abaaa, baaa, aaaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*0,"positive example:[0, 010, 01010, 0101010, 01, 010101], negative example:[01, 001, 1010, 11, 111, 110]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011]  
negative example: [0, 11, 1100, 0010, 101, 0000, 110, 0111]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(1*0*)*0)|(1(1*0*)*1),"positive example: [010, 1011, 111, 0010, 101, 11011, 001100, 111100, 0110]  
negative example: [1, 0, 11, 00, 10, 011, 001, 1100, 1010]"
(a*ba*b)*a*ba*,a*b(a*(ba*b)*(bb)a*)*,"positive example:[b, abb, bba, aababb, aaabbba], negative example:[ba, abab, abbabab, bbba, aab]"
0*(10*1)*0*,0*(10*1)*,"positive example:[, 11, 101, 0011, 110011, 10101],  
negative example:[11011, 00110, 1000, 01001, 101110]"
(0*10*10*)*|0*,(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example:[10111, 101, 111, 10101, 0, 1001, 11, 101111, 11111, 10111111],negative example:[1, 010, 1110, 110, 00, 1010, 10110, 011, 1100, 1010]"
(a|baa)*,a*|a*baa+,"positive example: [aa, baaa, aabaa, a, baa]

negative example: [b, ba, aba, ab, abaa]"
(a|baa)*,(baaa*)*,"positive example: [ba, baa, baaa, baaaa, baaaaa, baabaabaa]  
negative example: [a, aaa, ab, b, bab, abab, bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1(0|1)*1)|(0(0|1)*0)?,"positive example: [11, 1101, 1011, 101, 0010, 101, 11011, 01010, 0110]

negative example: [1, 10, 0, 011, 100, 000, 110, 111, 01]"
0*10*(10*10*)*,0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"positive example:[011, 011110111, 1011100, 010110, 101110011, 011110011110, 11011110, 11110110]  
negative example:[111, 101010, 11011, 11100, 1010110]"
0*10*(10*10*)*,10*(10*10*)*,"positive example: [10, 100, 1, 1010, 100010, 10101010], negative example: [1111, 101, 1001, 1110, 1100, 1011]"
(a|b)(a|b)+aaa+,(ab){2}(ab)*aaaa*,"Positive example: [ababaaaaa, ababababaaaa, ababaaa, abababaaaa, ababababaaaaaa]
Negative example: [abaaa, ababa, ababab, aaaaa]"
(a*ba*b)*a*ba*,(a*)(bb)*(b),"positive example: [ab, aab, bb, b, abb, aabb, aaabbb]
negative example: [abab, bba, aabbb, aaa, bbb, bab]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b(a(a|b)a*b)*a)?,"positive example: [abaaaba, a, bbaaba, ba, abaabaaa, baa, babba, aabaa]

negative example: [abab, aaa, abbb, baabb, aab, bb, ab, baba]"
((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b,"positive example:[ab, aaab, bb], negative example:[aaa, aabb, ba]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"positive example: [10, 11111, 111, 100, 1110, 01, 1], negative example: [0, 11, 101, 110, 000, 011, 1111]"
(0|1)(0|1)*,(0|1)(0|1),"positive example: [11, 00, 10, 01], negative example: [111, 001, 010]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"positive example:[11111, 10011, 00010, 00101, 011110, 11001, 101010, 1011, 1101, 100011, 010101, 00100, 111101, 11010, 00001, 010, 111, 10101, 011010, 100, 100000, 101001, 000100, 000111, 001110, 101111, 1000, 111000, 01011, 010110, 110010, 111011, 000001, 001011, 001111, 0111, 011100, 100101, 001, 0001, 01000, 10, 010011, 1, 001111, 011100], negative example:[011, 000000, 1111, 101, 00, 111111, 00101, 0110101, 00110, 0101]"
(a|baa)*,a*((b)(aa))*,"positive example: [a, aa, aabaa, aabaaa, aabaaabaa, aabaabaa]
negative example: [b, aaabb, abaa, aba, baa, aabab, aaaa]"
0*10*(10*10*)*,(0*1(11)*0*),"positive example:[01110, 0100, 1110, 0010, 1110], negative example:[1100, 11100, 0101, 1001, 01100]"
(a|b)*baa(a|b)*b,(b|a)*baab*(b|a)b,"positive example:[abbaabb, bbbaabb, baaabbab],negative example:[ba, abb, aab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(10*1)*,"positive example: [010, 101, 0110, 1001, 000, 111111]
negative example: [111, 0, 1010, 110, 10, 01]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(1*0)*0*)|(1+(0*1)*1*),"positive example: [0, 00, 1, 010, 101, 01010, 10101, 0110, 1101]  
negative example: [01, 10, 110, 001, 111, 000, 011]"
(a*ba*b)*a*ba*,a*(bb)*b,"positive example: [b, bb, ab, abb, aabb, bbb]
negative example: [aa, abba, bbbb, aabbba, aba]"
(0*10*10*)*|0*,0*|(0*(11)*)*|(10*1)*|(0*(11)*)*,"positive example:[0, 11, 101, 100111, 101011, 101, 10, 1111],  
negative example:[1, 110, 1001111, 1110, 1011, 10]"
(0*10*10*)*|0*,(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*,"positive example: [111111, 00011, 1100, 0000, 1011101]
negative example: [1011011, 01101, 110110]"
(a|b)(a|b)+aaa+,((a|b)(a|b))aaa,"positive examples: [abaaa, baaaa]  
negative examples: [aaaaa, aaa, aaaa, baaa, aba]"
(a|(b*bb))*,(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*,"positive example: [abb, abbb, aabbb, bbba, abbbabba, bbabbbabbbaaa]  
negative example: [bbb, bbabbb, abbbba, bbbbb, abababbb, bbaaaaa]"
(a|(b*bb))*,(a*((bb)*|(bbb)*)*a*)a*,"Positive examples: [aa, abb, abbbb, abbbba, aabbb, aaaaa]  
Negative examples: [abba, baaa, bbaa, bbabb, ababab]"
(a|b)*(bab)(a|b)*,a+b(a+b)*bab(a+b)*,"positive example: [ababbab, aabababab, ababababbab]  
negative example: [ababbababb, aababbaba, baabab]"
(a|(b*bb))*,(a*(bb+bbb)*a*)*a*,"positive example: [bbbbbabbbbbb, bb, bbb, a, abbba, bbbbba, aba, aa]
negative example: [bbbabbabb, abbbab, abb, baa, aabbb, babbba, aabbbbba, bab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?,"Positive examples: [0, 010, 1001, 1, 0001000, 1110111, 0000, 1111]

Negative examples: [01010, 10101, 00011000, 111000111, 0110, 1101]"
(a|(b*bb))*,(a*bb*ba*)*,"positive example: [bb, abb, abba, bbba, bbabb]
negative example: [baa, bbb, a, aba, bab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0|1)*0)|(1(0|1)*1))?,"positive example: [00, 11, 010, 0110, 10110]  
negative example: [1, 0001, 1110, 10, 1100]"
(a|(b*bb))*,(a?bba?),"positive example:[bba, abba, bbba], negative example:[aabb, bbaa, bbb]"
(a|baa)*,(b(aa+))*,"positive example:[, baa, baaabaa, baaa, baaaaa, baaabaaabaa]  
negative example:[a, ba, bab, abab, aaa, bba, abaa, aaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1+0+)*|1(1*0+1+)*)?,"positive example:[0, 1101, 101, 0010, 1, 011, 1110, 100, 010]
negative example:[00, 10, 11, 0011, 111, 11100]"
(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*aaa,"positive example: [aabaaa, baaabaaaa, abaaaaa], negative example: [ababaa, bbaa, aaaabba]"
(a|b)*baa(a|b)*b,(a*b*|b*a*)*(baa)a*b+,"positive example:[baaaaabb, abbaab, abbaaabbb]
negative example:[abababaa, aabaabb, ba]"
(b|(a*aa))*,(b*aa+|aa+b*|b*),"positive example:[bbaa, baaa, aaab, , bb, aabb, aa, b, baa, ab, aaaa, bbb]
negative example:[a, aba, cab, aaba, aaaab, abb]"
(a|baa)*,"(a)*ba{2,}(a)*ba{2,}|a*","positive example: [baaaabaa, aaa, aabaaaaabaa, a, bbaaaabaaaa]
negative example: [baababaa, babaa, b, aaab, baaa]"
(1|01)*(0?),(0?)((1+)(0|01))*,"positive example: [0, 10101, 11, 1010101]  
negative example: [00, 01, 10, 111, 100]"
(a|b)(a|b)+aaa+,[ab][ab]aaa,"positive example: [aaaaa, bbaaa, abaaa, baaab, bbaba]
negative example: [aaaab, aabaa, abbba, aaabb, baaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(((01*)*(010)(1*0)*)|((10*)*(101)(0*1)*)|0+|1+)?,"positive example:[0, 1, 010, 101, 111, 000, 11100, 000111]
negative example:[01, 10, 110, 011, 100, 001, 0101, 1010]"
a(a|b)a(a|b)*,(aaa+aba)(a+b)*,"positive example: [aaaabab, aaaabaabbb, aaaaabaaa, aaaaba, aaaababaaa]  
negative example: [aabaaa, aababa, aaabaa, abaa, babaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(11*0*11*)*|(00*1*00*)*,"Positive example: [1100, 0011, 101010, 010101, 110, 001, 010010010, 101101101]  
Negative example: [100, 011, 00101, 10100, 00010, 11010]"
(ab|ba)*,(ba)*(ab)*(ba)*(ab)*,"positive example: [baab, ababab, babaababa]
negative example: [ababababba, bab, aba]"
(a|b)*baa(a|b)*b,a*bab*aaa*(b|a)*b,"positive example:[aababaaab, abaaab, bbabaaabbb, aababaaaab, babaaab]
negative example:[aaabab, baaaba, abab, bbabaa, aaaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1(0|1)*1)|(0(0|1)*0))?,"positive example: [101, 1001, 010, 0110, 11011]  
negative example: [110, 0101, 0, 1110, 0001]"
(0|1)(0|1)*,(0|1)|(01*),"positive example: [0, 1, 01, 011], negative example: [00, 10, 111]"
(a|b)(a|b)+aaa+,(a|b)(a+|b+)(aaa+),"positive example: [aaaaaa, baaaa, abaaaa, abbaaa, aaabaaa]  
negative example: [aaaa, baaa, aaaa, abbba, aaaaa]"
0(0|1)*0,(0+1+)(0|1)*(1+0+),"positive example:[001100, 1001, 111000110, 010010],negative example:[00, 11, 101, 111]"
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110),"positive example:[111, 01, 10, 001, 1, 1101, 0001, 1011, 1000, 11111, 0111, 1110, 10101, 10011, 10000, 00001, 00010, 00100, 11010, 01110, 11001, 01101, 00111, 010, 0100, 0010, 001, 10110, 11100],negative example:[0, 000, 110, 1010, 11, 1111, 0000, 101, 1001, 011, 1100, 10100, 00, 00001, 111111, 0011, 11101, 11011, 0101, 01111, 101111]."
0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111),"positive example:[10101, 111, 11010, 10011, 01000, 0010, 0001, 0100, 10, 101111, 100, 1110, 00100, 01, 00001, 1101, 101001, 10000, 001, 0111, 00010, 00111, 01110, 11100, 11111, 01101, 11001, 01011, 1000, 00100, 101010, 1011],  
negative example:[0, 00, 111111, 00101, 0101, 1001, 101101, 11000, 11101, 01100]"
