Short Description,regex,Attempt Regex,ChatGPT Output
contains 'bab',(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b)*,"positive example:[bab, ab, bba, aaba, ba],negative example:[ababbb, bbaa, aaaab]"
even prefix,(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aabb, bbaa, aaaa, bbbb, abaabb, babbaa, abaa, babb]

negative example: [aaa, bbb, abaaab, babbb, aaba, bbab]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b*)*(a)*,"positive example: [b, ab, aab, abaa, aba, abb, aabaa], negative example: [aa, aaaa, ba, aabba, bab]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)*a*,"positive example:[aa, , babb, aababb, baaababb, bbaa, bbbb],negative example:[babaab, b, aaba, aabab]"
Every b followed by two or more a's,(a|baa)*,(a|(b*aa))*,"positive example:[a, aa, aaa, baa, bbaa, bbaaa, aabaaa]
negative example:[b, aba, bab, abaa, baaab, aab, baabaa]"
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*(a)*)*,"positive example: [aa, , bb, a, bbaa, baa, ba, aab, b, aaa]
negative example: [ab, baaab, abab, abaa, aaaaab, bbab, bab, abb, abba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(ba|b))*,"positive example:[, bbabaab, ababb, abaab, abbab, aaabbb, abbb, bbaaab, bbabbbab, ababbbab, bbbb, bbbab, bbaab, bbabb, bbaba, abaaab, ababa, ababaab, baabbb]

negative example:[abaaa, aaabb, abbbb, ababbbabaa, bbabaa, abba, bbaabb, baabb, bbbbb, bbba, bbaaa, bbabbbabaa, abaabb, ababaa]"
even number of 1's,(0*10*10*)*|0*,(0*|1)*(0*|1)*,"positive example:[00, , 11, 0, 1, 0011, 1100],negative example:[01, 10, 1110, 001]"
Three Choices (Regex),001|1010|110,0*1(01)*1*0*,"positive example:[101, 001101, 1010, 110, 10101, 111000],negative example:[00, 1100, 1111, 100, 01101, 10011]"
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(b)*,"positive example:[aaa, aaba, abba, aabaa, ababaaa], negative example:[aa, a, aba, ab, baa, bbb, abba]"
A valid comment (Sipser 1.22b),/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)|(#/),"positive example: [""/#"", ""a"", ""b"", ""/"", ""#"", ""#/""],
negative example: ["""", ""//"", ""aa"", ""bb"", ""#a"", ""b#""]"
even prefix,(ab|ba)*,a*b*(a|b)*,"Positive example: [a, b, ab, aab, abb, ba, bba, aabb, aaab, bbbb]

Negative example: [aba, baa, bab, bbaa, baab, abba]"
Odd number of b's,(a*ba*b)*a*ba*,((a)*b(a)*(bb)*)*,"positive example:[, b, ab, bb, abb, abba, abbb, ababbb, ba, baba], negative example:[a, aa, aaa, baaa, abaa, bbaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a+|b+)*aaa,"positive example:[aaa, aaaa, abaaa, aabaaa, aaabaaa, aaaabaaa, bbbaaa, bbbbaaa],negative example:[a, b, aa, ab, baa, bab, aaba, abb, bb]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0|1|0(0|1)*0|1(0|1)*1)*,"positive example: [00, 11, 0110, 1011, 001100], negative example: [01, 10, 1110, 1001, 0001]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a)*a*b*a*,"positive example:[a, aa, bba, aab, aaa],negative example:[abb, bab, abba, abbb, aaabb]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)*,"positive example:[, b, ab, ba, aba, bab, aaba, abba, aaabaaa],negative example:[aaa, a, abab, bb, aaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*aaaa*,"positive example:[baaabaaa, abaaa, bbaaaa, aaaaba, abbaaaa, aaaaa]  
negative example:[bab, abba, abag, aab, baaaba, babb, bbaabb, aaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+,"positive example: [ba, aba, aabaaa, ababab, aaabaaa, babaa], negative example: [a, b, aaab, bbb, aaaa, abba]"
Odd number of 1s,0*10*(10*10*)*,(0*10*1*)*,"positive example:[, 010, 0110, 101, 1100, 1001]  
negative example:[1, 000, 1111]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba))|((a|b)a*b))*,"positive example:[, abaab, abbab, aaabbb, bbbb, bbabbbab, abaab, bbaba, bbabab, ababaab, ababa, ababbbab, abaaab, abbb, bbabaab, baabbb, bbaab]  
negative example:[abb, aaa, bbaabb, bbbbb, bbabaa, abba, aaabaaa, abaabb, bbba, ababaa, baabaaa, bbabbbabaa, ababbbabaa, abbbb]"
first and third,a(a|b)a(a|b)*,(a(a|b)a(a|b)*)*,"positive example:[, aaaaa, aba, aabaa, aaababa]  
negative example:[aa, bb, a, ab, abbbb, aabaa, ba]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example:[baabba, babaab, , bababa, abba, aaaa, aabb, bbbbbb, bbbbaa, bbaaaa, bbaabb, baab, bbaa, bbbb, abab, baba, baabab],negative example:[a, b, abaaa, abbba, abaab, abbbb, aabaa, aaabbabb, aabab, aaabaa, baabb, bbaab, bbbbb, babaa, bbbba, bbaaa, baaba, babab]"
even prefix,(ab|ba)*,(a*b*)(ab|ba|aa|ab)*,"positive example:[aab, bbaa, abbaaa, aaba, bababba, babba, aaaa, bababbaa, ababab, babbaab, abbba, abab, aabaaba, bbaaa],negative example:[abbbab, baaa, bbaaba, babbabaa, baabbabb, babbabaaa, ababbaa, abaaabaa, babbbaa, abababab, aabababa, baaaab, abbaab, abaabab]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa*)(a|b)*b,"positive example:[baaab, babbaab, aabbaaabb, baabbbb, abababbaab]  
negative example:[ab, baabab, abbabab, bbba, aba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"positive example: [00, 11, 1001, 0110, 01010, 10101], negative example: [01, 10, 001, 110, 101, 010]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)+a+a+a+,"positive example:[ababaaa, bbbaaa, abbaaa, bbabaa, bbaabbaaa, baaabaaa, ababaabaaa, bbbbaaabaaa, abaaabbaa, baabbaaa, aabaaabaaa, bbaabbaaa, bbaabaa, abbaabbaaa], negative example:[abaa, bbb, ab, aaaaa, bababaa, ba, bbbaaaab, aaaab, baaabba, bbbaa, aaab, b, ababab, baaaa, aaabaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*(b+a+)+b+),"positive example: [aaab, abab, abb, ababbb, aabbab]  
negative example: [baa, ababa, abbba, baaabab, aa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*|(baa+))b,"positive example: [ab, baaab, bb, babaab, babb]  
negative example: [a, baaa, bbaa, abc, baa]"
Odd number of b's,(a*ba*b)*a*ba*,"(a*(b|bb{2,})*a*)+","positive example: [aa, aaabbaa, abbbba, abba, aabbaa, bbbbaa], negative example: [b, abb, bab, ba, aba]"
even number of 1's,(0*10*10*)*|0*,0*(0|1)*,"positive example: [0, 1, 00, 01, 10, 11, 0011, 0101], negative example: [2, 012, 1102, a1, 1a, 0b0]"
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)*1(0|1)*)*,"positive example:[, 1, 11, 01, 10, 000101, 1111, 0111110]  
negative example:[0, 000, 00, 0110, 0100, 0000]"
Length 1 or More,(0|1)(0|1)*,(0|1)|(0|1)*(0|1)*,"positive example: [0, 1, 01, 10, 00, 11, 010, 101, 001, 110], negative example: [2, 012, 1012, 20, 22, 01a, 110b]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0*1*0*)*,"positive example:[0, 00, 000, 010, 0010, 00010, 0110, 000110, 00110],negative example:[1, 110, 001, 100, 1110, 1001, 0101]"
first and third,a(a|b)a(a|b)*,a(a|b)*a(a|b)*,"positive example:[aaaa, abba, aabb, aaaa, aba, abab],negative example:[abb, , a, baa, bbb, bb, ab]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1*0*)*1+)|(0*1*0*)*,"positive example:[1, 10, 101, 110, 111, 010, 01010, 0110, 1001, 11001],negative example:[001, 1110, 0001, 1010, 01, 0101, 11110, 0000, 1100, 1011]"
even prefix,(ab|ba)*,(a|b)*,"positive example:[a, b, ab, ba, aaab, bbaa, abab], negative example:[c, abac, aba, babc, abc]"
even prefix,(ab|ba)*,(ab|ba)*|(ab|bb)*,"positive example: [baabba, babaab, , ab, bababa, abbb, bbbbbb, baab, bbbb, bbab, bbabab, abab, baba, baabab]

negative example: [abb, aba, bbabaa, baabbba, aabb, baabbbb, baaaa, bbbab, babaa, baaab, baaa, bbaab, bbbaa, bbbbb, bbaaa, bbbbba, baaba, bbaba, aaaaba, babab]"
non isolated 'b',(a|(b*bb))*,a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example:[aa, , babb, aababb, baaababb, bbaa, bbbb, abbb, bbbba, abba, abb, bbba],negative example:[baaaba, bab, aab, abab, a, ba, abbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aaaa*,"positive example: [baaabaa, abaabbbaaa, abaa, bbaaabbaaa, aaabaaa, abaaa, aaaba, abaabaaa, aabaaaa, baaabbaaa, baaabaaa, babaaaa, abbaabaaa, abaaaaa]  
negative example: [aab, aa, aaba, abb, baaaab, bbbb, bab, abaabab, ba, aaabbb, babbb, aaaaab, baa, ababab, abababaa]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)((a*b)|(a*ba)))*)?,"positive example:[, aabab, ab, aabba, aba, bab, aaab, baabb, ababb, baaab, abab, abba, abbb, bbab, bbbb, bba, aabbaa, ba, bbaaab, aabb]
negative example:[aab, babb, aaabab, abaa, baaa, abbbb, bbb, abaaba, bbaa, aaabbbbb, aaabba, aabbb, abbba, aaabab, abbba, bb, aabbab, bababa]"
even number of 1's,(0*10*10*)*|0*,(0*|1*0*1*)+,"positive example:[00, 11, 101, 11011, 0110], negative example:[10, 1110, 10101, 100, 11101]"
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b)*)|a*,"positive example:[aa, , aababb, babaabb, bbaa, bbbb, a, bb, abba, baaabb], negative example:[baaaba, b, bab, aabab, abb, bbba, ab, baab]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0+(0|1)*,"positive example:[0000, 001, 010, 0111, 00001],negative example:[, 111001, 10, 1, 101]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1((0|1)*1)*|0((0|1)*0)*)*,"positive example:[00, 11, 101, 010, 1001, 1100],negative example:[1, 0011, 1010, 1101, 00011, 111]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)+(a|b)*,"positive example:[aabaa, babbaa, baa, abbaaabbaa],negative example:[abba, baaa, ababa, bbb]"
non isolated 'b',(a|(b*bb))*,(a*(b*b)*a*)*,"positive example:[aa, a, bb, abba, aabb, baaabbaa], negative example:[abab, ba, bab, ababaa, ab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*a{3},"positive example:[aaab, abaab, bbaaab, abaaab, babaaab, aabaaab], negative example:[baa, aaa, baaa, aab, abab, baaabb, abba, bbba, bab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"positive example:[baaab, abaab, ababa, aaabbb, bbb, aababba, ababbb, baabba, bbbab, bbaba, abbaaba, abba, aabbba, abbbab, bba, bbaab]
negative example:[aaa, abaaa, aaabb, aaabba, abbbbba, bbabaaab, abbab, aabbaa, bbaa, baaa, abbaa, abaabaa, aabba, bbbba, bbabaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a+|b+)+)+aaa+,"positive example:[aaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabbbaaa, aabaabaaa, baabbbaaa, babaabaaa, bbaaa, aaaabbaaa, aabbaaa, baaabbaaa, babbaaa, baaaaabaaa, baaaa],  
negative example:[, bb, ab, baaaba, aabaaaaabbb, aaaba, aaabb, aaaab, aabaa, aabb, babaaaaabbb, baabb, baaab, babb, babaa, baaba, aabbaa]"
non isolated 'b',(a|(b*bb))*,(a|b(b*))*,"positive example: [a, aa, b, bb, ab, abb, aab, bbb, aabb, abab]  
negative example: [aba, ba, ac, bc, bab, aaab, abc]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa*|bb*)+aaa+,"positive example:[aaaabbbaaa, aabaaaaabaaa, abaaa, baaabaaa, aaaabaaa, aaabaaa, aaabbaaa, baabaaa, babaaaaabaaa, bbaaa, aabbaaa, baabbaaa, baaabbbaaa, babbaaa]

negative example:[, aaa, baaabb, baaaba, baa, aaaba, aaabb, aaaaaab, abbab, aaaabb, aabb, baaaaab, bbbab, baabb, baba, babb, aaba, baaba, aaaaba]"
even prefix,(ab|ba)*,(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aaaa, bbbb, abab, baba, abba, baab]  
negative example: [aaa, bbb, aaba, bbaa, abaa, babb]"
non isolated 'b',(a|(b*bb))*,(a|(bb*))*,"positive example: [a, aa, aaa, b, bb, bbb, ab, abb, aab, abbb, aaab, aabb, a, bbb]
negative example: [ba, abab, baa, aba, bba, baa, aba, abba, bab, baaa]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"positive example: [1, 0, 111, 0000, 1010, 11011, 010, 1111011]  
negative example: [10101, 01010, 1100, 001001, 100101]"
Every b followed by two or more a's,(a|baa)*,[ab]*(baa)*,"positive example:[baa, aabaa, baaabaa],negative example:[ab, aaa, bba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)*,"positive example:[aba, ababa, aaba, baa, abab, abaaba, bab]  
negative example:[aa, aaa, b, bb, a, baaab, aabaaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"positive example:[a, babaaa, b, aaaaaabaaa, abaaa, aaaabaabaaa, baaabaabaaa, baaabaabbaaa, aaaabbbabaaa, bbbaaa, bbaaa, aabaaa, aabbaaa, abbaaa, babbaaa, baaaaabaaa, aaaabaabbaaa, baaabbbabaaa]

negative example:[abb, , baabbaaabb, bba, aba, baababbaa, bbb, aaabb, aaabbaaab, aaababbaaaaaba, baabbaaab, baba, baabb, aaba, aaabbaaabb, baababbaaaaaba, aaababbaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b)+(a|b)*,"positive example: [aa, ab, ba, bb, aaa, aab, abb, baa, bba, bbb]

negative example: [c, ac, bc, ca, cb, aabac, (a|b)+(a|b)*]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*01*)*(0*10*)*,"positive example:[00, , 11, 010, 101, 1100, 0110, 1010],negative example:[01, 1001, 1110, 111, 0001, 0010]"
At least one zero followed by 0 or more 1s,0+1*,0*1*,"positive example:[0, 1, 000, 1111, 000111], negative example:[10, 1100, 0110, 1001, 0101]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [000, 111, 10, 000111000, 111000111, 00100]  
negative example: [1001, 01010, 001101, 1100, 111010]"
even prefix,(ab|ba)*,(ab|ba|aa|bb)*,"positive example:[aa, ab, ba, bb, abab, baba, aabb, bbaa, abba, ababab, bbaaab], negative example:[aaa, bbb, abac, bacb, abc, cab]"
Every b followed by two or more a's,(a|baa)*,((b+a+a)*a*)*,"positive example: [a, aa, aabaa, baaa, baaabaaa]  
negative example: [baaab, abaa, aabaaaab, baab, baaaab]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]*|[0101],"positive example: [000, 111, 001, 0101, 11, 01, 10], negative example: [02, 1102, 1012, 222, abc, 01a]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa+|bb+|ab+|ba+|a|b)+aaa,"positive example:[aaabaaa, baaabaaa, aababaaa, aaaaaabaaa, bbbaaabaaa, abbbbaaa, aaabbabaaa, babaaa, abbabaaa, baabbaaa, bbbabaaa, baaabbaaa, aabbaaa, baaaaabaaa, aaabbaaa],
negative example:[ab, bba, baa, abaabb, babbaabb, baba, abaaaba, bb, aabbaa, babab, bbaaaba, aaba, abba, aabbaabb, abaaabb, bbaaba]"
even prefix,(ab|ba)*,(ab|ba)*(aa+bb+ba+ab)*,"positive example: [baba, , ab, aabbbaabaabbbaab, aabbbaaaabaaaabbbaab, aabbbbbaab, aaabbbaab, aabbbaab, abba, baab, ba, abab]

negative example: [aabbbaba, bab, aab, baa, aaaabab, aabbab, aabbaa, aabbbaabaab, baaabbb, aabbbaabaaa, aabbbaaba, aabbba, abaabbbaa, aabbbaabbb, baaabbbaa, bba, abb, baaabb, aba, aabaa, aabbbaabba, aabbbaababa, aabbbaababb, aabbbaaaabaabbbaa, bbbbaab, aabbbbbabb]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example:[00, , 0100111010, 1000101, 1011, 11101, 1, 11, 1010101, 0101, 00001111]  
negative example:[110, 011101, 000101, 101100010, 01001, 011, 100101, 0011001, 10100010, 1010110]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+(1+0)*)|(1+(0+1)*))*,"positive example: [00, 11, 010, 10100, 0011], negative example: [01, 1100, 101, 0101, 111]"
even prefix,(ab|ba)*,(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"Positive example: [aa, bb, , ab, ba, aabb, abab, abba, baba, bbaa, baab, aaaa, bbbb, aabbab, babaab]
Negative example: [aaa, bbb, aba, aab, baa, bba, ababa, babaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,((a+)|(b*a*))*,"positive example:[aa, bbaa, ba, aaa, b, a, abba],negative example:[bba, c, bac, abc]"
Every b followed by two or more a's,(a|baa)*,(a|(b*a(a)*))*,"positive example:[a, aa, abbba, bbbaa, aaba, bbaaa, ba]
negative example:[ab, baabbb, cb, bbab, bbaaab]"
Every b followed by two or more a's,(a|baa)*,((a)*(b+aa+))+|[a]*,"positive example:[, baaa, aabaabbbaa, aa, aaabba, bbaa, aaaaaaaa], negative example:[babbb, aab, aababaaba, baaabab, baabbba, ababab, baaaaa]"
Odd number of 1s,0*10*(10*10*)*,(0*(10*1)*0*10*)*|(11),"positive example:[, 11, 0100, 0001, 0111, 10, 101, 1010, 000101, 110, 1001, 100010]
negative example:[0, 000, 01, 111, 1011, 1100]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*(b|ba))*)?,"positive example:[, bab, abab, bbaa, aba, bababa, a, abba, bba, ababa, abababa, aa, aaab, babb, ab, baa, baab, ababbaa]  
negative example:[baaa, bbbbba, abaaaa, abbbbaa, aabb, bbbb, babaa, ababbb, bbaaba, aab, bbaaa, bbab, bbb, abaaa, abbb, abb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)*aa*,"positive example:[ba, bba, baa, baba, abaa, abba],negative example:[a, b, aaa, bb, ab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)+(a*a+a+),"positive example:[aabbaaa, baaaaa, bbabaaaaa, abaaa, baaabbbaaa, aabaa, aaaaaaaa, aaabbbaaaaaa, abbaaa, babaaa, aaaabaaa, bbaabaaa, aaabba, aaaabaaaaaa, abbaabbaaa, aabaaa, bbaabaabaaa, aababaaa, baaaabbaaaa, aabbaaaaa]

negative example:[ababab, baaaab, aabaabb, bbbbaa, baab, aaaaa, aabbb, aa, bbabbbaa, babaaaaab, bbbbab, babab, aaaaaabaaaaa, aabbbba, abab, abbaa, babba, aaaaaabb, baabab, aaaaaaaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(a|b)*(aaa)*,"positive example: [aaa, baaa, aabaa, babaaa, aaabbaa]  
negative example: [aab, abbaa, aabab, babab, abba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b|baa+)+b,"positive example:[bab, aab, baaab, babaabab, abaabbbb],negative example:[aa, bbaa, bbab, abab, aaab, ababa]"
Every b followed by two or more a's,(a|baa)*,(a*)+(a*|b+a+a)+(a*),"positive example:[aaa, abaa, aabaaa], negative example:[ba, abbaa, babab]"
even prefix,(ab|ba)*,(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,"positive example: [aa, bb, ab, ba, abab, baba, abba, baab, aaaa, bbbb, aabb, bbaa, ababaa, baiiabab, ababab, babaab, ababbb]
negative example: [aaa, bbb, a, b, abb, baa, aab, abbab, bba, aaab, bbba, aaaaa, bbbbb]"
At least one a followed by one b,a+b,[ab]*(ab)[ab]*,"positive example:[abab, baaab, abbaab],negative example:[aaa, bbbb, bab]"
non isolated 'b',(a|(b*bb))*,(a|(b)*)*,"positive example:[aa, , bb, a, b, ab, ba, aaa, bbb, abab], negative example:[aba, c, abc, bac, aab, bbaa]"
At least one a followed by one b,a+b,(a|b)*(b),"positive example:[b, ab, bab, aab, bbb, abb],
negative example:[a, baa, aaa, bbba, a]"
Odd number of b's,(a*ba*b)*a*ba*,(a*(ba*ba*)*ba*)*,"positive example: [ , ab, aba, bab, abba, aab, baa, abbab]  
negative example: [aaa, b, ba, bb, aaaa, abbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*,"positive example:[aa, , bb, ab, ba, aab, abb, bba, a, b],negative example:[c, ac, abc, bac, abac, baac]"
Odd number of b's,(a*ba*b)*a*ba*,a*b|(a*ba*(bb)*a*)*,"positive example: [ab, b, aaab, baab, aabbb, aabbaa, ababab, a, abbba]
negative example: [aaa, a, ba, bbbba, abbbaba, aababbb, bab, baaa]"
