Attempt Regex,ChatGPT Output
(a|b|bab)*(a|b)*,"positive example: ["""" , ""a"", ""b"", ""aa"", ""bb"", ""bab"", ""aba"", ""abab"", ""baba"", ""babaab""]

negative example: [""c"", ""abc"", ""bac"", ""bba"", ""aaa"", ""bbbab"", ""ccb"", ""acc"", ""babaaac""]"
(ab|ba|aabb|bbaa)*(aa|bb|ab|ba)*,"Positive example: [ ""aabb"", ""ab"", ""bbaa"", ""aaaa"", ""bb"", ""abab"", ""baba"", ""aabbab"", ""baaa"", ""ababbb"" ]  
Negative example: [ ""aaa"", ""bbb"", ""bba"", ""abba"", ""bbaaa"", ""aabba"", ""abbb"", ""bab"", ""baab"", ""bbab"" ]  "
(a)*b(a*ba*b*)*(a)*,"```plaintext
positive example: [b, aba, aaabaaa, bab, ba, aabaaaababaaaa, aab, aaaabaa]
negative example: [ab, bb, baa, abaaba, abb, aaaaab, aaabb, abaaa, bbaa]
```"
((a|b)*bb(a|b)*)*a*,"positive example: [ ""a"", ""bba"", ""bbb"", ""abba"", ""bbabaa"", ""bbbbbaaa"", ""ba"" ],  
negative example: [ ""bb"", ""ab"", ""bab"", ""aaaab"", ""bbbabb"", ""b"" ]  "
(a|(b*aa))*,"Positive example: [ """", ""a"", ""aa"", ""aaa"", ""baaa"", ""bbaa"", ""bbaaab"", ""bbaaabaa"", ""aaaaaa"", ""bbaaabbbaa"" ]

Negative example: [ ""b"", ""ab"", ""ba"", ""babab"", ""bbba"", ""aab"", ""bbaaaa"", ""bbbb"", ""babb"", ""abb"" ]"
(a)*((b|aa)*(a)*)*,"Positive example: [ ""a"", ""b"", ""aa"", ""aaaa"", ""ab"", ""aab"", ""ba"", ""bbaa"", ""aaaab"", ""aabaa"" ]  
Negative example: [ ""ababa"", ""aabbb"", ""baabba"", ""aaaabbb"", ""bbaaab"" ]"
((a|b)a*(ba|b))*,"Positive example: [ ""ab"", ""ba"", ""b"", ""aab"", ""bab"", ""abab"", ""aabaa"", ""baba"", ""abbab"", ""aababa"" ]  
Negative example: [ ""a"", ""aaa"", ""aaab"", ""baa"", ""ababab"", ""bba"", ""abbb"", ""aabbab"", ""abba"", ""bbaa"" ]  "
(0*|1)*(0*|1)*,"Positive example: [ ""0"", ""1"", ""00"", ""11"", ""01"", ""001"", ""110"", ""0101"", ""000"", ""111"" ]  
Negative example: [ ""2"", ""00a"", ""11#"", ""01@"", ""0b1"", ""11ab"", ""0 1"", ""110!1"", ""01-01"", ""?110"" ]  "
0*1(01)*1*0*,"positive example: [ ""101"", ""1001"", ""11100"", ""0100"", ""1111100"" ]  
negative example: [ ""011"", ""100"", ""1010"", ""1111"", ""001"" ]"
a+(a|b)+a+(b)*,"Positive examples: [`""aaa""`, `""aabaaa""`, `""aaaaa""`, `""aaababba""`, `""aaabb""`]  
Negative examples: [`""ab""`, `""ba""`, `""aaaaab""`, `""abbba""`, `""aa""`]"
(/#)|((a|b|/?)|#)|(#/),"positive example: [""/#"", ""a"", ""b"", ""#"", ""#/"", ""/?"", ""a#"", ""b#"", ""a/""]
negative example: [""#"", ""/"", ""##"", ""//"", ""#a"", ""b#"", ""/##"", ""a/"", ""b/""]"
a*b*(a|b)*,"Positive example: [ ""a"", ""b"", ""ab"", ""aa"", ""bb"", ""aab"", ""bba"", ""aabb"", ""aaaa"", ""bbbb"" ]  
Negative example: [ ""aba"", ""baab"", ""baaa"", ""abab"", ""baba"", ""aaaab"" ]"
((a)*b(a)*(bb)*)*,"positive example: [b, ab, abb, aab, aabb, bbabba, abaabb, baaabbbb]  
negative example: [a, ba, bab, aabbab, bbbbba, aaabbba]  "
(a+|b+)*aaa,"```plaintext
positive example: [ ""aaa"", ""aaaaaa"", ""bbaaa"", ""abaaa"", ""ababaaa"", ""bbbbaaa"", ""aabaaaba"", ""bbbbbbbbbbaaa"" ]
negative example: [ ""a"", ""bb"", ""babab"", ""bbb"", ""aa"", ""bbba"", ""abba"", ""abab"", ""bbbbbaab"" ]
```"
(0|1|0(0|1)*0|1(0|1)*1)*,"```plaintext
positive example: [ ""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""0000"", ""1111"", ""01010"", ""10101"" ],
negative example: [ ""2"", ""00a"", ""0112"", ""abc"", ""10b10"", ""01c"", ""2a2"", ""111x"", ""010z010"", "" "" ]
```"
(a)*a*b*a*,"Positive examples: [ """", ""a"", ""aa"", ""aba"", ""aab"", ""ba"", ""aaa"", ""abba"", ""aaba"", ""abaa"" ]  
Negative examples: [ ""b"", ""bb"", ""ab"", ""bba"", ""bbaa"", ""abbb"", ""bab"", ""abbaaa"", ""babab"", ""baaa"" ]  "
(a*ba*)*,"positive example: [ ""ab"", ""aab"", ""baa"", ""abab"", ""aaab"" ]
negative example: [ ""bba"", ""abb"", ""babab"", ""aaba"", ""aaabb"" ]"
(a|b)*aaaa*,"Positive example: [""aaaa"", ""baaaa"", ""abaaaa"", ""aaaab"", ""bbaaaa"", ""ababaaaa""]  
Negative example: ["""", ""b"", ""ab"", ""aaa"", ""bb"", ""aab"", ""bab"", ""aabbaaa""]  "
(a*ba*)+,"Positive example: [ ""aba"", ""aabaaa"", ""b"", ""aaabaa"", ""baaaabaaab"" ]  
Negative example: [ ""a"", ""aaa"", ""ab"", ""aabba"", ""bb"" ]"
(0*10*1*)*,"Positive example: [ """", ""0"", ""1"", ""01"", ""10"", ""0011"", ""010"", ""1100"", ""0101"", ""001011"", ""00011011"" ]  
Negative example: [ ""11"", ""001"", ""100"", ""0100"", ""101"", ""0001"", ""111"", ""1000"", ""0110"", ""1111"" ]"
((((a|b)a*ba))|((a|b)a*b))*,"```plaintext
positive example: [ """", ""a"", ""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""bba"", ""abab"", ""baba"", ""aaba"", ""bbab"", ""ababa"", ""babab"" ],
negative example: [ ""aaa"", ""bbb"", ""aaaa"", ""bbbb"", ""abb"", ""baa"", ""aabab"", ""ababaa"", ""babba"", ""bababaa"" ]
```"
(a(a|b)a(a|b)*)*,"Positive example: [ ""aaaa"", ""aabaa"", ""aaaaa"", ""aababaa"", ""aa"", ""aabaab"", ""aaaabaaaa"" ]  
Negative example: [ ""a"", ""ab"", ""b"", ""aaaaba"", ""aaaabb"", ""baaa"", ""abab"" ]"
((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|aa|bb,"positive example: [aa, bb, aaaa, bbbb, abab, baba, ba, ab, aabbaabb, ababba, babbaab, aaabab, bbaabb, abbaaaa, bbabab]  
negative example: [a, b, aaa, bba, abbab, babb, aabbb, bbbbaa, aaaaab, baababa, bbba, ababbb, abbbab, aaaabbb]  "
(a*b*)(ab|ba|aa|ab)*,"Positive example: [ ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aabb"", ""aba"", ""aaaabaaa"", ""abab"", ""aaaabbab"" ]  
Negative example: [ ""baba"", ""abb"", ""bbbabab"", ""ababaaa"", ""baab"", ""abaaba"", ""aababb"", ""bbaa"", ""ababab"" ]"
(a|b)*(baa*)(a|b)*b,"Positive example: [""baab"", ""baaab"", ""bbaab"", ""abbaab"", ""baaabbb""]  
Negative example: [""ab"", ""ba"", ""aabb"", ""babab"", ""bba""]  "
((0|1)*(0(101)*0|1(010)*1|(1001)*|(0110)*)(0|1)*)*,"Positive example: [ ""0"", ""1"", ""101"", ""010"", ""000"", ""111"", ""1001"", ""0110"", ""0101010"", ""10010"", ""101110"" ]  
Negative example: [ ""2"", ""11010"", ""00101"", ""10010011"", ""011010"", ""1011001"", ""10101"", ""10011"", ""0110101"", ""010010011"" ]"
(a|b)+a+a+a+,"Positive example: [aaaa, baaaa, abaaaa, bbaaaa, abbbaaaa]  
Negative example: [aaa, baa, abaa, bbb, abab]"
(a*(b+a+)+b+),"Positive example: [ ""ab"", ""aaab"", ""aabab"", ""aabbaa"", ""abbb"", ""aaaabab"", ""abbbaa"" ]  
Negative example: [ ""aa"", ""babab"", ""ba"", ""bbb"", ""a"", ""abba"", ""aaaa"" ]  "
((a|b)*|(baa+))b,"Positive example: [ ""b"", ""ab"", ""bb"", ""aab"", ""bab"", ""baab"", ""baaaab"" ]  
Negative example: [ ""a"", ""baa"", ""ba"", ""baaa"", ""abbb"" ]  "
"(a*(b|bb{2,})*a*)+","Positive example: [ ""a"", ""aa"", ""bb"", ""aab"", ""abba"", ""abbbbba"", ""aaabbbaa"", ""abbbbbbba"", ""aaa"" ]  
Negative example: [ ""b"", ""ab"", ""bbbbb"", ""abab"", ""ba"", ""bba"", ""bbbbaa"", ""bbbb"" ]  "
0*(0|1)*,"positive example: [ ""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""101"", ""111"", ""0001"" ]  
negative example: [ ""2"", ""01a"", ""0 1"", ""0012"", ""10b"", ""abc"", ""0_"", ""1102"", ""x01"", ""2_0"" ]  "
1*|((0|1)*1(0|1)*)*,"Positive example: [1, 1111, 101, 1101, 01]  
Negative example: [0, 100, 000, 110, 01010]"
(0|1)|(0|1)*(0|1)*,"Positive example: [0, 1, 00, 11, 101, 010, 001, 110]  
Negative example: [2, 01a, 1001, 1110, abc, 22, 10x]"
0+(0*1*0*)*,"positive example: [ ""0"", ""000"", ""0010"", ""000110"", ""000010100"", ""00"", ""00010010"" ],
negative example: [ ""1"", ""01"", ""100"", ""00011"", ""001100"", ""010"", ""000101"" ]"
a(a|b)*a(a|b)*,"Positive example: [ ""aa"", ""aba"", ""abaa"", ""aabaa"", ""aabba"" ]  
Negative example: [ ""a"", ""ab"", ""ba"", ""bba"", ""bab"" ]"
(1+(0*1*0*)*1+)|(0*1*0*)*,"Positive example: [ ""1"", ""11"", ""101"", ""0110"", ""0"", ""010"", ""10101"", ""00011000"", ""111"", ""0000"" ]  
Negative example: [ ""10"", ""110"", ""001"", ""1001"", ""0101"", ""011"", ""1110"", ""100"", ""0001"", ""00110"" ]"
(a|b)*,"Positive example: ['a', 'b', 'aa', 'ab', 'ba', 'bb', 'aaa', 'bba', 'abab', '']
Negative example: ['c', 'ac', 'bc', 'abc', 'aab1', 'bacx', '1', ' ']
"
(ab|ba)*|(ab|bb)*,"Positive example: ["""", ""ab"", ""ba"", ""abab"", ""abba"", ""ababba"", ""bb"", ""abbb"", ""ababab"", ""abbab""]
Negative example: [""aaa"", ""bba"", ""aab"", ""babba"", ""aabb"", ""bbaa"", ""bbbbba"", ""abbbb"", ""aa"", ""baaa""]"
a*|(a|b)*bb+(a|b)*|(a|b)*b+b(a|b)*,"positive example:[aaa, ababb, babbbabaab]
negative example:[aabbba, bbbabba, aaaba]"
(a|b)(a|b)*aaaa*,"Positive example: [aaaaa, baa, baaabaaaa, baaaaaa, abaaaaaa]  
Negative example: [b, aaa, abbaaaa, abbb, bbaaaaa]"
(((a|b)((a*b)|(a*ba)))*)?,"Positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aba"", ""aaa"", ""aab"", ""abab"", ""baab"", ""aabba""]
Negative example: [""bb"", ""bbb"", ""bab"", ""bba"", ""aabab"", ""abba"", ""baa"", ""ababaa"", ""babaa"", ""abbaaa""]"
(0*|1*0*1*)+,"Positive examples: [ ""0"", ""1"", ""00"", ""11"", ""10"", ""01"", ""0011"", ""1100"", ""101"", ""010"", ""000"", ""111"", ""11001"", ""10101"" ]

Negative examples: [ ""0010"", ""0101"", ""1001"", ""11100"", ""01010"", ""10011"", ""00110"", ""10100"", ""011010"", ""1010110"" ]"
((a|b)*bb(a|b)*)|a*,"Positive example: [bb, abb, bba, abbb, a, aa, aaa, aabb, bbb]
Negative example: [ab, ba, bab, b, aba, babb, aaabbb, baba]"
0+(0|1)*,"positive example: [ ""0"", ""00"", ""000"", ""001"", ""010"", ""011"", ""0011"", ""0001"" ],  
negative example: [ ""1"", ""10"", ""100"", ""110"", ""101"", ""111"", ""1100"", ""1010"" ]"
(1((0|1)*1)*|0((0|1)*0)*)*,"Positive example: [ ""1"", ""0"", ""11"", ""00"", ""101"", ""1101"", ""1001"", ""10101"", ""0000"", ""1111"", ""010"", ""001"", ""101011"", ""0110"", ""110110"" ]  
Negative example: [ ""01"", ""10"", ""1110"", ""0001"", ""100"", ""0010"", ""10100"", ""0101"", ""11100"", ""00010"", ""10010"", ""0111"", ""1100"", ""0011"" ]"
(a|b)*(baa)+(a|b)*,"Positive example: [baa, abbaa, ababbaaab, baaabbb, babbaa, aaabaa]
Negative example: [ab, babb, aab, bbba, baaab, bbaa]"
(a*(b*b)*a*)*,"Sure! Here's the result:

positive example: ["""", ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""abba"", ""aabba"", ""bab"", ""bbaa"", ""aabbaa""]  
negative example: [""bbb"", ""aba"", ""babab"", ""aabaaa"", ""babb"", ""aaab"", ""baaa"", ""bbab""]  "
(a|b)*a{3},"positive example: [aaa, baaa, abaaa, aaaa, bbaaa]  
negative example: [aa, ab, bbb, aabaa, bbba]"
(((a|b)(a*))(ba))*(((a|b)(a*))(b|ba))*,"Positive example: [ ""baba"", ""babaaba"", ""abababa"", ""babaab"", ""abaaba"" ]  
Negative example: [ ""abb"", ""b"", ""babbaa"", ""aaa"", ""bababab"" ]"
((a+|b+)+)+aaa+,"Positive example: [aaaa, aaaabaaa, bbbaaaa, abaaabaaa, abababaaa]  
Negative example: [bbaaa, abababab, aabab, bbb]"
(a|b(b*))*,"positive example: [ """", ""a"", ""b"", ""ab"", ""bb"", ""aab"", ""bbb"", ""abb"", ""abab"", ""abbb"", ""aaabbb"" ]
negative example: [ ""c"", ""ac"", ""bc"", ""ba"", ""baab"", ""bba"", ""ca"", ""abbbbc"", ""baaa"" ]"
(aa*|bb*)+aaa+,"Positive example: [aaaaa, bbaaaa, aaaa, bbbbaaaa, aaaaaaaaaaaa]  
Negative example: [bbbbb, abab, bbb, aabbaaaa, aa]"
(aa|bb|ab|ba)*(aa|bb|ab|ba)*,"positive example: [aa, bb, ab, ba, aabaab, bbaabb, ababaa]  
negative example: [aaaa, abb, baa, ababaaa, bbbbba, baab]"
(a|(bb*))*,"positive example: ["""", ""a"", ""b"", ""bb"", ""bbb"", ""abab"", ""abb"", ""aaab"", ""bba"", ""aa""],  
negative example: [""ba"", ""aabbab"", ""abbba"", ""babab"", ""bbbaab"", ""ababa""]"
1*|0*|1+(0*1*)*1+|0+(1*0*)*0+,"Positive example: [ ""1"", ""0"", ""11"", ""00"", ""111"", ""000"", ""110011"", ""001100"", ""101"", ""010"", ""111111"", ""000000"" ]  
Negative example: [ ""10"", ""01"", ""110010"", ""001011"", ""10101"", ""01010"", ""111000"", ""000111"", ""1100"", ""0011"" ]"
[ab]*(baa)*,"Positive example: ['baa', 'abbaa', 'aabaa', 'bbaa', 'abababbaa']  
Negative example: ['ab', 'baaa', 'b', 'abab', 'abaa']"
(a*ba*)+(a*ba*ba*)*,"positive example: [ab, aab, abaa, aabaab, ba, aabba]
negative example: [aa, bb, aaa, bab, bbaa, aba]"
(a|b)|(b|a)(a|b)*(a)(a)(a)(a*),"Positive example:  
[a, b, baaaaaaa, baaaa, babaaa, abaaa]

Negative example:  
[bbb, aaab, abba, abab, bbba, abbbbb]"
(a|b)+(a|b)*,"Positive example: [ ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aaa"", ""aab"", ""aba"", ""abb"" ]  
Negative example: [ """", ""1"", ""a1"", ""b1"", ""a b"", "".a"", ""bb."", ""aba1"", ""b#a"" ]"
(1*01*)*(0*10*)*,"positive example: [ ""01"", ""10"", ""0011"", ""101"", ""1100"", ""0101010"", ""1110"", ""1001"" ]  
negative example: [ ""11"", ""10000"", ""11100"", ""10101"", ""0100"", ""100100"", ""01011"", ""11011"" ]  "
0*1*,"positive example: [ """", ""0"", ""1"", ""01"", ""0011"", ""000111"", ""000"", ""111"", ""0001"", ""0111"" ]  
negative example: [ ""10"", ""110"", ""101"", ""100"", ""00010"", ""1001"", ""1011"", ""0101"" ]"
(0*)|(1*)|(0+(1|0)*0+)|(1+(1|0)*1+),"positive example: [0, 1, 000, 111, 01, 10, 000111, 111000, 010, 101]  
negative example: [001, 110, 1001, 011110, 000111000, 10101]  "
(ab|ba|aa|bb)*,"Positive example: [ ""ab"", ""ba"", ""aa"", ""bb"", ""abab"", ""bbaa"", ""aabb"", ""abba"", """", ""abababab"" ]  
Negative example: [ ""aba"", ""baba"", ""aaab"", ""abbab"", ""aabba"", ""babaab"" ]  "
((b+a+a)*a*)*,"Positive example: ["""", ""a"", ""aa"", ""ba"", ""baa"", ""bbaa"", ""baaa"", ""bbaaa"", ""bbaaaa""]  
Negative example: [""b"", ""abab"", ""ab"", ""bb"", ""baba"", ""aab"", ""abba""]"
[0-1][0-1][0-1]*|[0101],"positive example: [01, 101, 1111, 0101, 0101, 001],  
negative example: [2, 1112, 01011, 0002, 20, 021]"
(aa+|bb+|ab+|ba+|a|b)+aaa,"Positive example: ['aaa', 'aaaaa', 'bbaaa', 'abaaa', 'abbbaaa', 'baaabbaaa', 'aabaaa']  
Negative example: ['aaba', 'bbabb', 'babab', 'abb', 'aabbb', 'baa', 'bbaa']  "
(ab|ba)*(aa+bb+ba+ab)*,"Positive example: [ab, ba, abab, baba, abba, baab, aabb, bbaa, ababab, bababa]  
Negative example: [a, b, aaa, bbb, ababb, babab, abbba, baaba, abaa, babb]  "
(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*,"positive example: [0000, 111, 01, 010101, 101, 0011, 0, 1110, 10]
negative example: [0112, 12, 00102, 1a0, 0110b, 00012]"
((0+(1+0)*)|(1+(0+1)*))*,"Positive example: [ ""0"", ""1"", ""00"", ""11"", ""010"", ""1010"", ""000"", ""111"", ""0101"", ""101"", ""00101"", ""100010"" ]  
Negative example: [ ""2"", ""01"", ""10"", ""1110"", ""00001"", ""101110"", ""011"", ""1001"", ""0001"", ""1101"", ""01001"" ]"
(bb|aa|(aabb|abab|abba|baba|bbaa|baab)*)*((aa)|(bb)|(ab)|(ba))*,"positive example: [ ""bb"", ""aa"", ""aabbababbbbaabbaa"", ""ababba"", ""babaabbaaa"", ""bbbb"", ""ba"", ""ababab"" ]  
negative example: [ ""abbb"", ""aabab"", ""bbaaa"", ""aaaaaabba"", ""abbaaaa"", ""bababaabab"" ]"
((a+)|(b*a*))*,"Positive example: ['a', 'aa', 'ba', 'bbaa', 'aaa', 'b', 'bb', 'ab', 'abab', 'baab', 'aaab', '']

Negative example: ['bbab', 'abba', 'aba', 'abb', 'babab', 'abbaaa', 'aabb', 'bba', 'ababbaa', 'aaabb']"
(a|(b*a(a)*))*,"Sure! Here are the examples:

Positive example: [ """", ""a"", ""aa"", ""ba"", ""baa"", ""bba"", ""bbaa"", ""bbaaa"", ""aaaa"", ""bbbaaa"" ]  
Negative example: [ ""b"", ""babab"", ""bbaab"", ""abb"", ""ab"", ""baaaaab"" ]  "
((a)*(b+aa+))+|[a]*,"Positive example: ['a', 'b', 'aa', 'aaa', 'bb', 'aab', 'aaaabaa', 'aabaa', 'ababaa', 'ab', 'aaab', '']
Negative example: ['ba', 'aba', 'bba', 'bbb', 'aabb', 'bab', 'bbaa', 'abba', 'aaabb', 'abbb']"
(0*(10*1)*0*10*)*|(11),"Positive example: [ """", ""11"", ""0"", ""10"", ""101"", ""110"", ""111"", ""010"", ""0010"", ""0101"", ""100"", ""101001"", ""1010"", ""010010"" ]  
Negative example: [ ""1"", ""111"", ""01"", ""011"", ""000"", ""0001"", ""1001"", ""1110"", ""1101"", ""0110"", ""00000"", ""10111"" ]"
(((a|b)a*(b|ba))*)?,"positive example: ["""", ""aba"", ""abab"", ""b"", ""aab"", ""bab"", ""bababa"", ""abababa"", ""abaaabab"", ""bababababa""],  
negative example: [""aa"", ""aaa"", ""ab"", ""bb"", ""baa"", ""bba"", ""a"", ""ababbb"", ""baabab"", ""bbb""]  "
(a|b)(a|b)*aa*,"Positive example: [aa, baa, aba, abaa, bbaa, aaaa, bbaaa]  
Negative example: [a, b, ba, abb, bab, bb, bbb]  "
(aa|bb|ab|ba)+(a*a+a+),"Positive example: [aaa, bbaaa, ababaaa, aaaa, bbaaabaa, abbaaa]  
Negative example: [aaab, aaba, bab, baa, bbaabab]"
(a|b)*(a|b)*(aaa)*,"Positive example: [ ""aaa"", ""a"", ""b"", ""ababaaa"", ""bababaaa"", ""aaaaaa"", ""baaabaaa"" ]  
Negative example: [ ""aa"", ""bbb"", ""abab"", ""abaa"", ""bbaab"", ""bbbbbbbb"" ]"
(a|b|baa+)+b,"Positive example: [ ""ab"", ""bb"", ""baab"", ""bab"", ""baaaab"", ""baaaabb"", ""abbb"" ]  
Negative example: [ ""a"", ""baa"", ""bbaa"", ""baaaa"", ""aaa"", ""bbbaa"", ""b"" ]"
(a*)+(a*|b+a+a)+(a*),"Positive example: [ ""aaa"", ""aaaaaa"", ""aaabba"", ""aaaaabaabaaa"", ""baaa"", ""aaaabaa"", ""baaaaa"", ""aaaaaabaaaa"", ""aaa"", ""a"" ]  
Negative example: [ ""b"", ""bb"", ""abba"", ""baaab"", ""bab"", ""abab"", ""bbbaaaa"", ""bbb"", ""ababaa"", ""bbaa"" ]  "
(ab(ab)*|ba(ab)*)*((a|b)(a|b))*,"Positive examples: [""ab"", ""ba"", ""abab"", ""baba"", ""ababa"", ""ababab"", ""baabab"", ""baababab"", ""abba"", ""bbaa"", ""ababaa"", ""babaaa"", ""aabbab"", ""ababbb""]

Negative examples: [""a"", ""b"", ""abbaab"", ""babba"", ""abbb"", ""baaa"", ""aaaa"", ""bbbb"", ""aba"", ""babbaab""]"
[ab]*(ab)[ab]*,"positive example: [ab, ababab, babab]  
negative example: [a, b, aa]"
(a|(b)*)*,"positive example: [a, b, aa, abba, bbaaa]
negative example: [c, acb, bbac, abbc, x]"
(a|b)*(b),"Positive example: [""b"", ""ab"", ""bb"", ""aab"", ""abab""]
Negative example: [""a"", ""aa"", ""aaa"", ""aba"", ""baaa""]"
(a*(ba*ba*)*ba*)*,"Positive example: [ """", ""a"", ""aa"", ""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""abba"", ""aabba"", ""baab"", ""baabba"", ""bbaba"", ""abab"", ""baa"", ""baababa"", ""aaa"" ]  
Negative example: [ ""bb"", ""bbb"", ""bba"", ""aabb"", ""baaa"", ""aaab"", ""babab"", ""abbaaa"", ""ababaa"", ""bbaa"", ""baabab"", ""babaa"", ""aabab"", ""bbbb"" ]  "
(a|b)*,"Positive example: [ ""a"", ""b"", ""aa"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""abab"", ""aaa"" ]  
Negative example: [ ""c"", ""ac"", ""bc"", ""abc"", ""cba"" ]  "
a*b|(a*ba*(bb)*a*)*,"Positive example: [ ""b"", ""ab"", ""aab"", ""aaab"", ""abab"", ""aba"", ""abba"", ""aaabba"", ""abbba"", ""aaabbba"" ]  
Negative example: [ ""a"", ""bb"", ""baa"", ""ababab"", ""abb"", ""aaabbab"", ""aaaaa"", ""bbaa"", ""bab"", ""abbbaa"" ]"
0*|1*|(0+1+)+0+|(1+0+)+1+,"Positive example: [ ""0"", ""1"", ""000"", ""111"", ""01"", ""10"", ""001"", ""110"", ""010"", ""101"", ""0010"", ""1101"" ]  
Negative example: [ ""00"", ""11"", ""0001"", ""1110"", ""0110"", ""1001"", ""0101"", ""1010"", ""00101"", ""11010"" ] "
