Attempt Regex,ChatGPT Output
(ab)+,"positive examples: [ ""ab"", ""abab"", ""ababab"", ""abababab"", ""ababababab"" ]

negative examples: [ ""a"", ""b"", ""aba"", ""ababa"", ""ba"", ""abb"", ""baba"" ]"
((a|b)*(ab|b)b+(a|b)*b(ba|b))*,"Positive examples:  
1. bba  
2. babbb  
3. ababbabb  
4. bbababb  
5. bbbbba  

Negative examples:  
1. baab  
2. aaabb  
3. abbab  
4. aabbb  
5. abababa"
0*0?|(0|1)11*,"Positive example: [ ""0"", ""00"", ""000"", ""011"", ""111"", ""1111"", ""01111"", ""1100"", ""1101"" ]

Negative example: [ ""10"", ""101"", ""100"", ""01"", ""001"", ""1011"", ""1000"", ""0001"" ]"
(a+(a*))|((a*)+(b*)),"Positive example: ['a', 'aa', 'aaa', 'ab', 'aaabbb', 'aaaabbbb']

Negative example: ['b', 'bb', 'ba', 'baab', 'bbaa', 'abab']"
(a+b+)|(b+a+)(aaa)+,"Positive example: ['abaaa', 'baaaa', 'abbaaa', 'baaaa', 'abaaaa']

Negative example: ['aab', 'bba', 'bbaa', 'abab', 'aaab']"
(ab)*(ba)*(ab+ba)*(ba)*(ab)*,"Positive examples: ['ab', 'abba', 'baba', 'abbaab', 'ababba']

Negative examples: ['aa', 'bba', 'abab', 'abababba', 'baab']"
(ab)*(ba)*(b)*(aaa+),"positive example: [aaaa, abaaa, ababaaa, ababaaaabaaa, baaabaa]

negative example: [abb, baaa, abaabaaa, aaabaaa, a]"
((a*)+b+(a*)+(bb*)+(a*)),"positive example: [ ""baabaabba"", ""abaaaabb"", ""abaaabbb"", ""aaabbaa"", ""bbaabbbaa"" ]

negative example: [ ""aaaaa"", ""bbbb"", ""bbbaaa"", ""ab"", ""aabbaaab"" ]"
a*|(bb)*|(ba*b)*ba*|(bb)*|(ba*b)*,"Here are the examples for the given regular expression:

positive example: [ """", ""a"", ""aaa"", ""bb"", ""bbbb"", ""ba"", ""babb"", ""baab"", ""baaaa"", ""baba"", ""babab"", ""baa"", ""bbbaa"", ""bb"", ""bba"", ""bbaa"" ]

negative example: [ ""ab"", ""aba"", ""bab"", ""aaaab"", ""abba"", ""baaaabb"", ""abbbb"", ""aaaabb"", ""abab"", ""aaabb"" ]"
(a|b)(aa)*(a|b)*,"Positive example: ['a', 'b', 'aaa', 'baa', 'aaab', 'baaa', 'aabaa']

Negative example: ['baab', 'babaa', 'aab', 'bb', 'abba', 'abbaa']"
0?0|111*,"positive example: [""00"", ""0"", ""111"", ""11111"", ""0"", ""00""]
negative example: [""01"", ""110"", ""10"", ""011"", ""1110"", ""001""]"
(a|b)(a|b)+(aaa)+,"Positive example: [baaabaaa, baaabaaaaaa, baaabaaaaaaa]  
Negative example: [baa, aaabaaa, abaaba, abaaaaaaa]"
(a)*(b)*|(b)*(a)*,"positive example: [ """", ""a"", ""b"", ""aa"", ""bb"", ""aaa"", ""bbb"", ""ab"", ""ba"" ]

negative example: [ ""abab"", ""baba"", ""aab"", ""bba"", ""aabb"", ""abba"" ]"
(ab)*(ba)*|abbba,"positive example: [ababa, abbba, abababa, abba, ababba]

negative example: [aba, abb, bab, ba, aa]"
(a|ab*b)*ba*,"Positive examples: [ ""a"", ""ab"", ""aa"", ""ababba"", ""abba"", ""ba"", ""aaa"", ""abab"", ""baba"" ]

Negative examples: [ ""b"", ""bba"", ""abb"", ""ababab"", ""bbb"", ""bab"", ""aab"", ""baab"", ""abbb"" ]"
(a|b)(a|bb)*,"positive example: [ ""a"", ""b"", ""aa"", ""abb"", ""aba"", ""abbaa"", ""bab"", ""babb"", ""bbbb"", ""ba"" ]

negative example: [ ""bb"", ""bba"", ""abba"", ""babba"", ""bbba"", ""babab"", ""bbaabba"", ""abaaba"", ""bbaa"", ""abab"" ]"
(bb*)*,"Positive example: ["""" ,""b"", ""bb"", ""bbb"", ""bbbb"", ""bbbbbb""]

Negative example: [""a"", ""ab"", ""ba"", ""bba"", ""bab""]"
b*|(a*b*),"Positive example: ['b', 'bb', 'a', 'ab', 'abb', 'aab', 'aabb', '']

Negative example: ['ba', 'bab', 'baab', 'baa', 'aa', 'aba']"
a*b(a*ab*b)*a*,"Positive example: [ ""ab"", ""aabb"", ""aaabbb"", ""abaabb"", ""aaaabbaa"", ""aababba"", ""abab"", ""aaabab"", ""abb"", ""aabaa"" ]

Negative example: [ ""ba"", ""bbaa"", ""abbba"", ""abaab"", ""aaabbab"", ""aababa"", ""bab"", ""baab"", ""bbb"", ""abbaa"" ]"
a*b(a|b){2},"positive example: [ ""abbb"", ""aabbb"", ""aaabbb"", ""ababa"", ""aabab"", ""abbaa"" ]

negative example: [ ""aaa"", ""bbba"", ""ba"", ""abab"", ""abbbbb"", ""aabaa"" ]"
(a|b)*b(aa*)b,"positive example: [‚Äúbbaab‚Ä? ‚Äúbaab‚Ä? ‚Äúabbaab‚Ä? ‚Äúbaaab‚Ä? ‚Äúbbaaab‚Äù]  
negative example: [‚Äúbaa‚Ä? ‚Äúabab‚Ä? ‚Äúab‚Ä? ‚Äúbb‚Ä? ‚Äúbaaa‚Äù]"
a*(bb)*(a+b)*,"Positive example: ['a', 'bb', 'abba', 'abbbbb', 'aaabbba', 'bbab', 'bbbb']

Negative example: ['aab', 'baba', 'ba', 'ab', 'bbaa', 'aabba']"
a*b(bb)*(a+b(bb)*)*a*,"Positive example: [ ""b"", ""abbba"", ""abbbba"", ""abbbabba"", ""aabb"", ""bbbbba"" ]

Negative example: [ ""aa"", ""ba"", ""bab"", ""bbab"", ""abbb"", ""babba"" ]"
a|b+a|b+a{3}a*,"Positive example: [ ""aaa"", ""baaa"", ""bbaaa"", ""aaaa"", ""baa"", ""bbaaa"", ""bbaaaa"" ]

Negative example: [ ""aba"", ""baba"", ""babaa"", ""abb"", ""bbb"", ""b"", ""a"" ]"
0*|1*|((01+0)*(10+1)*)*,"positive example: ['', '0', '00', '1', '11', '01010', '101', '010010', '110', '0110101'], negative example: ['001', '1010', '011', '100', '010011', '1100', '1011', '01010101', '10010', '1110']"
a*|b*|(ba)*,"Positive example: ['a', 'aa', 'aaa', 'b', 'bb', 'bbb', 'ba', 'baba', 'baba']

Negative example: ['ab', 'aab', 'abb', 'abab', 'bab', 'babbb']"
((b)(a)(a)*(a*))*,"positive example: [ """", ""ba"", ""baaa"", ""bababaa"", ""babaabaaa"", ""baabaabaaa"" ]

negative example: [ ""a"", ""b"", ""abaa"", ""bbb"", ""aabba"", ""babaaab"" ]"
((a*)(b*)(a+))|((a+)(b*)(a*)),"positive example: [ ""aaa"", ""abba"", ""aaab"", ""aaaabb"", ""bbbaaa"", ""aa"", ""abaaa"", ""ab"", ""baa"" ],  
negative example: [ ""bbb"", ""b"", ""abbbb"", ""bbbbbb"", ""bba"", ""abbaaa"", ""ba"", ""aaaabbb"" ]"
(a|b)*baaa*,"Positive example: ['baaa', 'abaaa', 'bbaaa', 'aabaaa', 'bbbaaa']
Negative example: ['aaa', 'abc', 'babab', 'ba', 'bbbbaa']"
((0+1+0)|(1+0+1))*,"Positive examples: [ """", ""010"", ""101"", ""010010"", ""101101"", ""101010"" ]

Negative examples: [ ""00"", ""11"", ""001"", ""110"", ""1010"", ""0101"" ]"
(((a|ba*b)*a)*)?,"positive example: ["""", ""a"", ""aa"", ""ba"", ""baa"", ""bba"", ""aba"", ""ababaa"", ""bbbbba"", ""baabba"", ""aaaba""],

negative example: [""b"", ""bb"", ""ab"", ""bbab"", ""abab"", ""bbaa"", ""aab"", ""baaa"", ""baab"", ""babaa""]"
(a*b{1})?((a*b{2})*(b{1}a*b{1})*)*,"Positive example: [b, bb, abb, bba, abbbba, ababa, bbbbb, a, aa, aaa, babb]

Negative example: [bbb, aba, bbba, bab, baaa, babba, ab, abbba, bbaa, baa]"
a|ba*b*(baa)b,"Positive example: ['a', 'b', 'baa', 'bbaab', 'baabbaa', 'baaa', 'baaaa', 'bbaaabbaa']
Negative example: ['b', 'bb', 'bab', 'ba', 'baabb', 'bbba', 'bbab', 'babaa']"
(a|(ba*b)*b(a|(ba*b))),"Positive example: ['a', 'babab', 'bbba', 'baab', 'bbbbba', 'baabaab', 'bbbaabab']

Negative example: ['b', 'ab', 'ba', 'aaa', 'abb', 'bb', 'baa', 'bbb']"
0*0*|1*0*,"positive example: ["""", ""0"", ""00"", ""10"", ""100"", ""1110"", ""000"", ""1010"", ""1100""], negative example: [""1"", ""11"", ""01"", ""111"", ""1011"", ""1101"", ""1111""]"
(0*10*10*10*)*,"Positive example: ['111', '010', '00100', '1001', '000110000', '1010', '0', '']

Negative example: ['110', '00001', '10101', '0110', '000', '1110', '00010', '1111']"
a*(bb)*b*a*,"Positive example: [‚Äúbb‚Ä? ‚Äúabba‚Ä? ‚Äúbbaaa‚Ä? ‚Äúaabb‚Ä? ‚Äúbbbb‚Ä? ‚Äúababb‚Äù]

Negative example: [‚Äúb‚Ä? ‚Äúaa‚Ä? ‚Äúaba‚Ä? ‚Äúbab‚Ä? ‚Äúaab‚Ä? ‚Äúabbba‚Äù]"
0*,"positive example:[0, 00, 000]
negative example:[01, 10, 001]"
(bb|a)*b*,"positive example:[bb, aab, bbabb]
negative example:[abbba, aba, baa]"
a|(b|aa*),"positive example: [ ""a"", ""b"", ""aa"", ""aaa"" ]

negative example: [ ""ab"", ""ba"", ""c"", ""aaaaa"" ]"
(a+b)*(bb)*(a+b)*,"positive example: [ab, bbbba, abbabb, aaabbabbbba, bbbbaa]

negative example: [aba, bbba, aababb, aabbba, ababb]"
0*1+0*1*0*,"Positive example: [ ""101"", ""0101"", ""0110"", ""110"", ""1110"", ""111"", ""100"" ]

Negative example: [ ""00"", ""11110"", ""000"", ""10100"", ""0100"", ""1001"", ""1"" ]"
((aa)*[b](bb)*)?,"positive example:[b, aab, aaabbbb, aabbb]
negative example:[a, bb, aabb, abab]"
(ab)*|(aa|ab|bb)*,"positive example: [ab, abab, aa, abbb, aabbaa, ababab, aabbbb, bb, bbaaab]

negative example: [aba, baa, abaa, b, aabbab, bab, a, abba, ba]"
((a)*(b+aa)+)+|[a]*,"positive example: [aa, aaa, aaab, b, aaabaaa, abaaab, a]

negative example: [abbb, aabaa, baaa, abb, abba]"
(a)*b*(b+bb)*b*(a)*,"Positive example: ['b', 'bb', 'ab', 'baa', 'abbbba', 'ababba', 'bbbaaa', 'abbbbba']

Negative example: ['aa', 'bab', 'abba', 'aaaa', 'bbbaa', 'baab', 'bbabb']"
b(b)*|(b)*b,"positive example: [b, bb, bbb, bbbb, bbbbb]
negative example: [bbbbbb, bbbbbb, bbabb, ababab]"
a*ba*(bb)*a*b*,"Positive examples: [ ""ab"", ""aab"", ""ba"", ""bbaabb"", ""abb"", ""abaaabb"", ""abba"", ""abbaab"", ""aaaaab"", ""aabbba"" ]

Negative examples: [ ""aa"", ""b"", ""bbb"", ""bab"", ""abbaabbb"", ""abbaabb"", ""aba"", ""baabab"", ""aaaba"", ""bbba"" ]"
(ab+ba)(ab+ba)*(aa+bb+ab+ba)*,"positive example: [abba, abbaa, abbaba, abbabbaa, abbaaa]
negative example: [abb, aaab, bbaa, aababaab, babb]"
a|(a+b)|a(a+b)*,"Positive example: [ ""a"", ""ab"", ""aa"", ""aab"", ""aaa"", ""aabb"", ""aaaab"" ]

Negative example: [ ""b"", ""aba"", ""bba"", ""abb"", ""ba"", ""babab"", ""bab""]"
a*b*a*,"positive examples: [aa, bb, abba, aabaaa, b]
negative examples: [aba, baa, bba, aaaab, bab]"
(a?)|(((a|b)a*b)|((a|b)a*ba)*),"Positive examples: ['a', '', 'b', 'ab', 'aa', 'ba', 'aba', 'aab', 'baab', 'abab']

Negative examples: ['bb', 'aaa', 'bba', 'baba', 'abb', 'aaaa', 'babaa', 'bbbb', 'abbab', 'baaa']"
(1+0*1+)|(0+1*0+)|1*|0*,"positive example:[110111,00100,111111,000000],
negative example:[1010,1011,010,11000]"
(a|b)*aba(a|b)*,"positive example: [aba, aaba, ababa, bababa, abab, baaba]  
negative example: [aa, bb, abab, baa, abbaa, ab]"
((a)*|(b))(a)(a)*,"positive example: [aa, baa, aaaa, baaa, baaaa]
negative example: [b, bb, ab, aba, bab]"
(a)*b*(ba+ab+b)*b*(a)*,"Positive examples: [ ""ab"", ""ba"", ""b"", ""aba"", ""bba"", ""babab"", ""abbab"", ""bbaaa"", ""aabbbaa"" ]

Negative examples: [ ""aa"", ""bbbbbaaa"", ""abba"", ""aaaaa"", ""bbbab"", ""babaaa"", ""aabb"", ""bbb"" ]"
b*b,"positive example: [b, bb, bbb, bbbbb, bbbbbbb]
negative example: [bbbab, abbb, a, ba, aa]"
b*bb*,"positive example: [ ""bb"", ""bbb"", ""bbbb"", ""bbbbbb"", ""bbbbb"" ], negative example: [ ""b"", ""bbbbab"", ""abbb"", ""bbab"", ""a"" ]"
a*|b(ab*ab*)*,"positive example: [ """", ""a"", ""aaaa"", ""b"", ""bab"", ""bababab"", ""baaaabab"", ""baaabaaaaabbb"", ""baaabaaaab"", ""baabaaaab"" ]
negative example: [ ""c"", ""ab"", ""bb"", ""baabb"", ""baaa"", ""bba"", ""abaa"", ""babababa"", ""baababab"", ""baaabb"" ]"
aa+ba,"Positive example: ['aaba', 'aaaba', 'aaaaba']  
Negative example: ['aba', 'ab', 'aa']"
((0*1+0*1*)+)+,"positive example: [ ""1"", ""1001"", ""111"", ""001100"", ""110011"" ], negative example: [ ""0"", ""10"", ""11000"", ""01110"", ""000"" ]"
(a*(baa*)),"Positive example: [ba, baa, baaa, aabaa, aaabaa]

Negative example: [b, aaab, abaa, aabaaab, aabaaa]"
((aa)*|(bb)*)(aa|bb)*,"positive example: [ ""aa"", ""bb"", ""aaaa"", ""bbbb"", ""aabb"", ""bbaa"", ""aaababbaa"", ""bbaaaabb"", ""aaaabb"", ""bbabba"" ]

negative example: [ ""abab"", ""ba"", ""ab"", ""baa"", ""abb"", ""abbb"", ""bbaaabb"", ""aabbb"", ""aaab"", ""babab"" ]"
(0)*(111)*(1)*(0)*,"Positive example: [111, 0111, 11110, 011110, 1110, 0]

Negative example: [100, 1101, 11111, 101, 01, 00110]"
a*b*aaa*,"positive example: [aaa, aaab, abaaa, aaabbaa, aabbaa]

negative example: [baaa, abb, abbb, baa, bbba]"
(((01)0*(10))*|(0*1*0*)),"positive example: [ ""01"", ""10"", ""0"", ""1"", ""01010"", ""01110"", ""0010"", ""111"", ""000"", ""0011100"" ]

negative example: [ ""11"", ""1001"", ""1010"", ""0100"", ""110"", ""101"", ""1110"", ""01101"", ""10001"" ]"
(a*ba*(bb)*a*)|(a*bba*(b)*a*)*,"positive example: [ ""a"", ""b"", ""bb"", ""ab"", ""ba"", ""abb"", ""bab"", ""bba"", ""aab"", ""bbbaa"", ""abbaa"", ""aabba"", ""abbb"", ""bbab"", ""aaabb"", ""abbbb"", ""abbba"" ]

negative example: [ ""aaa"", ""bbb"", ""aabb"", ""abba"", ""bbaa"", ""abab"", ""baba"", ""aaab"", ""baaa"", ""baab"", ""babba"", ""abbaaa"", ""bbaabb"", ""babaab"" ]"
((a|b)(a*)b)*|((a|b)(a*)ba*),"positive example: ["""" , ""abb"", ""a"", ""ba"", ""ab"", ""aabb"", ""abab"", ""baaa"", ""bab"", ""aba"", ""abba"", ""ababaa""]
negative example: [""aa"", ""baba"", ""bb"", ""b"", ""baab"", ""bba"", ""babab"", ""aaabb"", ""ababa"", ""bbb""]"
(a)*|(b)(a)(a)*,"positive example: ['a', '', 'b', 'ba', 'baa', 'aaaa', 'baaa']  
negative example: ['bba', 'ab', 'bb', 'aba', 'aab']"
(b*b)|(a*),"Positive example: ['b', 'bb', '', 'a', 'aa', 'aaa', 'bbbb']
Negative example: ['ab', 'ba', 'abab', 'bba', 'aaab', 'aab']"
0*1(0*1+0*)*,"positive example: [ ""1"", ""01"", ""001"", ""110"", ""101"", ""0101"", ""1001"", ""1110"", ""10101"" ]  
negative example: [ """", ""0"", ""00"", ""10"", ""111"", ""1010"", ""0010"", ""000"", ""1100"" ]"
a*(b+a)*(bb+bbb)*(b+a)*,"Positive example: ["""" , ""a"", ""b"", ""ab"", ""bb"", ""aaa"", ""aba"", ""bbb"", ""abb"", ""abababb"", ""bbba"", ""bbbbb""]

Negative example: [""aaab"", ""aabbaa"", ""baaba"", ""aabba"", ""babbb"", ""bbabab"", ""bbbbaa"", ""bbaaa""]"
((ab|ba)+(aa|bb|ba|ab)*),"positive example: [ ""abab"", ""baab"", ""abba"", ""baba"", ""ababaa"", ""baabab"", ""ababbb"", ""baabaa"", ""abbaab"" ]

negative example: [ ""a"", ""b"", ""aaaa"", ""bbbb"", ""abababab"", ""bab"", ""aabb"", ""bbaa"", ""ab"", ""ba"" ]"
(a|b)*b*b|bb*(a|b)*,"Positive example: [ ""ab"", ""bb"", ""b"", ""aaaab"", ""ababab"", ""bbbb"", ""bbaaa"", ""baaa"", ""bbabab"", ""bbba"" ]

Negative example: [ ""a"", ""aa"", ""aaaa"", ""abba"", ""aba"", ""ba"", ""aaa"", ""babab"", ""aab"", ""baab"" ]"
(1+0*(10+)*1+)*|((0+1)*0)*,"Positive example: [ ""111"", ""1011"", ""100101"", ""010"", ""001110"", ""0"", ""000"", ""1101"", ""11111"", ""001"" ]

Negative example: [ ""11001"", ""00111"", ""10010"", ""0101"", ""0110"", ""1010101"", ""110110"", ""1010"", ""1110"", ""0010"" ]"
(a+b|b)*,"Positive examples: ['ab', 'ba', 'abab', 'baba', 'a', 'b', '']

Negative examples: ['aa', 'bb', 'abb', 'baa', 'aaa', 'bbb']"
(0|1)*1,"positive example: [1, 01, 101, 111, 1101]  
negative example: [0, 00, 10, 000, 0110]"
b*(ba+ab)*b*(a)*,"Positive examples: [ ""b"", ""ba"", ""ab"", ""bbaaabbb"", ""babab"", ""bbbab"", ""baa"", ""bbbaaa"", ""abaaaa""]

Negative examples: [""bbabba"", ""abbab"", ""baaab"", ""bbaab"", ""aa"", ""aaab"", ""ababaa"", ""abbaa"", ""baabb""]"
(b*a+)*,"positive example: [ ""a"", ""aa"", ""ba"", ""baa"", ""bba"", ""bbba"", ""aba"", ""aaa"" ]  
negative example: [ ""b"", ""ab"", ""abb"", ""bbaa"", ""bab"", ""baba"" ]"
b*a(b*ab*a)*b*,"Positive example: ['b', 'aba', 'bab', 'abab', 'baab', 'babab', 'ababab', 'baa', 'bbaab', 'abababa']
Negative example: ['a', 'ab', 'aab', 'aa', 'bbaba', 'abbb', 'abb', 'baaba', 'aabab', 'bba']"
a*|a*b*aa,"positive example: ['', 'a', 'aaaa', 'b', 'aa', 'aabbaa', 'aaaaaa', 'aabaa', 'abbaa'], negative example: ['ab', 'ba', 'bb', 'bbaaa', 'aabb', 'abb', 'abab', 'bbaa', 'baa']"
a*b(ab*b|a)*,"positive example: [ab, aab, ababab, aaabbab, aababb, aba, aaaba]

negative example: [b, ba, ababbb, bba, aabaab, abbba, aa]

"
((1?|11?)|111?)|0*,"positive example: [ ""0"", ""1"", ""00"", ""11"", ""10"", ""111"", ""0000"" ], negative example: [ ""101"", ""110"", ""1111"", ""0010"", ""1001"" ]"
(a|b{2})+a{3}a*,"Positive examples: ['aaaa', 'aaaabbbbaaa', 'baaaaa', 'bbaaaaa', 'aabbbaaa', 'bbbaaabbbbbbaaa']

Negative examples: ['aa', 'b', 'ab', 'bba', 'abab', 'bbbaa', 'abb']"
0*|1*|((0+1+0+)*(1+0+1+)*)*,"Positive example: ['0', '1', '01', '10', '001', '1100', '010', '101', '000', '111', '0', '1', '1110', '0001', '01010']

Negative example: ['0110', '1001', '00101', '110011', '1010', '01110', '100110', '01001', '1100', '10101']"
a|b(ab|aa|ba|bb)*(aaa)*,"Positive example: ['a', 'aaa', 'bbaaabaaa', 'bababaa', 'bbaaaa', 'baaaa', 'bbaababaaa']

Negative example: ['b', 'ab', 'bba', 'aaabaa', 'babab', 'abba', 'babb']"
(a)*b(a*b+a*b+)*,"positive example: ['b', 'ab', 'aab', 'abab', 'aabab', 'abaaab', 'aaabab', 'aaababaaab']

negative example: ['a', 'ba', 'aba', 'aaba', 'bbb', 'abba', 'aaaabaa']"
(b|a)*baaa*,"Positive example: [baaa, abaaa, bbaaa, abaa, bbaa]

Negative example: [ab, baa, abbb, aa, bba]"
0*11*,"positive example: [011, 0111, 0011, 111, 1111, 01111]  
negative example: [0, 1, 00, 10, 101, 100, 000]"
a|b+(a|b)+aaa,"Positive examples: ['abaaaa', 'bbabaaa', 'bbaaa', 'babaaa']

Negative examples: ['aaa', 'ba', 'bb', 'bba']"
a(a|b)(a+b)*,"positive example: [aaa, aab, aabaa, abaa, aabab, aa, ab]
negative example: [a, aba, abb, bb, ba, bba, bab]"
(b(aa)*(bb)*)*,"Positive examples: ['b', 'baabb', 'baa', 'bb', 'baabbaabb', 'bbaa']

Negative examples: ['a', 'ab', 'abab', 'aabb', 'aaa', 'bab', 'baba']"
(a*b*aa+),"Positive example: [aa, aaaa, baaa, aabaa, abbaaa, aabaaa]

Negative example: [a, b, ab, bab, abaa, bba]"
(a+b)*aaa|(b+a)*aaa,"Positive example: ['aaa', 'baaa', 'abaa', 'bbaaa', 'abaaa', 'aabaaa']
Negative example: ['aa', 'aab', 'bbaa', 'abab', 'ba', 'bbba']"
(a*)|(a*baa*)|(baa*)*,"Positive examples: ['a', '', 'aa', 'baa', 'baaa', 'aabaa', 'baabaa', 'ba']

Negative examples: ['b', 'ab', 'abab', 'aba', 'bb', 'aba', 'abaaa']"
((aa)*|(bb)*)((aa)*|(bb)*)*,"Positive example: ['aaaa', 'bbbb', 'aabb', 'bbaa', 'abababab', 'aa', 'bb', '', 'aaaaaabb', 'bbbbbbaa']

Negative example: ['abab', 'baba', 'baab', 'abba', 'aabaa', 'aabbabaa', 'abababababa', 'abbab', 'ba']"
a*|(?:a*|(b[a]{2}))*,"Positive example: ['a', '', 'baa', 'aaaa', 'baabaa', 'aabaa']
Negative example: ['b', 'abab', 'ba', 'ab', 'abba']"
(0+1)*(1+1)*,"Positive example: [000111, 011, 01, 1111, 0000001]
Negative example: [110, 00211, 1110, 00012, 101]"
a|b*(b(bb)*)a*,"positive example:[a, ba, bba, bbba, abbb, bbbabaa]
negative example:[b, bb, bbbb, aa, bab, ab]"
