Attempt Regex,ChatGPT Output
a*b*(baa+)b+,"Positive example: [baab, baaab, bbaaabbb, aaaabbaaabbb]  
Negative example: [bab, baaa, baabbaa, baaabb, baaaabbbb]  "
(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"Positive example: [bb, aababaa, aaabbbb, ababbb, ababb, aabaab, baaabb, aaabaaabbb, abaaabb]
Negative example: [bab, abba, baa, bbaa, aaaab, abbbbb, baabaab, aaababa, bbab]"
(0*|101)+,"positive example:[0, 00, 101, 0, 0, 0, 101, 0, 101]
negative example:[011, 1001, 1011, 00, 1010]"
(0*10*10*)11(0*10*10*),"positive example: [01110, 1011011, 1100110011]  
negative example: [011011, 11011011, 11100011]  "
(b?aaa*)*,"Positive example: [ """", ""a"", ""aa"", ""aaa"", ""ba"", ""baa"", ""baaa"", ""aaaa"", ""bbaaa"" ]  
Negative example: [ ""b"", ""ab"", ""bb"", ""abab"", ""baab"", ""bbaa"" ]"
(a)*b((a)|(bb))*,"Positive example: [`b`, `ab`, `bb`, `aaaab`, `abb`, `bba`, `bbaa`, `babab`, `abbbba`, `aabba`]

Negative example: [`a`, `ba`, `aaa`, `bababab`, `bababbb`, `bbb`, `abba`, `bbba`, `abaa`, `bbbb`]"
(a)*(b)(a|bb)*,"```plaintext
positive example: [b, ab, baa, abba, aaaab, ba, aab, abb, babb]
negative example: [a, aba, bb, bab, aaabb, bbbb, aaaabb, bbabba, abbab]
```"
a(a|b)a(a*|b*),"positive example: [aaaa, aabaaaa, ababbb, aabaa]  
negative example: [aaa, baaa, abaa, aabba]  "
(1*)|(0*)|(1+0+1+((1+0+1)|(01))*)|(0+1+0+((0+1+0)|(10))*),"Positive example: ['1', '11', '111', '0', '00', '000', '101', '101101', '010', '010010']
Negative example: ['11a', '0b0', '120', '1010', '010101', '01101', '1001']"
0*|(10*1)*|0*,"Positive example: [ ""0"", ""00"", ""000"", """", ""101"", ""10101"", ""101001"", ""10"", ""1001"", ""000"", ""10101"" ]

Negative example: [ ""11"", ""011"", ""100"", ""110"", ""111"", ""1010"", ""01010"" ]"
a*(a|bb)*ba*(a|bb)*,"Positive example: [ ""abba"", ""abbbba"", ""aaaabbaaa"", ""baba"", ""aabbaa"" ]  
Negative example: [ ""bb"", ""aaaab"", ""abb"", ""aabaaabbba"", ""bab"" ]"
(bb|a)*,"Positive example: [ ""bb"", ""a"", ""bba"", ""aabb"", ""bbbbbb"", ""aa"", ""abba"", ""aaaa"" ]  
Negative example: [ ""b"", ""ab"", ""ba"", ""bbb"", ""abab"", ""aaaabb"", ""babab"" ]"
[b]{1}([b]{2})*,"positive example:[b, bbb, bbbbbb, bbbbbbbbbb]  
negative example:[bb, bbbbb, bbbbbbb, bbbbbbbb]"
(aa+)*b*,"Positive example: [aab, aaaab, b, aa, aaaa, aaaaab, bbbb]  
Negative example: [ab, aaabb, ba, a, bbba]"
(0*10*10*)(0*10*10*),"positive example: [1010, 10010, 101010]  
negative example: [100110, 1110, 11010]  "
((a|b)(a*b)a)*((a|b)(a*b)),"positive example: [ ""aba"", ""bba"", ""ababba"", ""bbba"", ""abababa"", ""bababba"", ""aa"", ""abaa"" ]  
negative example: [ ""ab"", ""b"", ""a"", ""babab"", ""baa"", ""abba"", ""bbbb"" ]"
(a|b)+(a|b)+(ab*)+a+a+a,"positive example: [aaaaaa, abaaba, bbaabaaaaa, aabaaa]

negative example: [aaaaa, abaabab, bbbabaaa, aaabaaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010),"Positive examples: [  
""1"", ""111"", ""11111"", ""10"", ""1110"", ""01"", ""100"", ""001"", ""010"", ""1011"", ""1000"", ""1101"", ""0001"", ""0010"", ""0111"", ""0100"", ""10101"", ""10110"", ""10011"", ""10000"", ""11001"", ""11010"", ""11100"", ""00001"", ""00010"", ""00111"", ""00100"", ""01101"", ""01110"", ""01011"", ""01000"", ""101001"", ""101010"", ""101111"", ""101100"", ""100101"", ""100110"", ""100011"", ""100000"", ""110001"", ""110010"", ""110111"", ""110100"", ""111011"", ""111000"", ""111101"", ""111110"", ""000001"", ""000010"", ""000111"", ""000100"", ""001101"", ""001110"", ""001011"", ""001000"", ""011001"", ""011010"", ""011111"", ""011100"", ""010101"", ""010110"", ""010011"", ""010000"", ""101001"", ""1010001"", ""1010010""  
]

Negative examples: [  
"""", ""00"", ""11"", ""1110"", ""110"", ""101101"", ""101"", ""110011"", ""1011111"", ""00011"", ""111111"", ""1010101"", ""1001110"", ""0100101"", ""1101010"", ""1110100"", ""0000001"", ""1011110"", ""01010111"", ""00111001"", ""0001101"", ""1110101"", ""1001100"", ""10111000"", ""10110101"", ""0000000"", ""1100001"", ""01100111"", ""01010110"", ""01001000"", ""01101001""  
]"
(a|bb)*a*b,"positive example: [ab, bbb, abaab, bbbaab, aab, bbab]  
negative example: [aa, bbba, abbba, ba, bbbab]  "
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)|(1001111)|(1001100),"positive example:[111, 1010, 1101, 00111, 101010, 111101, 011100]
negative example:[0110, 11011, 1001, 001001, 10111, 010010, 111111]"
(a+(bb))*a*(a+(bb))*,"Positive example:  
[""a"", ""aa"", ""bb"", ""abb"", ""aabb"", ""aaa"", ""aabbb"", ""bbba"", ""aabbba"", ""abbaabb"", ""aaaaaaa""]  

Negative example:  
[""b"", ""ab"", ""ba"", ""abab"", ""baba"", ""bbbba"", ""aab"", ""bbaa"", ""babba"", ""aabba"", ""bbbbb""]  "
((aa|bb|ab|ba)+aaa),"positive example: [aaabaaa, bbbaaa, ababaaa, babaabaabbabaaa, aababaaa]  
negative example: [aaa, aaabba, bbaaaab, abababab, babaabaabbab]  "
(11)*|0*(11)*|(11)*0*|0*|(10*1)*,"Positive example: [11, 0, 00, 1111, 011, 110, 01011, 10, 101, 1001, 111011, 00, 00011, 1010110]
Negative example: [01, 1, 100, 1100, 10011, 1010, 1110, 00010, 0110, 101001, 00110]"
((a|b)(a|b))+(aaa)+,"positive example:[""bbaaabaaa"", ""aababaaa"", ""ababaaa""],negative example:[""baaa"", ""aaa"", ""babab""]"
(a)*(b*bbb*)*(a)*(b*bbb*)*,"positive example: [aaabbbba, bbaaaaaa, aaabbaaabbb]
negative example: [abbaabbbb, abbaaaa, aaaabbbb]"
(0*(11)*0*0*)*,"positive example:['', '0', '11', '00', '000', '0110', '001100', '1100', '000110000', '11110000'],  
negative example:['1', '10', '01', '111', '101', '1001', '11010', '00001', '11001', '001101']"
(baa)(baa)*(b),"positive example: [baab, baabaab, baabaab, baabaabbaab, baabb]  
negative example: [baa, baaa, b, baaaab, baabba]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000]

negative example: [0, 11, 101, 1111, 110, 000, 1010, 011, 1001, 0101, 0000, 111000, 101101, 110110, 01010, 10010, 111111, 001001, 000011, 001100, 011011, 010100]"
0*|1|1+(0|1)+1|0+(0|1)0+,"Positive example: [ ""0"", ""00"", ""1"", ""1001"", ""11111101"", ""01"", ""1111111"", ""0000"", ""000000100000"", ""01"" ]  
Negative example: [ ""11"", ""10"", ""110"", ""001"", ""1010"", ""0001"", ""1110"", ""00010"", ""111"", ""0001001"" ]"
(a)*(bb+ab+b)*(bb+ba+a)*(bb)*,"Positive example: [ ""bbbb"", ""ababbbbb"", ""aaaaabbbbb"", ""ababbabbabb"", ""bbbaabbbbbb"" ]  
Negative example: [ ""bbaba"", ""aaabb"", ""abbbba"", ""bbbbab"", ""bbbbaa"" ]"
(0|1)(0|1),"positive example: [00, 01, 10, 11]  
negative example: [0, 1, 000, 111, 101, 0101]"
(b*(aaa*)b*)*,"positive example: [ """", ""aaa"", ""b"", ""bab"", ""baaab"", ""aaabbaa"", ""bbaaaabb"", ""bbaabbbaaaabbb"" ]  
negative example: [ ""aaaa"", ""ab"", ""babab"", ""bbab"", ""abba"", ""aaabbaaa"", ""bbaaaaaabbb"" ]"
(ab)*(ba)*|(ba)*(ab)*,"Positive example: [ab, ba, abab, baba, abba, baab, ababab, bababa]  
Negative example: [a, b, aba, bab, abb, baa, abbb, baaa]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011]

Negative example: [0, 11, 1111, 1001, 1100, 000, 1010, 10001, 11110, 00000, 101000, 100001, 111111, 00101, 01010, 101101, 00011, 01100, 01010, 11101, 100010, 00010, 1111111, 010001, 100100, 011111, 1011011]"
"a?ba{2,}","Positive example: [baa, baaa, baaaa, abaa, abaaa, abaaaa]  
Negative example: [ba, aba, abab, b, aa, ab]  "
a*b*baaa*bb*(a*bb*)*,"positive example: [baaabb, aabaaaabb, bbaaabbbbb, aaaabbbaabbbb, abaaaabbbbbbb]  
negative example: [baabab, aabaaabb, bbaababbbb, aaabbabbbbb, abaaababbbbbb]  "
[ab][ab][ab][ab]*aaa,"positive example: [aaaaa, babaabaabaaa, abaaa]  
negative example: [babaabaab, aaab, bbb]  "
1(1|0)*1|0(1|0)*0,"Positive example: [ ""11"", ""101"", ""11011"", ""00"", ""010"", ""000"" ]  
Negative example: [ ""1"", ""10"", ""01"", ""111"", ""001"", ""0001"" ]  "
(0*10*1)*|0*,"Positive example: [ ""0"", ""00"", ""01"", ""001"", ""10"", ""0101"", ""000"", ""0001"", ""000000"", ""101010"", """" ]  
Negative example: [ ""11"", ""110"", ""1001"", ""010"", ""111"", ""101"", ""1101"", ""00101"", ""0100"", ""100"" ]  "
0+|1+|0+(1+0+)+|1+(0+1+)+,"positive example: [ ""0"", ""1"", ""000"", ""111"", ""010"", ""101"", ""001100"", ""110011"", ""000111000"", ""111000111"" ],  
negative example: [ ""01"", ""10"", ""0001"", ""1110"", ""0010"", ""110"", ""000011"", ""111100"", ""0110"", ""1001"" ]"
(b(aa)+a*)*,"Positive examples:  
["""", ""b"", ""baaa"", ""baa"", ""baaaaa"", ""baaabaa"", ""baaabaaa"", ""bbaa"", ""baaabaaabaa""]  

Negative examples:  
[""a"", ""bb"", ""abab"", ""ba"", ""baba"", ""bababaa"", ""babaa"", ""baaaabab"", ""abaaa"", ""bbaaab""]  "
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010]  
Negative example: [11, 101, 00, 111111, 1010, 1100, 0000, 1001, 011, 0100, 1111111, 000, 10101, 0101]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001),"```plaintext
positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001]
negative example: [0, 11, 110, 101, 000, 1111, 1001, 0011, 0101, 0000, 111111, 10001, 11011, 10110, 00101, 01111, 01010, 11000, 00011, 11101, 101101, 100001, 011011, 010010]
```"
(b|a)(baa)+b,"positive example: [""bbaabab"", ""abaaab"", ""bbaaab"", ""abaaaab""]  
negative example: [""baaab"", ""ab"", ""bb"", ""abab""]"
0(0|0)*0,"positive example: [00, 000, 0000, 00000, 000000]  
negative example: [0, 0000000, 00000000, 001, 100]  "
(aa|ab|bb|ab)(a*|b*)aaaa*,"Positive example: [aaaaaaa, abaabaaaa, bbaaaaaaa, abaabbaaaaaaa, aaaabaaaa]  
Negative example: [ababaaaa, abababaaaa, bbabaa, aaabbbaaaaa, baaabaaaa]  "
(01)*0,"Positive example: [ ""0"", ""010"", ""01010"", ""0101010"" ]  
Negative example: [ ""01"", ""0101"", ""010010"", ""1010"" ]  "
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011),"Positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011]  
Negative example: [11, 000, 110, 101, 1111, 0000, 1000, 0011, 0101, 111111]"
(0(1*0*)*0)|(1(1*0*)*1),"Positive example: [00, 010, 110, 101, 1101, 1001, 0110, 01010]  
Negative example: [0, 1, 011, 100, 1010, 001, 010101]"
a*b(a*(ba*b)*(bb)a*)*,"Positive example: [ ""b"", ""ab"", ""abb"", ""aab"", ""aabb"", ""baabb"", ""baba"", ""abab"", ""bb"", ""babbb"" ]  
Negative example: [ ""a"", ""ba"", ""aaa"", ""bba"", ""abaa"", ""bbbab"", ""babbba"", ""babab"", ""ababab"", ""aaabb"" ]  "
0*(10*1)*,"positive example: [ """", ""11"", ""101"", ""1101"", ""1001"", ""10101"", ""101101"", ""100101"", ""111011"", ""101011"" ]  
negative example: [ ""0"", ""01"", ""111"", ""100"", ""10110"", ""110"", ""10011"", ""1111"", ""100011"", ""110011"" ]  "
(0*(11)*)*|(10*1)*|(0*(11)*)*,"Positive example: [ """", ""0"", ""11"", ""010"", ""10"", ""101"", ""111"", ""0011"", ""01001"", ""000111"", ""1001"", ""10101"" ]  
Negative example: [ ""1"", ""0001"", ""1010"", ""00010"", ""0111"", ""1101"", ""10000"", ""1010"", ""001010"", ""1100110"" ]"
a*|a*baa+,"positive example: ["""", ""a"", ""aa"", ""aaa"", ""baaa"", ""abaa"", ""aabaa"", ""aaabaa"", ""aabaaa"", ""baa"", ""baaab"", ""aaaabaaa""]
negative example: [""b"", ""ab"", ""bab"", ""bba"", ""aba"", ""aab"", ""aabbb"", ""abb"", ""ba"", ""bbb""]"
(baaa*)*,"positive example: [baaaa, baaa, ba, baaaabaaaa]  
negative example: [aba, a, baa, baaaaab]"
(1(0|1)*1)|(0(0|1)*0)?,"positive example: [11, 11011, 101, 0, 010, 00100]  
negative example: [0, 01, 1001, 0110, 1010, 111]  "
0*(11)*0*1(11)*0*(11)*0*|0*1(11)*0*(11)*0*(11)*0*|0*(11)*0*(11)*0*1(11)*0*|0*1(11)*0*1(11)*0*1(11)*0*,"```plaintext
positive example: [01101110, 111101110, 0111101110, 01101110110, 1101011110]
negative example: [0110001110, 1011011010, 0011111110, 1100111010, 0111101010]
```"
10*(10*10*)*,"```plaintext
Positive examples: [10, 1010, 101010, 100, 10100, 10010, 1001010]
Negative examples: [1, 0, 11, 101, 1000, 110, 0010]
```"
(ab){2}(ab)*aaaa*,"Positive example: [abababaaaa, ababaaaa, abababaabaaaaa]  
Negative example: [abababab, abaaaa, aaaab]"
(a*)(bb)*(b),"Positive example:  
[""ab"", ""aab"", ""bbb"", ""aabbb"", ""bbbb"", ""abb"", ""aabb"", ""b""]  

Negative example:  
[""aa"", ""bbbba"", ""abbba"", ""abab"", ""bbbbab"", ""ba"", ""aabba"", """"]  "
((a|b)a*b(a(a|b)a*b)*a)?,"Positive example: [ """", ""aba"", ""aa"", ""baaa"", ""babaa"", ""baabaa"", ""baaabaa"", ""aabaabb"", ""aaaa"" ]  
Negative example: [ ""ab"", ""bbb"", ""abb"", ""aabb"", ""bba"", ""abab"", ""bbbaa"", ""baab"", ""b"" ]  "
(a|b)a*b,"positive example: [ab, aab, bab, aaab, abb]  
negative example: [a, b, ba, bb, aaa]  "
(1)|(111)|(11111)|(10)|(1110)|(01)|(100),"Positive example: [1, 111, 11111, 10, 1110, 01, 100]  
Negative example: [11, 110, 1111, 0, 101, 000, 1001]  "
(0|1)(0|1),"positive example: [00, 01, 10, 11]  
negative example: [0, 1, 000, 111]"
(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011),"Positive examples: [  
""1"", ""111"", ""11111"", ""10"", ""1110"", ""01"", ""100"", ""001"", ""010"", ""1011"", ""1000"", ""1101"", ""0001"", ""0010"", ""0111"", ""0100"",  
""10101"", ""10110"", ""10011"", ""10000"", ""11001"", ""11010"", ""11100"", ""00001"", ""00010"", ""00111"", ""00100"", ""01101"", ""01110"", ""01011"", ""01000"",  
""101001"", ""101010"", ""101111"", ""101100"", ""100101"", ""100110"", ""100011"", ""100000"", ""110001"", ""110010"", ""110111"", ""110100"", ""111011"", ""111000"",   
""111101"", ""111110"", ""000001"", ""000010"", ""000111"", ""000100"", ""001101"", ""001110"", ""001011"", ""001000"", ""011001"", ""011010"", ""011111"", ""011100"",   
""010101"", ""010110"", ""010011""  
]  

Negative examples: [  
""11"", ""0"", ""11110"", ""101"", ""1100"", ""000"", ""1001"", ""11000"", ""111111"", ""10100"", ""000000"", ""1111110"", ""011000"", ""0010000"",   
""101000"", ""100001"", ""110000"", ""111010"", ""00000"", ""0101010"", ""100111"", ""011110"", ""1111111"", ""0010011"", ""1110010"", ""1011011"",   
""000101"", ""010100"", ""1101100"", ""1111001"", ""0000100"", ""00101111"", ""001010"", ""000110"", ""1010101"", ""1100001"", ""011011""  
]"
a*((b)(aa))*,"positive example: [a, aa, baa, aaa, baaabaa]  
negative example: [b, aab, aabaa, abab, baaa]  "
(0*1(11)*0*),"Positive example: [01, 0110, 01110, 011110, 011, 110, 10]  
Negative example: [0, 1, 00, 111, 1110, 11110, 101]"
(b|a)*baab*(b|a)b,"positive example: [abababab, aaabbaabb, abbaabb, aababb]
negative example: [abbabaa, baabbba, bbaabb, baaaab]"
(01*0)*|(10*1)*,"Positive example: [ ""00"", ""11"", ""010"", ""1001"", ""0000"", ""1011"", ""0110"", ""100"", ""0101010"" ]  
Negative example: [ ""0"", ""1"", ""011"", ""101"", ""0011"", ""1100"", ""010110"", ""100010"", ""00001"" ]"
(0+(1*0)*0*)|(1+(0*1)*1*),"positive example: [ ""0"", ""00"", ""000"", ""010"", ""0110"", ""0010"", ""100"", ""110"", ""101"", ""1110"", ""1001"", ""11001"" ]  
negative example: [ ""0101"", ""1010"", ""111"", ""0001"", ""00110"", ""011"", ""1000"", ""1101"", ""10101"", ""1111"" ]"
a*(bb)*b,"positive example: [""ab"", ""bbbb"", ""aabbbb"", ""aabbb"", ""bbbbbb""]  
negative example: [""a"", ""b"", ""bb"", ""aaab"", ""aaa"", ""bbbbb""]"
0*|(0*(11)*)*|(10*1)*|(0*(11)*)*,"Positive examples: [ ""0"", ""00"", ""11"", ""0011"", ""1111"", ""10"", ""101"", ""1001"", ""0"", ""000"", ""1111"", """", ""0101"", ""1010"", ""10"", ""110011"", ""001011"", ""0110""]  
Negative examples: [ ""01"", ""110"", ""0001"", ""1110"", ""100"", ""010"", ""1101"", ""00110"", ""10111"", ""01101""]"
(11)*|0*(11)*|(11)*0*|0*|(10*1)*|(1010)*,"positive example: [11, 1111, 0, 010111, 110, 1010, 101010, 00, 1001, 101011]
negative example: [100, 0011, 10011, 10, 0101, 1100, 110110, 101, 0110, 121]"
((a|b)(a|b))aaa,"positive example: [aaaaaa, bbaaaa, abaaaa]  
negative example: [aaaabb, ababaa, bababa]  "
(a|bb)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*,"Positive example: [ """", ""a"", ""bb"", ""bbb"", ""abbb"", ""bbbabb"", ""aabb"", ""bbbbb"", ""aaa"", ""bbbbbbb"" ]  
Negative example: [ ""ab"", ""bba"", ""bbbbba"", ""b"", ""abba"", ""baa"", ""babab"", ""aaaaa"", ""bbbbbbbb"", ""aabbbb"" ]  "
(a*((bb)*|(bbb)*)*a*)a*,"Positive example: [ ""a"", ""aa"", ""abba"", ""abbbba"", ""aaaabbbba"", ""ababba"", ""abbbbbba"", ""aabbbbbb"" ]  
Negative example: [ ""b"", ""bb"", ""bbb"", ""abbaabb"", ""abbbbbbaa"", ""abbabb"", ""aba"" ]  "
a+b(a+b)*bab(a+b)*,"Positive example: [ababab, abababab, ababab, abbababa]  
Negative example: [abababb, abba, bababa, ababababab]"
(a*(bb+bbb)*a*)*a*,"Positive example: [``, `a`, `aaa`, `bb`, `bbbbbb`, `abb`, `bbbba`, `ababbbba`, `aabbbaa`, `bbbbbbbb`, `abbbbbbbbbbbbba`]

Negative example: [`b`, `bba`, `bbb`, `aabbb`, `bbbabb`, `abbbbb`, `babab`, `abbabba`, `aabbabab`, `bbbbaabba`]"
((0+)(0*1*)(0+)|(1+)(0*1*)(1+)|0|1)?,"```  
positive example: ['0', '1', '000', '111', '00100', '11011', '01', '10', '000111000', '111000111', '000111', '111000', ''],
negative example: ['0110', '1001', '010', '101', '00110', '11001', '0001', '1110', '0011', '1100']
```  "
(a*bb*ba*)*,"Positive example: [abb, bba, abbbba, bbabb, abba, abbba, bbba, abbbaa, abbababba]  
Negative example: [ab, aba, baa, bbbab, ababab, aab, ba, bbbaa, abab]"
((0(0|1)*0)|(1(0|1)*1))?,"Positive example: [ """", ""00"", ""11"", ""010"", ""101"", ""00100"", ""11011"", ""000"", ""111"" ]  
Negative example: [ ""0"", ""1"", ""01"", ""10"", ""001"", ""011"", ""1110"", ""1100"", ""1001"" ]"
(a?bba?),"Positive example: [bba, abba, bbaa, abbaa, bbaaa]  
Negative example: [bb, abb, abbaaab, aabbaa, bbbaa]"
(b(aa+))*,"Positive examples: [ """", ""baa"", ""baaaa"", ""baaabaa"", ""baaabaaaaaaa"" ]  
Negative examples: [ ""b"", ""ba"", ""aaa"", ""baaaab"", ""baaa""]"
(0(0*1+0+)*|1(1*0+1+)*)?,"positive example: ['0', '1', '00', '11', '01', '10', '001', '110', '0001', '1110', '0', '', '101', '010']
negative example: ['000', '111', '100', '0101', '1010', '0000', '11110', '1000']"
